Level,LifetimeSummonsRequired,SummonProgressionBundle
666,258740,
667,259460,
668,260185,
669,260910,
670,261635,
671,262360,
672,263085,
673,263815,
674,264545,
675,265275,
676,266005,
677,266735,
678,267470,
679,268205,
680,268940,
681,269675,
682,270410,
683,271150,
684,271890,
685,272630,
686,273370,
687,274110,
688,274855,
689,275600,
690,276345,
691,277090,
692,277835,
693,278585,
694,279335,
695,280085,
696,280835,
697,281585,
698,282340,
699,283095,SummonProgressionBundle10
700,283850,
701,284605,
702,285360,
703,286120,
704,286880,
705,287640,
706,288400,
707,289160,
708,289925,
709,290690,
710,291455,
711,292220,
712,292985,
713,293755,
714,294525,
715,295295,
716,296065,
717,296835,
718,297610,
719,298385,
720,299160,
721,299935,
722,300710,
723,301490,
724,302270,
725,303050,
726,303830,
727,304610,
728,305395,
729,306180,
730,306965,
731,307750,
732,308535,
733,309325,
734,310115,
735,310905,
736,311695,
737,312485,
738,313280,
739,314075,
740,314870,
741,315665,
742,316460,
743,317260,
744,318060,
745,318860,
746,319660,
747,320460,
748,321265,
749,322070,
750,322875,
751,323680,
752,324485,
753,325295,
754,326105,
755,326915,
756,327725,
757,328535,
758,329350,
759,330165,
760,330980,
761,331795,
762,332610,
763,333430,
764,334250,
765,335070,
766,335890,
767,336710,
768,337535,
769,338360,
770,339185,
771,340010,
772,340835,
773,341665,
774,342495,
775,343325,
776,344155,
777,344985,
778,345820,
779,346655,
780,347490,
781,348325,
782,349160,
783,350000,
784,350840,
785,351680,
786,352520,
787,353360,
788,354205,
789,355050,
790,355895,
791,356740,
792,357585,
793,358435,
794,359285,
795,360135,
796,360985,
797,361835,
798,362690,
799,363545,SummonProgressionBundle11
800,364400,
801,365255,
802,366110,
803,366970,
804,367830,
805,368690,
806,369550,
807,370410,
808,371275,
809,372140,
810,373005,
811,373870,
812,374735,
813,375605,
814,376475,
815,377345,
816,378215,
817,379085,
818,379960,
819,380835,
820,381710,
821,382585,
822,383460,
823,384340,
824,385220,
825,386100,
826,386980,
827,387860,
828,388745,
829,389630,
830,390515,
831,391400,
832,392285,
833,393175,
834,394065,
835,394955,
836,395845,
837,396735,
838,397630,
839,398525,
840,399420,
841,400315,
842,401210,
843,402110,
844,403010,
845,403910,
846,404810,
847,405710,
848,406615,
849,407520,
850,408425,
851,409330,
852,410235,
853,411145,
854,412055,
855,412965,
856,413875,
857,414785,
858,415700,
859,416615,
860,417530,
861,418445,
862,419360,
863,420280,
864,421200,
865,422120,
866,423040,
867,423960,
868,424885,
869,425810,
870,426735,
871,427660,
872,428585,
873,429515,
874,430445,
875,431375,
876,432305,
877,433235,
878,434170,
879,435105,
880,436040,
881,436975,
882,437910,
883,438850,
884,439790,
885,440730,
886,441670,
887,442610,
888,443555,
889,444500,
890,445445,
891,446390,
892,447335,
893,448285,
894,449235,
895,450185,
896,451135,
897,452085,
898,453040,
899,453995,SummonProgressionBundle12
900,454950,
901,455905,
902,456860,
903,457820,
904,458780,
905,459740,
906,460700,
907,461660,
908,462625,
909,463590,
910,464555,
911,465520,
912,466485,
913,467455,
914,468425,
915,469395,
916,470365,
917,471335,
918,472310,
919,473285,
920,474260,
921,475235,
922,476210,
923,477190,
924,478170,
925,479150,
926,480130,
927,481110,
928,482095,
929,483080,
930,484065,
931,485050,
932,486035,
933,487025,
934,488015,
935,489005,
936,489995,
937,490985,
938,491980,
939,492975,
940,493970,
941,494965,
942,495960,
943,496960,
944,497960,
945,498960,
946,499960,
947,500960,
948,501965,
949,502970,
950,503975,
951,504980,
952,505985,
953,506995,
954,508005,
955,509015,
956,510025,
957,511035,
958,512050,
959,513065,
960,514080,
961,515095,
962,516110,
963,517130,
964,518150,
965,519170,
966,520190,
967,521210,
968,522235,
969,523260,
970,524285,
971,525310,
972,526335,
973,527365,
974,528395,
975,529425,
976,530455,
977,531485,
978,532520,
979,533555,
980,534590,
981,535625,
982,536660,
983,537700,
984,538740,
985,539780,
986,540820,
987,541860,
988,542905,
989,543950,
990,544995,
991,546040,
992,547085,
993,548135,
994,549185,
995,550235,
996,551285,
997,552335,
998,553390,
999,554445,SummonProgressionBundle13
1000,555500,
1001,556555,
1002,557610,
1003,558680,
1004,559750,
1005,560820,
1006,561890,
1007,562960,
1008,564045,
1009,565130,
1010,566215,
1011,567300,
1012,568385,
1013,569485,
1014,570585,
1015,571685,
1016,572785,
1017,573885,
1018,575000,
1019,576115,
1020,577230,
1021,578345,
1022,579460,
1023,580590,
1024,581720,
1025,582850,
1026,583980,
1027,585110,
1028,586255,
1029,587400,
1030,588545,
1031,589690,
1032,590835,
1033,591995,
1034,593155,
1035,594315,
1036,595475,
1037,596635,
1038,597810,
1039,598985,
1040,600160,
1041,601335,
1042,602510,
1043,603700,
1044,604890,
1045,606080,
1046,607270,
1047,608460,
1048,609665,
1049,610870,
1050,612075,
1051,613280,
1052,614485,
1053,615705,
1054,616925,
1055,618145,
1056,619365,
1057,620585,
1058,621820,
1059,623055,
1060,624290,
1061,625525,
1062,626760,
1063,628010,
1064,629260,
1065,630510,
1066,631760,
1067,633010,
1068,634275,
1069,635540,
1070,636805,
1071,638070,
1072,639335,
1073,640615,
1074,641895,
1075,643175,
1076,644455,
1077,645735,
1078,647030,
1079,648325,
1080,649620,
1081,650915,
1082,652210,
1083,653520,
1084,654830,
1085,656140,
1086,657450,
1087,658760,
1088,660085,
1089,661410,
1090,662735,
1091,664060,
1092,665385,
1093,666725,
1094,668065,
1095,669405,
1096,670745,
1097,672085,
1098,673440,
1099,674795,
1100,676150,
1101,677505,
1102,678860,
1103,680230,
1104,681600,
1105,682970,
1106,684340,
1107,685710,
1108,687095,
1109,688480,
1110,689865,
1111,691250,
1112,692635,
1113,694035,
1114,695435,
1115,696835,
1116,698235,
1117,699635,
1118,701050,
1119,702465,
1120,703880,
1121,705295,
1122,706710,
1123,708140,
1124,709570,
1125,711000,
1126,712430,
1127,713860,
1128,715305,
1129,716750,
1130,718195,
1131,719640,
1132,721085,
1133,722545,
1134,724005,
1135,725465,
1136,726925,
1137,728385,
1138,729860,
1139,731335,
1140,732810,
1141,734285,
1142,735760,
1143,737250,
1144,738740,
1145,740230,
1146,741720,
1147,743210,
1148,744715,
1149,746220,
1150,747725,
1151,749230,
1152,750735,
1153,752255,
1154,753775,
1155,755295,
1156,756815,
1157,758335,
1158,759870,
1159,761405,
1160,762940,
1161,764475,
1162,766010,
1163,767560,
1164,769110,
1165,770660,
1166,772210,
1167,773760,
1168,775325,
1169,776890,
1170,778455,
1171,780020,
1172,781585,
1173,783165,
1174,784745,
1175,786325,
1176,787905,
1177,789485,
1178,791080,
1179,792675,
1180,794270,
1181,795865,
1182,797460,
1183,799070,
1184,800680,
1185,802290,
1186,803900,
1187,805510,
1188,807135,
1189,808760,
1190,810385,
1191,812010,
1192,813635,
1193,815275,
1194,816915,
1195,818555,
1196,820195,
1197,821835,
1198,823490,
1199,825145,
1200,826800,
1201,828455,
1202,830110,
1203,831780,
1204,833450,
1205,835120,
1206,836790,
1207,838460,
1208,840145,
1209,841830,
1210,843515,
1211,845200,
1212,846885,
1213,848585,
1214,850285,
1215,851985,
1216,853685,
1217,855385,
1218,857100,
1219,858815,
1220,860530,
1221,862245,
1222,863960,
1223,865690,
1224,867420,
1225,869150,
1226,870880,
1227,872610,
1228,874355,
1229,876100,
1230,877845,
1231,879590,
1232,881335,
1233,883095,
1234,884855,
1235,886615,
1236,888375,
1237,890135,
1238,891910,
1239,893685,
1240,895460,
1241,897235,
1242,899010,
1243,900800,
1244,902590,
1245,904380,
1246,906170,
1247,907960,
1248,909765,
1249,911570,
1250,913375,
1251,915180,
1252,916985,
1253,918805,
1254,920625,
1255,922445,
1256,924265,
1257,926085,
1258,927920,
1259,929755,
1260,931590,
1261,933425,
1262,935260,
1263,937110,
1264,938960,
1265,940810,
1266,942660,
1267,944510,
1268,946375,
1269,948240,
1270,950105,
1271,951970,
1272,953835,
1273,955715,
1274,957595,
1275,959475,
1276,961355,
1277,963235,
1278,965130,
1279,967025,
1280,968920,
1281,970815,
1282,972710,
1283,974620,
1284,976530,
1285,978440,
1286,980350,
1287,982260,
1288,984185,
1289,986110,
1290,988035,
1291,989960,
1292,991885,
1293,993825,
1294,995765,
1295,997705,
1296,999645,
1297,1001585,
1298,1003540,
1299,1005495,
1300,1007450,
1301,1009405,
1302,1011360,
1303,1013330,
1304,1015300,
1305,1017270,
1306,1019240,
1307,1021210,
1308,1023195,
1309,1025180,
1310,1027165,
1311,1029150,
1312,1031135,
1313,1033135,
1314,1035135,
1315,1037135,
1316,1039135,
1317,1041135,
1318,1043150,
1319,1045165,
1320,1047180,
1321,1049195,
1322,1051210,
1323,1053240,
1324,1055270,
1325,1057300,
1326,1059330,
1327,1061360,
1328,1063405,
1329,1065450,
1330,1067495,
1331,1069540,
1332,1071585,
1333,1073645,
1334,1075705,
1335,1077765,
1336,1079825,
1337,1081885,
1338,1083960,
1339,1086035,
1340,1088110,
1341,1090185,
1342,1092260,
1343,1094350,
1344,1096440,
1345,1098530,
1346,1100620,
1347,1102710,
1348,1104815,
1349,1106920,
1350,1109025,
1351,1111130,
1352,1113235,
1353,1115355,
1354,1117475,
1355,1119595,
1356,1121715,
1357,1123835,
1358,1125970,
1359,1128105,
1360,1130240,
1361,1132375,
1362,1134510,
1363,1136660,
1364,1138810,
1365,1140960,
1366,1143110,
1367,1145260,
1368,1147425,
1369,1149590,
1370,1151755,
1371,1153920,
1372,1156085,
1373,1158265,
1374,1160445,
1375,1162625,
1376,1164805,
1377,1166985,
1378,1169180,
1379,1171375,
1380,1173570,
1381,1175765,
1382,1177960,
1383,1180170,
1384,1182380,
1385,1184590,
1386,1186800,
1387,1189010,
1388,1191235,
1389,1193460,
1390,1195685,
1391,1197910,
1392,1200135,
1393,1202375,
1394,1204615,
1395,1206855,
1396,1209095,
1397,1211335,
1398,1213590,
1399,1215845,
1400,1218100,
1401,1220355,
1402,1222610,
1403,1224880,
1404,1227150,
1405,1229420,
1406,1231690,
1407,1233960,
1408,1236245,
1409,1238530,
1410,1240815,
1411,1243100,
1412,1245385,
1413,1247685,
1414,1249985,
1415,1252285,
1416,1254585,
1417,1256885,
1418,1259200,
1419,1261515,
1420,1263830,
1421,1266145,
1422,1268460,
1423,1270790,
1424,1273120,
1425,1275450,
1426,1277780,
1427,1280110,
1428,1282455,
1429,1284800,
1430,1287145,
1431,1289490,
1432,1291835,
1433,1294195,
1434,1296555,
1435,1298915,
1436,1301275,
1437,1303635,
1438,1306010,
1439,1308385,
1440,1310760,
1441,1313135,
1442,1315510,
1443,1317900,
1444,1320290,
1445,1322680,
1446,1325070,
1447,1327460,
1448,1329865,
1449,1332270,
1450,1334675,
1451,1337080,
1452,1339485,
1453,1341905,
1454,1344325,
1455,1346745,
1456,1349165,
1457,1351585,
1458,1354020,
1459,1356455,
1460,1358890,
1461,1361325,
1462,1363760,
1463,1366210,
1464,1368660,
1465,1371110,
1466,1373560,
1467,1376010,
1468,1378475,
1469,1380940,
1470,1383405,
1471,1385870,
1472,1388335,
1473,1390815,
1474,1393295,
1475,1395775,
1476,1398255,
1477,1400735,
1478,1403230,
1479,1405725,
1480,1408220,
1481,1410715,
1482,1413210,
1483,1415720,
1484,1418230,
1485,1420740,
1486,1423250,
1487,1425760,
1488,1428285,
1489,1430810,
1490,1433335,
1491,1435860,
1492,1438385,
1493,1440925,
1494,1443465,
1495,1446005,
1496,1448545,
1497,1451085,
1498,1453640,
1499,1456195,
1500,1458750,
1501,1461305,
1502,1463860,
1503,1466430,
1504,1469000,
1505,1471570,
1506,1474140,
1507,1476710,
1508,1479295,
1509,1481880,
1510,1484465,
1511,1487050,
1512,1489635,
1513,1492235,
1514,1494835,
1515,1497435,
1516,1500035,
1517,1502635,
1518,1505250,
1519,1507865,
1520,1510480,
1521,1513095,
1522,1515710,
1523,1518340,
1524,1520970,
1525,1523600,
1526,1526230,
1527,1528860,
1528,1531505,
1529,1534150,
1530,1536795,
1531,1539440,
1532,1542085,
1533,1544745,
1534,1547405,
1535,1550065,
1536,1552725,
1537,1555385,
1538,1558060,
1539,1560735,
1540,1563410,
1541,1566085,
1542,1568760,
1543,1571450,
1544,1574140,
1545,1576830,
1546,1579520,
1547,1582210,
1548,1584915,
1549,1587620,
1550,1590325,
1551,1593030,
1552,1595735,
1553,1598455,
1554,1601175,
1555,1603895,
1556,1606615,
1557,1609335,
1558,1612070,
1559,1614805,
1560,1617540,
1561,1620275,
1562,1623010,
1563,1625760,
1564,1628510,
1565,1631260,
1566,1634010,
1567,1636760,
1568,1639525,
1569,1642290,
1570,1645055,
1571,1647820,
1572,1650585,
1573,1653365,
1574,1656145,
1575,1658925,
1576,1661705,
1577,1664485,
1578,1667280,
1579,1670075,
1580,1672870,
1581,1675665,
1582,1678460,
1583,1681270,
1584,1684080,
1585,1686890,
1586,1689700,
1587,1692510,
1588,1695335,
1589,1698160,
1590,1700985,
1591,1703810,
1592,1706635,
1593,1709475,
1594,1712315,
1595,1715155,
1596,1717995,
1597,1720835,
1598,1723690,
1599,1726545,
1600,1729400,
1601,1732255,
1602,1735110,
1603,1737980,
1604,1740850,
1605,1743720,
1606,1746590,
1607,1749460,
1608,1752345,
1609,1755230,
1610,1758115,
1611,1761000,
1612,1763885,
1613,1766785,
1614,1769685,
1615,1772585,
1616,1775485,
1617,1778385,
1618,1781300,
1619,1784215,
1620,1787130,
1621,1790045,
1622,1792960,
1623,1795890,
1624,1798820,
1625,1801750,
1626,1804680,
1627,1807610,
1628,1810555,
1629,1813500,
1630,1816445,
1631,1819390,
1632,1822335,
1633,1825295,
1634,1828255,
1635,1831215,
1636,1834175,
1637,1837135,
1638,1840110,
1639,1843085,
1640,1846060,
1641,1849035,
1642,1852010,
1643,1855000,
1644,1857990,
1645,1860980,
1646,1863970,
1647,1866960,
1648,1869965,
1649,1872970,
1650,1875975,
1651,1878980,
1652,1881985,
1653,1885005,
1654,1888025,
1655,1891045,
1656,1894065,
1657,1897085,
1658,1900120,
1659,1903155,
1660,1906190,
1661,1909225,
1662,1912260,
1663,1915310,
1664,1918360,
1665,1921410,
1666,1924460,
1667,1927510,
1668,1930575,
1669,1933640,
1670,1936705,
1671,1939770,
1672,1942835,
1673,1945915,
1674,1948995,
1675,1952075,
1676,1955155,
1677,1958235,
1678,1961330,
1679,1964425,
1680,1967520,
1681,1970615,
1682,1973710,
1683,1976820,
1684,1979930,
1685,1983040,
1686,1986150,
1687,1989260,
1688,1992385,
1689,1995510,
1690,1998635,
1691,2001760,
1692,2004885,
1693,2008025,
1694,2011165,
1695,2014305,
1696,2017445,
1697,2020585,
1698,2023740,
1699,2026895,
1700,2030050,
1701,2033205,
1702,2036360,
1703,2039530,
1704,2042700,
1705,2045870,
1706,2049040,
1707,2052210,
1708,2055395,
1709,2058580,
1710,2061765,
1711,2064950,
1712,2068135,
1713,2071335,
1714,2074535,
1715,2077735,
1716,2080935,
1717,2084135,
1718,2087350,
1719,2090565,
1720,2093780,
1721,2096995,
1722,2100210,
1723,2103440,
1724,2106670,
1725,2109900,
1726,2113130,
1727,2116360,
1728,2119605,
1729,2122850,
1730,2126095,
1731,2129340,
1732,2132585,
1733,2135845,
1734,2139105,
1735,2142365,
1736,2145625,
1737,2148885,
1738,2152160,
1739,2155435,
1740,2158710,
1741,2161985,
1742,2165260,
1743,2168550,
1744,2171840,
1745,2175130,
1746,2178420,
1747,2181710,
1748,2185015,
1749,2188320,
1750,2191625,
1751,2194930,
1752,2198235,
1753,2201555,
1754,2204875,
1755,2208195,
1756,2211515,
1757,2214835,
1758,2218170,
1759,2221505,
1760,2224840,
1761,2228175,
1762,2231510,
1763,2234860,
1764,2238210,
1765,2241560,
1766,2244910,
1767,2248260,
1768,2251625,
1769,2254990,
1770,2258355,
1771,2261720,
1772,2265085,
1773,2268465,
1774,2271845,
1775,2275225,
1776,2278605,
1777,2281985,
1778,2285380,
1779,2288775,
1780,2292170,
1781,2295565,
1782,2298960,
1783,2302370,
1784,2305780,
1785,2309190,
1786,2312600,
1787,2316010,
1788,2319435,
1789,2322860,
1790,2326285,
1791,2329710,
1792,2333135,
1793,2336575,
1794,2340015,
1795,2343455,
1796,2346895,
1797,2350335,
1798,2353790,
1799,2357245,
1800,2360700,
1801,2364155,
1802,2367610,
1803,2371080,
1804,2374550,
1805,2378020,
1806,2381490,
1807,2384960,
1808,2388445,
1809,2391930,
1810,2395415,
1811,2398900,
1812,2402385,
1813,2405885,
1814,2409385,
1815,2412885,
1816,2416385,
1817,2419885,
1818,2423400,
1819,2426915,
1820,2430430,
1821,2433945,
1822,2437460,
1823,2440990,
1824,2444520,
1825,2448050,
1826,2451580,
1827,2455110,
1828,2458655,
1829,2462200,
1830,2465745,
1831,2469290,
1832,2472835,
1833,2476395,
1834,2479955,
1835,2483515,
1836,2487075,
1837,2490635,
1838,2494210,
1839,2497785,
1840,2501360,
1841,2504935,
1842,2508510,
1843,2512100,
1844,2515690,
1845,2519280,
1846,2522870,
1847,2526460,
1848,2530065,
1849,2533670,
1850,2537275,
1851,2540880,
1852,2544485,
1853,2548105,
1854,2551725,
1855,2555345,
1856,2558965,
1857,2562585,
1858,2566220,
1859,2569855,
1860,2573490,
1861,2577125,
1862,2580760,
1863,2584410,
1864,2588060,
1865,2591710,
1866,2595360,
1867,2599010,
1868,2602675,
1869,2606340,
1870,2610005,
1871,2613670,
1872,2617335,
1873,2621015,
1874,2624695,
1875,2628375,
1876,2632055,
1877,2635735,
1878,2639430,
1879,2643125,
1880,2646820,
1881,2650515,
1882,2654210,
1883,2657920,
1884,2661630,
1885,2665340,
1886,2669050,
1887,2672760,
1888,2676485,
1889,2680210,
1890,2683935,
1891,2687660,
1892,2691385,
1893,2695125,
1894,2698865,
1895,2702605,
1896,2706345,
1897,2710085,
1898,2713840,
1899,2717595,
1900,2721350,
1901,2725105,
1902,2728860,
1903,2732630,
1904,2736400,
1905,2740170,
1906,2743940,
1907,2747710,
1908,2751495,
1909,2755280,
1910,2759065,
1911,2762850,
1912,2766635,
1913,2770435,
1914,2774235,
1915,2778035,
1916,2781835,
1917,2785635,
1918,2789450,
1919,2793265,
1920,2797080,
1921,2800895,
1922,2804710,
1923,2808540,
1924,2812370,
1925,2816200,
1926,2820030,
1927,2823860,
1928,2827705,
1929,2831550,
1930,2835395,
1931,2839240,
1932,2843085,
1933,2846945,
1934,2850805,
1935,2854665,
1936,2858525,
1937,2862385,
1938,2866260,
1939,2870135,
1940,2874010,
1941,2877885,
1942,2881760,
1943,2885650,
1944,2889540,
1945,2893430,
1946,2897320,
1947,2901210,
1948,2905115,
1949,2909020,
1950,2912925,
1951,2916830,
1952,2920735,
1953,2924655,
1954,2928575,
1955,2932495,
1956,2936415,
1957,2940335,
