StartRank,EndRank,PrizeType,PrizeID,TierID,Rewards,Diamonds,TitanPoint,HolidayCurrency,SkillPoint,PerkTicket,EquipmentShards,Pet,Weapon,PremiumWeapon,AnniversaryMinigameCurrency
81,130,Type1,4,H,"Diamonds:30,TitanPoints:10,HolidayCurrency:120,SkillPoint:2,PerkTicket:10,AnniversaryMinigameCurrency:20",30,10,120,2,10,0,0,0,0,20
131,200,Type1,4,H,"Diamonds:20,TitanPoints:5,HolidayCurrency:100,SkillPoint:2,PerkTicket:10,AnniversaryMinigameCurrency:10",20,5,100,2,10,0,0,0,0,10
0,0,Type1,3,N,"Diamonds:450,TitanPoints:70,HolidayCurrency:300,SkillPoint:10,PerkTicket:80,AnniversaryMinigameCurrency:100",450,70,300,10,80,0,0,0,0,100
1,1,Type1,3,M,"Diamonds:350,TitanPoints:50,HolidayCurrency:250,SkillPoint:7,PerkTicket:60,AnniversaryMinigameCurrency:80",350,50,250,7,60,0,0,0,0,80
2,3,Type1,3,M,"Diamonds:225,TitanPoints:35,HolidayCurrency:230,SkillPoint:7,PerkTicket:50,AnniversaryMinigameCurrency:70",225,35,230,7,50,0,0,0,0,70
4,10,Type1,3,L,"Diamonds:175,TitanPoints:30,HolidayCurrency:200,SkillPoint:5,PerkTicket:40,AnniversaryMinigameCurrency:60",175,30,200,5,40,0,0,0,0,60
11,25,Type1,3,K,"Diamonds:125,TitanPoints:25,HolidayCurrency:180,SkillPoint:5,PerkTicket:30,AnniversaryMinigameCurrency:50",125,25,180,5,30,0,0,0,0,50
26,50,Type1,3,J,"Diamonds:100,TitanPoints:20,HolidayCurrency:160,SkillPoint:2,PerkTicket:20,AnniversaryMinigameCurrency:40",100,20,160,2,20,0,0,0,0,40
51,80,Type1,3,I,"Diamonds:75,TitanPoints:15,HolidayCurrency:140,SkillPoint:2,PerkTicket:10,AnniversaryMinigameCurrency:30",75,15,140,2,10,0,0,0,0,30
81,130,Type1,3,H,"Diamonds:30,TitanPoints:10,HolidayCurrency:120,SkillPoint:2,PerkTicket:10,AnniversaryMinigameCurrency:20",30,10,120,2,10,0,0,0,0,20
131,200,Type1,3,H,"Diamonds:20,TitanPoints:5,HolidayCurrency:100,SkillPoint:2,PerkTicket:10,AnniversaryMinigameCurrency:10",20,5,100,2,10,0,0,0,0,10
0,0,Type1,2,N,"Diamonds:400,TitanPoints:70,HolidayCurrency:300,SkillPoint:10,PerkTicket:80,AnniversaryMinigameCurrency:100",400,70,300,10,80,0,0,0,0,100
1,1,Type1,2,M,"Diamonds:300,TitanPoints:50,HolidayCurrency:250,SkillPoint:7,PerkTicket:60,AnniversaryMinigameCurrency:80",300,50,250,7,60,0,0,0,0,80
2,3,Type1,2,M,"Diamonds:200,TitanPoints:35,HolidayCurrency:230,SkillPoint:7,PerkTicket:50,AnniversaryMinigameCurrency:70",200,35,230,7,50,0,0,0,0,70
4,10,Type1,2,L,"Diamonds:150,TitanPoints:30,HolidayCurrency:200,SkillPoint:5,PerkTicket:40,AnniversaryMinigameCurrency:60",150,30,200,5,40,0,0,0,0,60
11,25,Type1,2,K,"Diamonds:100,TitanPoints:25,HolidayCurrency:180,SkillPoint:5,PerkTicket:30,AnniversaryMinigameCurrency:50",100,25,180,5,30,0,0,0,0,50
26,50,Type1,2,J,"Diamonds:75,TitanPoints:20,HolidayCurrency:160,SkillPoint:2,PerkTicket:20,AnniversaryMinigameCurrency:40",75,20,160,2,20,0,0,0,0,40
51,80,Type1,2,I,"Diamonds:50,TitanPoints:15,HolidayCurrency:140,SkillPoint:2,PerkTicket:10,AnniversaryMinigameCurrency:30",50,15,140,2,10,0,0,0,0,30
81,130,Type1,2,H,"Diamonds:25,TitanPoints:10,HolidayCurrency:120,SkillPoint:2,PerkTicket:10,AnniversaryMinigameCurrency:20",25,10,120,2,10,0,0,0,0,20
131,200,Type1,2,H,"Diamonds:15,TitanPoints:5,HolidayCurrency:100,SkillPoint:2,PerkTicket:10,AnniversaryMinigameCurrency:10",15,5,100,2,10,0,0,0,0,10
0,0,Type1,1,N,"Diamonds:300,TitanPoints:70,HolidayCurrency:300,SkillPoint:10,PerkTicket:80,AnniversaryMinigameCurrency:100",300,70,300,10,80,0,0,0,0,100
1,1,Type1,1,M,"Diamonds:250,TitanPoints:50,HolidayCurrency:250,SkillPoint:7,PerkTicket:60,AnniversaryMinigameCurrency:80",250,50,250,7,60,0,0,0,0,80
2,3,Type1,1,M,"Diamonds:150,TitanPoints:35,HolidayCurrency:230,SkillPoint:7,PerkTicket:50,AnniversaryMinigameCurrency:70",150,35,230,7,50,0,0,0,0,70
4,10,Type1,1,L,"Diamonds:100,TitanPoints:30,HolidayCurrency:200,SkillPoint:5,PerkTicket:40,AnniversaryMinigameCurrency:60",100,30,200,5,40,0,0,0,0,60
11,25,Type1,1,K,"Diamonds:75,TitanPoints:25,HolidayCurrency:180,SkillPoint:5,PerkTicket:30,AnniversaryMinigameCurrency:50",75,25,180,5,30,0,0,0,0,50
26,50,Type1,1,J,"Diamonds:50,TitanPoints:20,HolidayCurrency:160,SkillPoint:2,PerkTicket:20,AnniversaryMinigameCurrency:40",50,20,160,2,20,0,0,0,0,40
51,80,Type1,1,I,"Diamonds:30,TitanPoints:15,HolidayCurrency:140,SkillPoint:2,PerkTicket:10,AnniversaryMinigameCurrency:30",30,15,140,2,10,0,0,0,0,30
81,130,Type1,1,H,"Diamonds:20,TitanPoints:10,HolidayCurrency:120,SkillPoint:2,PerkTicket:10,AnniversaryMinigameCurrency:20",20,10,120,2,10,0,0,0,0,20
131,200,Type1,1,H,"Diamonds:10,TitanPoints:5,HolidayCurrency:100,SkillPoint:2,PerkTicket:10,AnniversaryMinigameCurrency:10",10,5,100,2,10,0,0,0,0,10
0,10,Type2,11,N,"Diamonds:1200,TitanPoints:300,HolidayCurrency:300,EquipmentShards:160,RandomLevelPet:16,AnniversaryMinigameCurrency:100",1200,300,300,0,0,160,16,0,0,100
0,0,Type2,10,N,"Diamonds:1200,TitanPoints:300,HolidayCurrency:300,EquipmentShards:160,RandomLevelPet:16,AnniversaryMinigameCurrency:100",1200,300,300,0,0,160,16,0,0,100
1,1,Type2,10,M,"Diamonds:700,TitanPoints:200,HolidayCurrency:250,EquipmentShards:120,RandomLevelPet:12,AnniversaryMinigameCurrency:80",700,200,250,0,0,120,12,0,0,80
2,2,Type2,10,L,"Diamonds:550,TitanPoints:150,HolidayCurrency:230,EquipmentShards:105,RandomLevelPet:10,AnniversaryMinigameCurrency:70",550,150,230,0,0,105,10,0,0,70
3,3,Type2,10,K,"Diamonds:450,TitanPoints:125,HolidayCurrency:200,EquipmentShards:90,RandomLevelPet:9,AnniversaryMinigameCurrency:60",450,125,200,0,0,90,9,0,0,60
4,4,Type2,10,J,"Diamonds:400,TitanPoints:100,HolidayCurrency:180,EquipmentShards:75,RandomLevelPet:8,AnniversaryMinigameCurrency:50",400,100,180,0,0,75,8,0,0,50
5,5,Type2,10,J,"Diamonds:350,TitanPoints:80,HolidayCurrency:160,EquipmentShards:60,RandomLevelPet:7,AnniversaryMinigameCurrency:40",350,80,160,0,0,60,7,0,0,40
6,6,Type2,10,J,"Diamonds:300,TitanPoints:70,HolidayCurrency:140,EquipmentShards:50,RandomLevelPet:7,AnniversaryMinigameCurrency:30",300,70,140,0,0,50,7,0,0,30
7,8,Type2,10,J,"Diamonds:250,TitanPoints:60,HolidayCurrency:120,EquipmentShards:40,RandomLevelPet:6,AnniversaryMinigameCurrency:20",250,60,120,0,0,40,6,0,0,20
9,10,Type2,10,I,"Diamonds:200,TitanPoints:50,HolidayCurrency:100,EquipmentShards:30,RandomLevelPet:5,AnniversaryMinigameCurrency:10",200,50,100,0,0,30,5,0,0,10
0,0,Type2,9,N,"Diamonds:1200,TitanPoints:250,HolidayCurrency:300,EquipmentShards:140,RandomLevelPet:16,AnniversaryMinigameCurrency:100",1200,250,300,0,0,140,16,0,0,100
1,1,Type2,9,M,"Diamonds:650,TitanPoints:150,HolidayCurrency:250,EquipmentShards:105,RandomLevelPet:12,AnniversaryMinigameCurrency:80",650,150,250,0,0,105,12,0,0,80
2,2,Type2,9,L,"Diamonds:500,TitanPoints:125,HolidayCurrency:230,EquipmentShards:90,RandomLevelPet:10,AnniversaryMinigameCurrency:70",500,125,230,0,0,90,10,0,0,70
3,3,Type2,9,K,"Diamonds:400,TitanPoints:100,HolidayCurrency:200,EquipmentShards:75,RandomLevelPet:9,AnniversaryMinigameCurrency:60",400,100,200,0,0,75,9,0,0,60
4,4,Type2,9,J,"Diamonds:350,TitanPoints:80,HolidayCurrency:180,EquipmentShards:60,RandomLevelPet:8,AnniversaryMinigameCurrency:50",350,80,180,0,0,60,8,0,0,50
5,6,Type2,9,J,"Diamonds:300,TitanPoints:60,HolidayCurrency:160,EquipmentShards:50,RandomLevelPet:7,AnniversaryMinigameCurrency:40",300,60,160,0,0,50,7,0,0,40
7,10,Type2,9,J,"Diamonds:250,TitanPoints:50,HolidayCurrency:140,EquipmentShards:40,RandomLevelPet:6,AnniversaryMinigameCurrency:30",250,50,140,0,0,40,6,0,0,30
11,15,Type2,9,I,"Diamonds:200,TitanPoints:40,HolidayCurrency:120,EquipmentShards:35,RandomLevelPet:5,AnniversaryMinigameCurrency:20",200,40,120,0,0,35,5,0,0,20
16,25,Type2,9,I,"Diamonds:150,TitanPoints:35,HolidayCurrency:100,EquipmentShards:30,RandomLevelPet:4,AnniversaryMinigameCurrency:10",150,35,100,0,0,30,4,0,0,10
0,0,Type2,8,N,"Diamonds:1200,TitanPoints:200,HolidayCurrency:300,EquipmentShards:120,RandomLevelPet:15,AnniversaryMinigameCurrency:100",1200,200,300,0,0,120,15,0,0,100
1,1,Type2,8,M,"Diamonds:650,TitanPoints:125,HolidayCurrency:250,EquipmentShards:80,RandomLevelPet:10,AnniversaryMinigameCurrency:80",650,125,250,0,0,80,10,0,0,80
2,2,Type2,8,L,"Diamonds:500,TitanPoints:100,HolidayCurrency:230,EquipmentShards:65,RandomLevelPet:9,AnniversaryMinigameCurrency:70",500,100,230,0,0,65,9,0,0,70
3,4,Type2,8,K,"Diamonds:350,TitanPoints:70,HolidayCurrency:200,EquipmentShards:50,RandomLevelPet:8,AnniversaryMinigameCurrency:60",350,70,200,0,0,50,8,0,0,60
5,7,Type2,8,J,"Diamonds:300,TitanPoints:50,HolidayCurrency:180,EquipmentShards:40,RandomLevelPet:7,AnniversaryMinigameCurrency:50",300,50,180,0,0,40,7,0,0,50
8,10,Type2,8,J,"Diamonds:250,TitanPoints:40,HolidayCurrency:160,EquipmentShards:35,RandomLevelPet:6,AnniversaryMinigameCurrency:40",250,40,160,0,0,35,6,0,0,40
11,20,Type2,8,J,"Diamonds:200,TitanPoints:35,HolidayCurrency:140,EquipmentShards:30,RandomLevelPet:5,AnniversaryMinigameCurrency:30",200,35,140,0,0,30,5,0,0,30
21,30,Type2,8,I,"Diamonds:150,TitanPoints:30,HolidayCurrency:120,EquipmentShards:25,RandomLevelPet:4,AnniversaryMinigameCurrency:20",150,30,120,0,0,25,4,0,0,20
31,50,Type2,8,I,"Diamonds:100,TitanPoints:25,HolidayCurrency:100,EquipmentShards:20,RandomLevelPet:3,AnniversaryMinigameCurrency:10",100,25,100,0,0,20,3,0,0,10
0,0,Type2,7,N,"Diamonds:1000,TitanPoints:200,HolidayCurrency:300,EquipmentShards:110,RandomLevelPet:15,AnniversaryMinigameCurrency:100",1000,200,300,0,0,110,15,0,0,100
1,1,Type2,7,M,"Diamonds:600,TitanPoints:125,HolidayCurrency:250,EquipmentShards:80,RandomLevelPet:10,AnniversaryMinigameCurrency:80",600,125,250,0,0,80,10,0,0,80
2,2,Type2,7,L,"Diamonds:500,TitanPoints:100,HolidayCurrency:230,EquipmentShards:60,RandomLevelPet:9,AnniversaryMinigameCurrency:70",500,100,230,0,0,60,9,0,0,70
3,4,Type2,7,K,"Diamonds:350,TitanPoints:70,HolidayCurrency:200,EquipmentShards:50,RandomLevelPet:8,AnniversaryMinigameCurrency:60",350,70,200,0,0,50,8,0,0,60
5,7,Type2,7,J,"Diamonds:300,TitanPoints:50,HolidayCurrency:180,EquipmentShards:40,RandomLevelPet:7,AnniversaryMinigameCurrency:50",300,50,180,0,0,40,7,0,0,50
8,10,Type2,7,J,"Diamonds:250,TitanPoints:40,HolidayCurrency:160,EquipmentShards:35,RandomLevelPet:6,AnniversaryMinigameCurrency:40",250,40,160,0,0,35,6,0,0,40
11,20,Type2,7,J,"Diamonds:200,TitanPoints:35,HolidayCurrency:140,EquipmentShards:30,RandomLevelPet:5,AnniversaryMinigameCurrency:30",200,35,140,0,0,30,5,0,0,30
21,30,Type2,7,I,"Diamonds:150,TitanPoints:30,HolidayCurrency:120,EquipmentShards:25,RandomLevelPet:4,AnniversaryMinigameCurrency:20",150,30,120,0,0,25,4,0,0,20
31,50,Type2,7,I,"Diamonds:100,TitanPoints:25,HolidayCurrency:100,EquipmentShards:20,RandomLevelPet:3,AnniversaryMinigameCurrency:10",100,25,100,0,0,20,3,0,0,10
0,0,Type2,6,N,"Diamonds:900,TitanPoints:150,HolidayCurrency:300,EquipmentShards:100,RandomLevelPet:14,AnniversaryMinigameCurrency:100",900,150,300,0,0,100,14,0,0,100
1,1,Type2,6,M,"Diamonds:600,TitanPoints:100,HolidayCurrency:250,EquipmentShards:70,RandomLevelPet:9,AnniversaryMinigameCurrency:80",600,100,250,0,0,70,9,0,0,80
2,2,Type2,6,L,"Diamonds:450,TitanPoints:75,HolidayCurrency:230,EquipmentShards:55,RandomLevelPet:8,AnniversaryMinigameCurrency:70",450,75,230,0,0,55,8,0,0,70
3,5,Type2,6,K,"Diamonds:300,TitanPoints:50,HolidayCurrency:200,EquipmentShards:45,RandomLevelPet:7,AnniversaryMinigameCurrency:60",300,50,200,0,0,45,7,0,0,60
6,10,Type2,6,J,"Diamonds:200,TitanPoints:40,HolidayCurrency:180,EquipmentShards:30,RandomLevelPet:6,AnniversaryMinigameCurrency:50",200,40,180,0,0,30,6,0,0,50
11,20,Type2,6,J,"Diamonds:150,TitanPoints:30,HolidayCurrency:160,EquipmentShards:25,RandomLevelPet:5,AnniversaryMinigameCurrency:40",150,30,160,0,0,25,5,0,0,40
21,40,Type2,6,J,"Diamonds:125,TitanPoints:25,HolidayCurrency:140,EquipmentShards:20,RandomLevelPet:4,AnniversaryMinigameCurrency:30",125,25,140,0,0,20,4,0,0,30
41,60,Type2,6,I,"Diamonds:100,TitanPoints:20,HolidayCurrency:120,EquipmentShards:15,RandomLevelPet:3,AnniversaryMinigameCurrency:20",100,20,120,0,0,15,3,0,0,20
61,100,Type2,6,I,"Diamonds:50,TitanPoints:15,HolidayCurrency:100,EquipmentShards:10,RandomLevelPet:3,AnniversaryMinigameCurrency:10",50,15,100,0,0,10,3,0,0,10
0,0,Type2,5,N,"Diamonds:700,TitanPoints:100,HolidayCurrency:300,EquipmentShards:90,RandomLevelPet:12,AnniversaryMinigameCurrency:100",700,100,300,0,0,90,12,0,0,100
1,1,Type2,5,M,"Diamonds:450,TitanPoints:70,HolidayCurrency:250,EquipmentShards:60,RandomLevelPet:8,AnniversaryMinigameCurrency:80",450,70,250,0,0,60,8,0,0,80
2,2,Type2,5,L,"Diamonds:350,TitanPoints:50,HolidayCurrency:230,EquipmentShards:50,RandomLevelPet:7,AnniversaryMinigameCurrency:70",350,50,230,0,0,50,7,0,0,70
3,5,Type2,5,K,"Diamonds:250,TitanPoints:35,HolidayCurrency:200,EquipmentShards:40,RandomLevelPet:6,AnniversaryMinigameCurrency:60",250,35,200,0,0,40,6,0,0,60
