BoardNumber,BoardSize,Rows,Columns,SuccessesOnBoard,BombsOnBoard,SuccessesNeededToWin,RewardString,ChestIconIndex
36,16,4,4,12,4,3,"HolidayCurrency:12,Diamonds:100",1
37,9,3,3,7,2,3,"HolidayCurrency:6,PetsLvl1:1",0
38,9,3,3,7,2,3,"HolidayCurrency:6,Diamonds:10",0
39,9,3,3,7,2,3,"HolidayCurrency:6,RaidCard:5",0
40,16,4,4,12,4,3,"HolidayCurrency:12,EquipmentShards:5",1
41,9,3,3,7,2,3,"HolidayCurrency:6,PetsLvl1:1",0
42,9,3,3,7,2,3,"HolidayCurrency:6,Diamonds:10",0
43,9,3,3,7,2,3,"HolidayCurrency:6,RaidCard:5",0
44,16,4,4,12,4,3,"HolidayCurrency:12,Perk:1",1
45,9,3,3,7,2,3,"HolidayCurrency:6,PetsLvl1:1",0
46,9,3,3,7,2,3,"HolidayCurrency:6,Diamonds:10",0
47,9,3,3,7,2,3,"HolidayCurrency:6,RaidCard:5",0
48,25,5,5,17,8,5,"HolidayCurrency:18,Equipment:Slash_Nutcracker",2
49,9,3,3,7,2,3,"HolidayCurrency:6,PetsLvl1:1",0
50,9,3,3,7,2,3,"HolidayCurrency:9,Diamonds:10",0
51,9,3,3,7,2,3,"HolidayCurrency:9,RaidCard:5",0
52,16,4,4,12,4,3,"HolidayCurrency:18,FortuneHelperWeapon:1",1
53,9,3,3,7,2,3,"HolidayCurrency:9,PetsLvl1:1",0
54,9,3,3,7,2,3,"HolidayCurrency:9,Diamonds:10",0
55,9,3,3,7,2,3,"HolidayCurrency:9,RaidCard:5",0
56,16,4,4,12,4,3,"HolidayCurrency:18,RaidCard:20",1
57,9,3,3,7,2,3,"HolidayCurrency:9,PetsLvl1:1",0
58,9,3,3,7,2,3,"HolidayCurrency:9,Diamonds:10",0
59,9,3,3,7,2,3,"HolidayCurrency:9,RaidCard:5",0
60,16,4,4,11,5,3,"HolidayCurrency:18,Perk:1",1
61,9,3,3,7,2,3,"HolidayCurrency:9,PetsLvl1:1",0
62,9,3,3,7,2,3,"HolidayCurrency:9,Diamonds:10",0
63,9,3,3,7,2,3,"HolidayCurrency:9,RaidCard:5",0
64,25,5,5,16,9,5,"HolidayCurrency:27,Equipment:Suit_Nutcracker",2
65,9,3,3,7,2,3,"HolidayCurrency:9,HelperWeapon:1",0
66,9,3,3,7,2,3,"HolidayCurrency:9,Diamonds:10",0
67,9,3,3,7,2,3,"HolidayCurrency:9,RaidCard:5",0
68,16,4,4,11,5,3,"HolidayCurrency:18,PetsLvl1:5",1
69,9,3,3,7,2,3,"HolidayCurrency:9,Perk:1",0
70,9,3,3,7,2,3,"HolidayCurrency:9,Diamonds:10",0
71,9,3,3,7,2,3,"HolidayCurrency:9,RaidCard:5",0
72,16,4,4,11,5,3,"HolidayCurrency:18,RaidCard:20",1
73,9,3,3,7,2,3,"HolidayCurrency:9,PetsLvl1:1",0
74,9,3,3,7,2,3,"HolidayCurrency:9,Diamonds:10",0
75,9,3,3,7,2,3,"HolidayCurrency:12,RaidCard:5",0
76,16,4,4,11,5,3,"HolidayCurrency:24,Equipment:Rare:5",1
77,9,3,3,7,2,3,"HolidayCurrency:12,PetsLvl1:1",0
78,9,3,3,7,2,3,"HolidayCurrency:12,Diamonds:10",0
79,9,3,3,7,2,3,"HolidayCurrency:12,RaidCard:5",0
80,25,5,5,16,9,5,"HolidayCurrency:36,EquipmentShards:20",2
81,9,3,3,7,2,3,"HolidayCurrency:12,PetsLvl1:1",0
82,9,3,3,7,2,3,"HolidayCurrency:12,Diamonds:10",0
83,9,3,3,7,2,3,"HolidayCurrency:12,RaidCard:5",0
84,16,4,4,11,5,3,"HolidayCurrency:24,Perk:1",1
85,9,3,3,7,2,3,"HolidayCurrency:12,PetsLvl1:1",0
86,9,3,3,7,2,3,"HolidayCurrency:12,Diamonds:10",0
87,9,3,3,7,2,3,"HolidayCurrency:12,RaidCard:5",0
88,16,4,4,11,5,3,"HolidayCurrency:24,SkillPoint:1",1
89,9,3,3,7,2,3,"HolidayCurrency:12,PetsLvl1:1",0
90,9,3,3,7,2,3,"HolidayCurrency:12,Diamonds:10",0
91,9,3,3,7,2,3,"HolidayCurrency:12,RaidCard:5",0
92,16,4,4,11,5,3,"HolidayCurrency:24,Perk:1",1
93,9,3,3,7,2,3,"HolidayCurrency:12,PetsLvl1:1",0
94,9,3,3,7,2,3,"HolidayCurrency:12,Diamonds:10",0
95,9,3,3,7,2,3,"HolidayCurrency:12,RaidCard:5",0
96,25,5,5,15,10,5,"HolidayCurrency:36,RaidWildcard:50",2
97,9,3,3,7,2,3,"HolidayCurrency:12,PetsLvl1:1",0
98,9,3,3,7,2,3,"HolidayCurrency:12,Diamonds:10",0
99,9,3,3,7,2,3,"HolidayCurrency:12,RaidCard:5",0
100,20,5,4,14,6,4,"HolidayCurrency:30,PetsLvl1:5",1
101,12,4,3,9,3,3,"HolidayCurrency:15,PetsLvl1:1",0
102,12,4,3,10,2,3,"HolidayCurrency:15,Diamonds:10",0
103,12,4,3,10,2,3,"HolidayCurrency:15,RaidCard:5",0
104,20,5,4,14,6,4,"HolidayCurrency:30,RaidCard:20",1
105,12,4,3,10,2,3,"HolidayCurrency:15,PetsLvl1:1",0
106,12,4,3,10,2,3,"HolidayCurrency:15,Diamonds:10",0
107,12,4,3,10,2,3,"HolidayCurrency:15,RaidCard:5",0
108,20,5,4,14,6,4,"HolidayCurrency:30,EquipmentShards:5",1
109,12,4,3,10,2,3,"HolidayCurrency:15,PetsLvl1:1",0
110,12,4,3,10,2,3,"HolidayCurrency:15,Diamonds:10",0
111,12,4,3,10,2,3,"HolidayCurrency:15,RaidCard:5",0
112,30,6,5,18,12,6,"HolidayCurrency:45,FortuneHelperWeapon:3",2
113,12,4,3,10,2,3,"HolidayCurrency:15,PetsLvl1:1",0
114,12,4,3,10,2,3,"HolidayCurrency:15,Diamonds:10",0
115,12,4,3,10,2,3,"HolidayCurrency:15,RaidCard:5",0
116,20,5,4,14,6,4,"HolidayCurrency:30,PetsLvl1:5",1
117,12,4,3,10,2,3,"HolidayCurrency:15,PetsLvl1:1",0
118,12,4,3,10,2,3,"HolidayCurrency:15,Diamonds:10",0
119,12,4,3,10,2,3,"HolidayCurrency:15,RaidCard:5",0
120,20,5,4,14,6,4,"HolidayCurrency:30,Diamonds:100",1
121,12,4,3,10,2,3,"HolidayCurrency:15,PetsLvl1:1",0
122,12,4,3,10,2,3,"HolidayCurrency:15,Diamonds:10",0
123,12,4,3,10,2,3,"HolidayCurrency:15,RaidCard:5",0
124,20,5,4,14,6,4,"HolidayCurrency:30,PetsLvl1:5",1
125,12,4,3,10,2,3,"HolidayCurrency:18,PetsLvl1:1",0
126,12,4,3,10,2,3,"HolidayCurrency:18,Diamonds:10",0
127,12,4,3,10,2,3,"HolidayCurrency:18,RaidCard:5",0
128,30,6,5,18,12,7,"HolidayCurrency:54,Diamonds:250",2
129,12,4,3,10,2,3,"HolidayCurrency:18,PetsLvl1:1",0
130,12,4,3,10,2,3,"HolidayCurrency:18,Diamonds:10",0
131,12,4,3,10,2,3,"HolidayCurrency:18,RaidCard:5",0
132,20,5,4,14,6,5,"HolidayCurrency:36,Perk:1",1
133,12,4,3,10,2,3,"HolidayCurrency:18,PetsLvl1:1",0
134,12,4,3,10,2,3,"HolidayCurrency:18,Diamonds:10",0
135,12,4,3,10,2,3,"HolidayCurrency:18,RaidCard:5",0
136,20,5,4,14,6,5,"HolidayCurrency:36,RaidCard:20",1
137,12,4,3,10,2,3,"HolidayCurrency:18,PetsLvl1:1",0
138,12,4,3,10,2,3,"HolidayCurrency:18,Diamonds:10",0
139,12,4,3,10,2,3,"HolidayCurrency:18,RaidCard:5",0
140,20,5,4,14,6,5,"HolidayCurrency:36,FortuneHelperWeapon:1",1
141,12,4,3,10,2,3,"HolidayCurrency:18,PetsLvl1:1",0
142,12,4,3,10,2,3,"HolidayCurrency:18,Diamonds:10",0
143,12,4,3,10,2,3,"HolidayCurrency:18,RaidCard:5",0
144,30,6,5,18,12,7,"HolidayCurrency:54,RaidCard:100",2
145,12,4,3,10,2,3,"HolidayCurrency:18,PetsLvl1:1",0
146,12,4,3,10,2,3,"HolidayCurrency:18,Diamonds:10",0
147,12,4,3,10,2,3,"HolidayCurrency:18,RaidCard:5",0
148,20,5,4,14,6,5,"HolidayCurrency:36,RaidCard:20",1
149,12,4,3,10,2,3,"HolidayCurrency:18,PetsLvl1:1",0
150,12,4,3,10,2,3,"HolidayCurrency:21,Diamonds:10",0
151,12,4,3,10,2,3,"HolidayCurrency:21,RaidCard:5",0
152,20,5,4,14,6,5,"HolidayCurrency:42,Diamonds:100",1
153,12,4,3,10,2,3,"HolidayCurrency:21,PetsLvl1:1",0
154,12,4,3,10,2,3,"HolidayCurrency:21,Diamonds:10",0
155,12,4,3,10,2,3,"HolidayCurrency:21,RaidCard:5",0
156,20,5,4,14,6,5,"HolidayCurrency:42,EquipmentShards:5",1
157,12,4,3,10,2,3,"HolidayCurrency:21,PetsLvl1:1",0
158,12,4,3,10,2,3,"HolidayCurrency:21,Diamonds:10",0
159,12,4,3,10,2,3,"HolidayCurrency:21,RaidCard:5",0
160,30,6,5,18,12,7,"HolidayCurrency:63,RaidWildcard:50",2
161,12,4,3,10,2,3,"HolidayCurrency:21,HelperWeapon:1",0
162,12,4,3,10,2,3,"HolidayCurrency:21,Diamonds:10",0
163,12,4,3,10,2,3,"HolidayCurrency:21,RaidCard:5",0
164,20,5,4,14,6,5,"HolidayCurrency:42,SkillPoint:1",1
165,12,4,3,10,2,3,"HolidayCurrency:21,PetsLvl1:1",0
166,12,4,3,10,2,3,"HolidayCurrency:21,Diamonds:10",0
167,12,4,3,10,2,3,"HolidayCurrency:21,RaidCard:5",0
168,20,5,4,14,6,5,"HolidayCurrency:42,PetsLvl1:5",1
169,12,4,3,10,2,3,"HolidayCurrency:21,PetsLvl1:1",0
170,12,4,3,10,2,3,"HolidayCurrency:21,Diamonds:10",0
171,12,4,3,10,2,3,"HolidayCurrency:21,RaidCard:5",0
172,20,5,4,14,6,5,"HolidayCurrency:42,Perk:1",1
173,12,4,3,9,3,3,"HolidayCurrency:21,PetsLvl1:1",0
174,12,4,3,9,3,3,"HolidayCurrency:21,Diamonds:10",0
175,12,4,3,9,3,3,"HolidayCurrency:24,RaidCard:5",0
176,30,6,5,17,13,7,"HolidayCurrency:72,Equipment:Legendary",2
177,12,4,3,9,3,3,"HolidayCurrency:24,PetsLvl1:1",0
178,12,4,3,9,3,3,"HolidayCurrency:24,Diamonds:10",0
179,12,4,3,9,3,3,"HolidayCurrency:24,RaidCard:5",0
180,20,5,4,14,6,5,"HolidayCurrency:48,PetsLvl1:5",1
181,12,4,3,9,3,3,"HolidayCurrency:24,PetsLvl1:1",0
182,12,4,3,9,3,3,"HolidayCurrency:24,Diamonds:10",0
183,12,4,3,9,3,3,"HolidayCurrency:24,RaidCard:5",0
184,20,5,4,14,6,5,"HolidayCurrency:48,PetsLvl1:5",1
185,12,4,3,9,3,3,"HolidayCurrency:24,PetsLvl1:1",0
186,12,4,3,9,3,3,"HolidayCurrency:24,Diamonds:10",0
187,12,4,3,9,3,3,"HolidayCurrency:24,RaidCard:5",0
188,20,5,4,14,6,5,"HolidayCurrency:48,Diamonds:100",1
189,12,4,3,9,3,3,"HolidayCurrency:24,PetsLvl1:1",0
190,12,4,3,9,3,3,"HolidayCurrency:24,Diamonds:10",0
191,12,4,3,9,3,3,"HolidayCurrency:24,RaidCard:5",0
192,30,6,5,17,13,8,"HolidayCurrency:72,Equipment:Suit_Nomad",2
193,12,4,3,9,3,3,"HolidayCurrency:24,PetsLvl1:1",0
194,12,4,3,9,3,3,"HolidayCurrency:24,Diamonds:10",0
195,12,4,3,9,3,3,"HolidayCurrency:24,RaidCard:5",0
196,20,5,4,14,6,5,"HolidayCurrency:48,SkillPoint:1",1
197,12,4,3,9,3,3,"HolidayCurrency:24,PetsLvl1:1",0
198,12,4,3,9,3,3,"HolidayCurrency:24,Diamonds:10",0
199,12,4,3,9,3,3,"HolidayCurrency:24,RaidCard:5",0
200,30,6,5,20,10,7,"HolidayCurrency:50,EquipmentShards:5",1
201,20,5,4,16,4,5,"HolidayCurrency:25,PetsLvl1:1",0
202,20,5,4,16,4,5,"HolidayCurrency:25,Diamonds:10",0
203,20,5,4,16,4,5,"HolidayCurrency:25,RaidCard:5",0
204,30,6,5,20,10,7,"HolidayCurrency:50,PetsLvl1:5",1
205,20,5,4,16,4,5,"HolidayCurrency:25,PetsLvl1:1",0
206,20,5,4,16,4,5,"HolidayCurrency:25,Diamonds:10",0
207,20,5,4,16,4,5,"HolidayCurrency:25,RaidCard:5",0
208,36,6,6,21,15,9,"HolidayCurrency:75,RaidWildcard:50",2
209,20,5,4,16,4,5,"HolidayCurrency:25,PetsLvl1:1",0
210,20,5,4,16,4,5,"HolidayCurrency:25,Diamonds:10",0
211,20,5,4,16,4,5,"HolidayCurrency:25,RaidCard:5",0
212,30,6,5,20,10,8,"HolidayCurrency:50,RaidCard:20",1
213,20,5,4,16,4,5,"HolidayCurrency:25,PetsLvl1:1",0
214,20,5,4,16,4,5,"HolidayCurrency:25,Diamonds:10",0
215,20,5,4,16,4,5,"HolidayCurrency:25,RaidCard:5",0
216,30,6,5,20,10,8,"HolidayCurrency:50,Perk:1",1
217,20,5,4,16,4,5,"HolidayCurrency:25,PetsLvl1:1",0
218,20,5,4,16,4,5,"HolidayCurrency:25,Diamonds:10",0
219,20,5,4,16,4,5,"HolidayCurrency:25,RaidCard:5",0
220,30,6,5,20,10,8,"HolidayCurrency:50,PetsLvl1:5",1
221,20,5,4,16,4,5,"HolidayCurrency:25,PetsLvl1:1",0
222,20,5,4,16,4,5,"HolidayCurrency:25,Diamonds:10",0
223,20,5,4,16,4,5,"HolidayCurrency:25,RaidCard:5",0
224,36,6,6,20,16,9,"HolidayCurrency:75,Diamonds:250",2
225,20,5,4,16,4,5,"HolidayCurrency:25,PetsLvl1:1",0
226,20,5,4,16,4,5,"HolidayCurrency:25,Diamonds:10",0
227,20,5,4,16,4,5,"HolidayCurrency:25,RaidCard:5",0
228,30,6,5,20,10,8,"HolidayCurrency:50,RaidCard:20",1
229,20,5,4,16,4,5,"HolidayCurrency:25,PetsLvl1:1",0
230,20,5,4,16,4,5,"HolidayCurrency:25,Diamonds:10",0
231,20,5,4,16,4,5,"HolidayCurrency:25,RaidCard:5",0
232,30,6,5,20,10,8,"HolidayCurrency:50,Diamonds:100",1
233,20,5,4,16,4,6,"HolidayCurrency:25,PetsLvl1:1",0
234,20,5,4,16,4,6,"HolidayCurrency:25,Diamonds:10",0
235,20,5,4,16,4,6,"HolidayCurrency:25,RaidCard:5",0
236,30,6,5,20,10,8,"HolidayCurrency:50,EquipmentShards:5",1
237,20,5,4,16,4,6,"HolidayCurrency:25,PetsLvl1:1",0
238,20,5,4,16,4,6,"HolidayCurrency:25,Diamonds:10",0
239,20,5,4,16,4,6,"HolidayCurrency:25,RaidCard:5",0
240,36,6,6,20,16,10,"HolidayCurrency:75,Equipment:Legendary",2
241,20,5,4,16,4,6,"HolidayCurrency:25,PetsLvl1:1",0
242,20,5,4,16,4,6,"HolidayCurrency:25,Diamonds:10",0
243,20,5,4,16,4,6,"HolidayCurrency:25,RaidCard:5",0
244,30,6,5,20,10,8,"HolidayCurrency:50,PetsLvl1:5",1
245,20,5,4,15,5,5,"HolidayCurrency:25,PetsLvl1:1",0
246,20,5,4,15,5,5,"HolidayCurrency:25,Diamonds:10",0
247,20,5,4,15,5,5,"HolidayCurrency:25,RaidCard:5",0
248,30,6,5,20,10,8,"HolidayCurrency:50,SkillPoint:1",1
249,20,5,4,15,5,5,"HolidayCurrency:25,PetsLvl1:1",0
250,20,5,4,15,5,5,"HolidayCurrency:25,Diamonds:10",0
251,20,5,4,15,5,5,"HolidayCurrency:25,RaidCard:5",0
252,30,6,5,20,10,8,"HolidayCurrency:50,RaidWildcard:10",1
253,20,5,4,15,5,5,"HolidayCurrency:25,PetsLvl1:1",0
254,20,5,4,15,5,5,"HolidayCurrency:25,Diamonds:10",0
255,20,5,4,15,5,5,"HolidayCurrency:25,RaidCard:5",0
256,36,6,6,20,16,10,"HolidayCurrency:75,Equipment:Legendary",2
257,20,5,4,15,5,5,"HolidayCurrency:25,PetsLvl1:1",0
258,20,5,4,15,5,6,"HolidayCurrency:25,Diamonds:10",0
259,20,5,4,15,5,6,"HolidayCurrency:25,RaidCard:5",0
260,30,6,5,20,10,8,"HolidayCurrency:50,FortuneHelperWeapon:1",1
261,20,5,4,15,5,6,"HolidayCurrency:25,HelperWeapon:1",0
262,20,5,4,15,5,6,"HolidayCurrency:25,Diamonds:10",0
263,20,5,4,15,5,6,"HolidayCurrency:25,RaidCard:5",0
264,30,6,5,20,10,9,"HolidayCurrency:50,PetsLvl1:5",1
265,20,5,4,15,5,6,"HolidayCurrency:25,PetsLvl1:1",0
266,20,5,4,15,5,6,"HolidayCurrency:25,Diamonds:10",0
267,20,5,4,15,5,6,"HolidayCurrency:25,RaidCard:5",0
268,30,6,5,20,10,9,"HolidayCurrency:50,Perk:1",1
269,20,5,4,15,5,6,"HolidayCurrency:25,PetsLvl1:1",0
270,20,5,4,15,5,6,"HolidayCurrency:25,Diamonds:10",0
271,20,5,4,15,5,6,"HolidayCurrency:25,RaidCard:5",0
272,36,6,6,20,16,10,"HolidayCurrency:75,EquipmentShards:20",2
273,20,5,4,15,5,6,"HolidayCurrency:25,PetsLvl1:1",0
274,20,5,4,15,5,6,"HolidayCurrency:25,Diamonds:10",0
275,20,5,4,15,5,6,"HolidayCurrency:25,RaidCard:5",0
276,30,6,5,20,10,9,"HolidayCurrency:50,Diamonds:100",1
277,20,5,4,15,5,6,"HolidayCurrency:25,Perk:1",0
278,20,5,4,15,5,6,"HolidayCurrency:25,Diamonds:10",0
279,20,5,4,15,5,6,"HolidayCurrency:25,RaidCard:5",0
280,30,6,5,20,10,9,"HolidayCurrency:50,EquipmentShards:5",1
281,20,5,4,15,5,6,"HolidayCurrency:25,PetsLvl1:1",0
282,20,5,4,15,5,6,"HolidayCurrency:25,Diamonds:10",0
283,20,5,4,15,5,6,"HolidayCurrency:25,RaidCard:5",0
284,30,6,5,20,10,9,"HolidayCurrency:50,Perk:1",1
285,20,5,4,15,5,6,"HolidayCurrency:25,PetsLvl1:1",0
286,20,5,4,15,5,6,"HolidayCurrency:25,Diamonds:10",0
287,20,5,4,15,5,6,"HolidayCurrency:25,RaidCard:5",0
288,36,6,6,20,16,10,"HolidayCurrency:75,RaidCard:100",2
289,20,5,4,15,5,6,"HolidayCurrency:25,PetsLvl1:1",0
290,20,5,4,15,5,6,"HolidayCurrency:25,Diamonds:10",0
291,20,5,4,15,5,6,"HolidayCurrency:25,RaidCard:5",0
292,30,6,5,20,10,9,"HolidayCurrency:50,FortuneHelperWeapon:1",1
293,20,5,4,15,5,6,"HolidayCurrency:25,PetsLvl1:1",0
294,20,5,4,15,5,6,"HolidayCurrency:25,Diamonds:10",0
295,20,5,4,15,5,6,"HolidayCurrency:25,RaidCard:5",0
296,30,6,5,20,10,9,"HolidayCurrency:50,RaidCard:20",1
297,20,5,4,15,5,6,"HolidayCurrency:25,PetsLvl1:1",0
298,20,5,4,15,5,6,"HolidayCurrency:25,Diamonds:10",0
299,20,5,4,15,5,6,"HolidayCurrency:25,RaidCard:5",0
300,30,6,5,20,10,9,"HolidayCurrency:50,Perk:1",1
301,24,6,4,18,6,7,"HolidayCurrency:25,PetsLvl1:1",0
302,24,6,4,18,6,7,"HolidayCurrency:25,Diamonds:10",0
303,24,6,4,18,6,7,"HolidayCurrency:25,RaidCard:5",0
304,36,6,6,20,16,10,"HolidayCurrency:75,Diamonds:250",2
305,24,6,4,18,6,7,"HolidayCurrency:25,PetsLvl1:1",0
306,24,6,4,18,6,7,"HolidayCurrency:25,Diamonds:10",0
307,24,6,4,18,6,7,"HolidayCurrency:25,RaidCard:5",0
308,30,6,5,20,10,9,"HolidayCurrency:50,PetsLvl1:5",1
309,24,6,4,18,6,7,"HolidayCurrency:25,PetsLvl1:1",0
310,24,6,4,18,6,7,"HolidayCurrency:25,Diamonds:10",0
311,24,6,4,18,6,7,"HolidayCurrency:25,RaidCard:5",0
312,30,6,5,20,10,9,"HolidayCurrency:50,RaidCard:20",1
313,24,6,4,18,6,7,"HolidayCurrency:25,PetsLvl1:1",0
314,24,6,4,18,6,7,"HolidayCurrency:25,Diamonds:10",0
315,24,6,4,18,6,7,"HolidayCurrency:25,RaidCard:5",0
316,30,6,5,20,10,9,"HolidayCurrency:50,Equipment:Rare:5",1
317,24,6,4,18,6,7,"HolidayCurrency:25,PetsLvl1:1",0
318,24,6,4,18,6,7,"HolidayCurrency:25,Diamonds:10",0
319,24,6,4,18,6,7,"HolidayCurrency:25,RaidCard:5",0
320,36,6,6,20,16,10,"HolidayCurrency:75,EquipmentShards:20",2
321,24,6,4,18,6,7,"HolidayCurrency:25,PetsLvl1:1",0
322,24,6,4,18,6,7,"HolidayCurrency:25,Diamonds:10",0
323,24,6,4,18,6,7,"HolidayCurrency:25,RaidCard:5",0
324,30,6,5,20,10,9,"HolidayCurrency:50,Perk:1",1
325,24,6,4,18,6,7,"HolidayCurrency:25,HelperWeapon:1",0
326,24,6,4,18,6,7,"HolidayCurrency:25,Diamonds:10",0
327,24,6,4,18,6,7,"HolidayCurrency:25,RaidCard:5",0
328,30,6,5,20,10,9,"HolidayCurrency:50,SkillPoint:1",1
329,24,6,4,18,6,7,"HolidayCurrency:25,PetsLvl1:1",0
330,24,6,4,18,6,7,"HolidayCurrency:25,Diamonds:10",0
331,24,6,4,18,6,7,"HolidayCurrency:25,HelperWeapon:1",0
332,30,6,5,19,11,9,"HolidayCurrency:50,Perk:1",1
333,24,6,4,18,6,7,"HolidayCurrency:25,RaidCard:5",0
334,24,6,4,18,6,7,"HolidayCurrency:25,Diamonds:10",0
335,24,6,4,18,6,7,"HolidayCurrency:25,PetsLvl1:1",0
336,36,6,6,20,16,11,"HolidayCurrency:75,RaidWildcard:50",2
337,24,6,4,18,6,7,"HolidayCurrency:25,RaidCard:5",0
338,24,6,4,18,6,7,"HolidayCurrency:25,Diamonds:10",0
339,24,6,4,18,6,7,"HolidayCurrency:25,PetsLvl1:1",0
340,30,6,5,19,11,9,"HolidayCurrency:50,PetsLvl1:5",1
341,24,6,4,18,6,7,"HolidayCurrency:25,RaidCard:5",0
342,24,6,4,18,6,7,"HolidayCurrency:25,Diamonds:10",0
343,24,6,4,18,6,7,"HolidayCurrency:25,PetsLvl1:1",0
344,30,6,5,19,11,9,"HolidayCurrency:50,RaidCard:20",1
345,24,6,4,18,6,7,"HolidayCurrency:25,RaidCard:5",0
346,24,6,4,18,6,7,"HolidayCurrency:25,Diamonds:10",0
347,24,6,4,18,6,7,"HolidayCurrency:25,PetsLvl1:1",0
348,30,6,5,19,11,9,"HolidayCurrency:50,EquipmentShards:5",1
349,24,6,4,18,6,7,"HolidayCurrency:25,RaidCard:5",0
350,24,6,4,18,6,7,"HolidayCurrency:25,Diamonds:10",0
351,24,6,4,18,6,7,"HolidayCurrency:25,PetsLvl1:1",0
352,36,6,6,20,16,11,"HolidayCurrency:75,FortuneHelperWeapon:3",2
353,24,6,4,18,6,7,"HolidayCurrency:25,RaidCard:5",0
354,24,6,4,18,6,7,"HolidayCurrency:25,Diamonds:10",0
355,24,6,4,18,6,7,"HolidayCurrency:25,PetsLvl1:1",0
356,30,6,5,19,11,9,"HolidayCurrency:50,PetsLvl1:5",1
357,24,6,4,18,6,7,"HolidayCurrency:25,RaidCard:5",0
358,24,6,4,18,6,7,"HolidayCurrency:25,Diamonds:10",0
359,24,6,4,18,6,7,"HolidayCurrency:25,PetsLvl1:1",0
360,30,6,5,19,11,9,"HolidayCurrency:50,Diamonds:100",1
361,24,6,4,18,6,7,"HolidayCurrency:25,RaidCard:5",0
362,24,6,4,18,6,7,"HolidayCurrency:25,Diamonds:10",0
363,24,6,4,18,6,7,"HolidayCurrency:25,PetsLvl1:1",0
364,30,6,5,19,11,9,"HolidayCurrency:50,PetsLvl1:5",1
365,24,6,4,18,6,7,"HolidayCurrency:25,RaidCard:5",0
366,24,6,4,18,6,7,"HolidayCurrency:25,Diamonds:10",0
367,24,6,4,18,6,7,"HolidayCurrency:25,PetsLvl1:1",0
368,36,6,6,19,17,10,"HolidayCurrency:75,Diamonds:250",2
369,24,6,4,18,6,7,"HolidayCurrency:25,RaidCard:5",0
370,24,6,4,18,6,7,"HolidayCurrency:25,Diamonds:10",0
371,24,6,4,18,6,7,"HolidayCurrency:25,PetsLvl1:1",0
372,30,6,5,19,11,9,"HolidayCurrency:50,Perk:1",1
373,24,6,4,18,6,7,"HolidayCurrency:25,RaidCard:5",0
374,24,6,4,18,6,7,"HolidayCurrency:25,Diamonds:10",0
375,24,6,4,18,6,7,"HolidayCurrency:25,PetsLvl1:1",0
