StartRank,EndRank,PrizeType,Diamonds,ChallengePoints,HolidayCurrency,TournamentRewards,ResourceRewards,AvatarReward,SkillPoint,Perk,EquipmentShards,Pet,HelperWeapon,FortuneHelperWeapon
2,2,Type2,1100,330,290,"Avatar:AvatarSuperAbyssalTournament2,Diamonds:1100,ChallengePoints:330,HolidayCurrency:290","Diamonds:1100,ChallengePoints:330,HolidayCurrency:290",Avatar:AvatarSuperAbyssalTournament2,0,0,0,0,0,0
3,3,Type2,800,240,280,"Avatar:AvatarSuperAbyssalTournament3,Diamonds:800,ChallengePoints:240,HolidayCurrency:280","Diamonds:800,ChallengePoints:240,HolidayCurrency:280",Avatar:AvatarSuperAbyssalTournament3,0,0,0,0,0,0
4,4,Type2,600,165,270,"Avatar:AvatarSuperAbyssalTournament4,Diamonds:600,ChallengePoints:165,HolidayCurrency:270","Diamonds:600,ChallengePoints:165,HolidayCurrency:270",Avatar:AvatarSuperAbyssalTournament4,0,0,0,0,0,0
5,27,Type2,400,105,240,"Avatar:AvatarSuperAbyssalTournament4,Diamonds:400,ChallengePoints:105,HolidayCurrency:240","Diamonds:400,ChallengePoints:105,HolidayCurrency:240",Avatar:AvatarSuperAbyssalTournament4,0,0,0,0,0,0
28,57,Type2,200,60,210,"Avatar:AvatarSuperAbyssalTournament4,Diamonds:200,ChallengePoints:60,HolidayCurrency:210","Diamonds:200,ChallengePoints:60,HolidayCurrency:210",Avatar:AvatarSuperAbyssalTournament4,0,0,0,0,0,0
58,87,Type2,100,30,180,"Avatar:AvatarSuperAbyssalTournament4,Diamonds:100,ChallengePoints:30,HolidayCurrency:180","Diamonds:100,ChallengePoints:30,HolidayCurrency:180",Avatar:AvatarSuperAbyssalTournament4,0,0,0,0,0,0
88,117,Type2,50,15,150,"Avatar:AvatarSuperAbyssalTournament4,Diamonds:50,ChallengePoints:15,HolidayCurrency:150","Diamonds:50,ChallengePoints:15,HolidayCurrency:150",Avatar:AvatarSuperAbyssalTournament4,0,0,0,0,0,0
118,150,Type2,10,3,120,"Avatar:AvatarSuperAbyssalTournament4,Diamonds:10,ChallengePoints:3,HolidayCurrency:120","Diamonds:10,ChallengePoints:3,HolidayCurrency:120",Avatar:AvatarSuperAbyssalTournament4,0,0,0,0,0,0
0,0,Type3,1500,450,300,"Avatar:AvatarSuperAbyssalTournament1,Diamonds:1500,ChallengePoints:450,HolidayCurrency:300","Diamonds:1500,ChallengePoints:450,HolidayCurrency:300",Avatar:AvatarSuperAbyssalTournament1,0,0,0,0,0,0
1,1,Type3,1300,390,295,"Avatar:AvatarSuperAbyssalTournament1,Diamonds:1300,ChallengePoints:390,HolidayCurrency:295","Diamonds:1300,ChallengePoints:390,HolidayCurrency:295",Avatar:AvatarSuperAbyssalTournament1,0,0,0,0,0,0
2,2,Type3,1100,330,290,"Avatar:AvatarSuperAbyssalTournament2,Diamonds:1100,ChallengePoints:330,HolidayCurrency:290","Diamonds:1100,ChallengePoints:330,HolidayCurrency:290",Avatar:AvatarSuperAbyssalTournament2,0,0,0,0,0,0
3,3,Type3,800,240,280,"Avatar:AvatarSuperAbyssalTournament3,Diamonds:800,ChallengePoints:240,HolidayCurrency:280","Diamonds:800,ChallengePoints:240,HolidayCurrency:280",Avatar:AvatarSuperAbyssalTournament3,0,0,0,0,0,0
4,4,Type3,600,165,270,"Avatar:AvatarSuperAbyssalTournament4,Diamonds:600,ChallengePoints:165,HolidayCurrency:270","Diamonds:600,ChallengePoints:165,HolidayCurrency:270",Avatar:AvatarSuperAbyssalTournament4,0,0,0,0,0,0
5,27,Type3,400,105,240,"Avatar:AvatarSuperAbyssalTournament4,Diamonds:400,ChallengePoints:105,HolidayCurrency:240","Diamonds:400,ChallengePoints:105,HolidayCurrency:240",Avatar:AvatarSuperAbyssalTournament4,0,0,0,0,0,0
28,57,Type3,200,60,210,"Avatar:AvatarSuperAbyssalTournament4,Diamonds:200,ChallengePoints:60,HolidayCurrency:210","Diamonds:200,ChallengePoints:60,HolidayCurrency:210",Avatar:AvatarSuperAbyssalTournament4,0,0,0,0,0,0
58,87,Type3,100,30,180,"Avatar:AvatarSuperAbyssalTournament4,Diamonds:100,ChallengePoints:30,HolidayCurrency:180","Diamonds:100,ChallengePoints:30,HolidayCurrency:180",Avatar:AvatarSuperAbyssalTournament4,0,0,0,0,0,0
88,117,Type3,50,15,150,"Avatar:AvatarSuperAbyssalTournament4,Diamonds:50,ChallengePoints:15,HolidayCurrency:150","Diamonds:50,ChallengePoints:15,HolidayCurrency:150",Avatar:AvatarSuperAbyssalTournament4,0,0,0,0,0,0
118,150,Type3,10,3,120,"Avatar:AvatarSuperAbyssalTournament4,Diamonds:10,ChallengePoints:3,HolidayCurrency:120","Diamonds:10,ChallengePoints:3,HolidayCurrency:120",Avatar:AvatarSuperAbyssalTournament4,0,0,0,0,0,0
