Index,Category,Rare1,Legendary1,Legendary2,Mythic1,Mythic2,Mythic3,R1,R2,R3,L1,L2,L3,M1,M2,M3
0,Hat,AllDamage,AllDamage,TitanDamage,AllDamage,TitanDamage,FlyingHelperDamage,0.00000E+00,1.00000E+00,1.00000E+00,0.00000E+00,1.00000E+00,1.00000E+00,1.15960E-05,1.43047E+00,1.00011E+00
1,Hat,AllDamage,AllDamage,FlyingHelperDamage,AllDamage,TitanDamage,GroundHelperDamage,0.00000E+00,1.00000E+00,1.00000E+00,1.15960E-05,1.43047E+00,1.00011E+00,1.15960E-05,1.43047E+00,1.00011E+00
2,Hat,TitanDamage,AllDamage,GroundHelperDamage,AllDamage,TitanDamage,BossDamage,0.00000E+00,1.00000E+00,1.00000E+00,1.15960E-05,1.43047E+00,1.00011E+00,1.22359E-04,1.13391E+00,9.99927E-01
3,Hat,TitanDamage,AllDamage,BossDamage,AllDamage,FlyingHelperDamage,GroundHelperDamage,0.00000E+00,1.00000E+00,1.00000E+00,1.22359E-04,1.13391E+00,9.99927E-01,1.15960E-05,1.43047E+00,1.00011E+00
4,Hat,FlyingHelperDamage,TitanDamage,FlyingHelperDamage,AllDamage,FlyingHelperDamage,BossDamage,1.15960E-05,1.43047E+00,1.00011E+00,1.15960E-05,1.43047E+00,1.00011E+00,1.65903E-08,2.32826E+00,1.00021E+00
5,Hat,FlyingHelperDamage,TitanDamage,GroundHelperDamage,AllDamage,GroundHelperDamage,BossDamage,1.15960E-05,1.43047E+00,1.00011E+00,1.15960E-05,1.43047E+00,1.00011E+00,1.65903E-08,2.32826E+00,1.00021E+00
6,Hat,GroundHelperDamage,TitanDamage,BossDamage,TitanDamage,FlyingHelperDamage,GroundHelperDamage,1.15960E-05,1.43047E+00,1.00011E+00,1.22359E-04,1.13391E+00,9.99927E-01,1.15960E-05,1.43047E+00,1.00011E+00
7,Hat,GroundHelperDamage,FlyingHelperDamage,GroundHelperDamage,TitanDamage,FlyingHelperDamage,BossDamage,1.15960E-05,1.43047E+00,1.00011E+00,1.15960E-05,1.43047E+00,1.00011E+00,1.65903E-08,2.32826E+00,1.00021E+00
8,Hat,BossDamage,FlyingHelperDamage,BossDamage,TitanDamage,GroundHelperDamage,BossDamage,1.22359E-04,1.13391E+00,9.99927E-01,1.65903E-08,2.32826E+00,1.00021E+00,1.65903E-08,2.32826E+00,1.00021E+00
9,Hat,BossDamage,GroundHelperDamage,BossDamage,FlyingHelperDamage,GroundHelperDamage,BossDamage,1.22359E-04,1.13391E+00,9.99927E-01,1.65903E-08,2.32826E+00,1.00021E+00,1.65903E-08,2.32826E+00,1.00021E+00
0,Suit,JackpotGold,JackpotGold,PetGoldQTEAmount,JackpotGold,PetGoldQTEAmount,MultiMonstersGold,0.00000E+00,1.00000E+00,1.00000E+00,5.25155E-06,1.54391E+00,1.00012E+00,5.25155E-06,1.54391E+00,1.00012E+00
1,Suit,JackpotGold,JackpotGold,MultiMonstersGold,JackpotGold,PetGoldQTEAmount,FairyGold,0.00000E+00,1.00000E+00,1.00000E+00,0.00000E+00,1.00000E+00,1.00000E+00,5.25155E-06,1.54391E+00,1.00012E+00
2,Suit,PetGoldQTEAmount,JackpotGold,FairyGold,JackpotGold,PetGoldQTEAmount,HandOfMidasSkillAmount,5.25155E-06,1.54391E+00,1.00012E+00,5.25155E-06,1.54391E+00,1.00012E+00,6.12377E-10,2.76275E+00,1.00025E+00
3,Suit,PetGoldQTEAmount,JackpotGold,HandOfMidasSkillAmount,JackpotGold,MultiMonstersGold,FairyGold,5.25155E-06,1.54391E+00,1.00012E+00,2.39616E-05,1.32409E+00,1.00009E+00,5.25155E-06,1.54391E+00,1.00012E+00
4,Suit,MultiMonstersGold,PetGoldQTEAmount,MultiMonstersGold,JackpotGold,MultiMonstersGold,HandOfMidasSkillAmount,0.00000E+00,1.00000E+00,1.00000E+00,5.25155E-06,1.54391E+00,1.00012E+00,2.39616E-05,1.32409E+00,1.00009E+00
5,Suit,MultiMonstersGold,PetGoldQTEAmount,FairyGold,JackpotGold,FairyGold,HandOfMidasSkillAmount,0.00000E+00,1.00000E+00,1.00000E+00,5.25155E-06,1.54391E+00,1.00012E+00,6.12377E-10,2.76275E+00,1.00025E+00
6,Suit,FairyGold,PetGoldQTEAmount,HandOfMidasSkillAmount,PetGoldQTEAmount,MultiMonstersGold,FairyGold,5.25155E-06,1.54391E+00,1.00012E+00,6.12377E-10,2.76275E+00,1.00025E+00,5.25155E-06,1.54391E+00,1.00012E+00
7,Suit,FairyGold,MultiMonstersGold,FairyGold,PetGoldQTEAmount,MultiMonstersGold,HandOfMidasSkillAmount,5.25155E-06,1.54391E+00,1.00012E+00,5.25155E-06,1.54391E+00,1.00012E+00,6.12377E-10,2.76275E+00,1.00025E+00
8,Suit,HandOfMidasSkillAmount,MultiMonstersGold,HandOfMidasSkillAmount,PetGoldQTEAmount,FairyGold,HandOfMidasSkillAmount,2.39616E-05,1.32409E+00,1.00009E+00,2.39616E-05,1.32409E+00,1.00009E+00,6.12377E-10,2.76275E+00,1.00025E+00
9,Suit,HandOfMidasSkillAmount,FairyGold,HandOfMidasSkillAmount,MultiMonstersGold,FairyGold,HandOfMidasSkillAmount,2.39616E-05,1.32409E+00,1.00009E+00,6.12377E-10,2.76275E+00,1.00025E+00,6.12377E-10,2.76275E+00,1.00025E+00
0,Aura,ChestChance,ChestChance,FairySpawnChance,ChestChance,FairySpawnChance,ChestGoldx10Chance,0.00000E+00,1.00000E+00,1.00000E+00,0.00000E+00,1.00000E+00,1.00000E+00,0.00000E+00,1.00000E+00,1.00000E+00
1,Aura,ChestChance,ChestChance,ChestGoldx10Chance,ChestChance,FairySpawnChance,BossGoldx10Chance,0.00000E+00,1.00000E+00,1.00000E+00,0.00000E+00,1.00000E+00,1.00000E+00,0.00000E+00,1.00000E+00,1.00000E+00
2,Aura,FairySpawnChance,ChestChance,BossGoldx10Chance,ChestChance,FairySpawnChance,ManaMonsterSpawnChance,0.00000E+00,1.00000E+00,1.00000E+00,0.00000E+00,1.00000E+00,1.00000E+00,0.00000E+00,1.00000E+00,1.00000E+00
3,Aura,FairySpawnChance,ChestChance,ManaMonsterSpawnChance,ChestChance,ChestGoldx10Chance,BossGoldx10Chance,0.00000E+00,1.00000E+00,1.00000E+00,0.00000E+00,1.00000E+00,1.00000E+00,0.00000E+00,1.00000E+00,1.00000E+00
4,Aura,ChestGoldx10Chance,FairySpawnChance,ChestGoldx10Chance,ChestChance,ChestGoldx10Chance,ManaMonsterSpawnChance,0.00000E+00,1.00000E+00,1.00000E+00,0.00000E+00,1.00000E+00,1.00000E+00,0.00000E+00,1.00000E+00,1.00000E+00
5,Aura,ChestGoldx10Chance,FairySpawnChance,BossGoldx10Chance,ChestChance,BossGoldx10Chance,ManaMonsterSpawnChance,0.00000E+00,1.00000E+00,1.00000E+00,0.00000E+00,1.00000E+00,1.00000E+00,0.00000E+00,1.00000E+00,1.00000E+00
6,Aura,BossGoldx10Chance,FairySpawnChance,ManaMonsterSpawnChance,FairySpawnChance,ChestGoldx10Chance,BossGoldx10Chance,0.00000E+00,1.00000E+00,1.00000E+00,0.00000E+00,1.00000E+00,1.00000E+00,0.00000E+00,1.00000E+00,1.00000E+00
7,Aura,BossGoldx10Chance,ChestGoldx10Chance,BossGoldx10Chance,FairySpawnChance,ChestGoldx10Chance,ManaMonsterSpawnChance,0.00000E+00,1.00000E+00,1.00000E+00,0.00000E+00,1.00000E+00,1.00000E+00,0.00000E+00,1.00000E+00,1.00000E+00
8,Aura,ManaMonsterSpawnChance,ChestGoldx10Chance,ManaMonsterSpawnChance,FairySpawnChance,BossGoldx10Chance,ManaMonsterSpawnChance,0.00000E+00,1.00000E+00,1.00000E+00,0.00000E+00,1.00000E+00,1.00000E+00,0.00000E+00,1.00000E+00,1.00000E+00
9,Aura,ManaMonsterSpawnChance,BossGoldx10Chance,ManaMonsterSpawnChance,ChestGoldx10Chance,BossGoldx10Chance,ManaMonsterSpawnChance,0.00000E+00,1.00000E+00,1.00000E+00,0.00000E+00,1.00000E+00,1.00000E+00,0.00000E+00,1.00000E+00,1.00000E+00
0,Slash,CritChance,CritChance,DeadlyChance,CritChance,DeadlyChance,MultiMonsters,0.00000E+00,1.00000E+00,1.00000E+00,0.00000E+00,1.00000E+00,1.00000E+00,0.00000E+00,1.00000E+00,1.00000E+00
1,Slash,CritChance,CritChance,MultiMonsters,CritChance,DeadlyChance,StageSkipMonsterSpawnChance,0.00000E+00,1.00000E+00,1.00000E+00,0.00000E+00,1.00000E+00,1.00000E+00,0.00000E+00,1.00000E+00,1.00000E+00
2,Slash,DeadlyChance,CritChance,StageSkipMonsterSpawnChance,CritChance,DeadlyChance,AllProbabilityBoost,0.00000E+00,1.00000E+00,1.00000E+00,0.00000E+00,1.00000E+00,1.00000E+00,0.00000E+00,1.00000E+00,1.00000E+00
3,Slash,DeadlyChance,CritChance,AllProbabilityBoost,CritChance,MultiMonsters,StageSkipMonsterSpawnChance,0.00000E+00,1.00000E+00,1.00000E+00,0.00000E+00,1.00000E+00,1.00000E+00,0.00000E+00,1.00000E+00,1.00000E+00
4,Slash,MultiMonsters,DeadlyChance,MultiMonsters,CritChance,MultiMonsters,AllProbabilityBoost,0.00000E+00,1.00000E+00,1.00000E+00,0.00000E+00,1.00000E+00,1.00000E+00,0.00000E+00,1.00000E+00,1.00000E+00
5,Slash,MultiMonsters,DeadlyChance,StageSkipMonsterSpawnChance,CritChance,StageSkipMonsterSpawnChance,AllProbabilityBoost,0.00000E+00,1.00000E+00,1.00000E+00,0.00000E+00,1.00000E+00,1.00000E+00,0.00000E+00,1.00000E+00,1.00000E+00
6,Slash,StageSkipMonsterSpawnChance,DeadlyChance,AllProbabilityBoost,DeadlyChance,MultiMonsters,StageSkipMonsterSpawnChance,0.00000E+00,1.00000E+00,1.00000E+00,0.00000E+00,1.00000E+00,1.00000E+00,0.00000E+00,1.00000E+00,1.00000E+00
7,Slash,StageSkipMonsterSpawnChance,MultiMonsters,StageSkipMonsterSpawnChance,DeadlyChance,MultiMonsters,AllProbabilityBoost,0.00000E+00,1.00000E+00,1.00000E+00,0.00000E+00,1.00000E+00,1.00000E+00,0.00000E+00,1.00000E+00,1.00000E+00
8,Slash,AllProbabilityBoost,MultiMonsters,AllProbabilityBoost,DeadlyChance,StageSkipMonsterSpawnChance,AllProbabilityBoost,0.00000E+00,1.00000E+00,1.00000E+00,0.00000E+00,1.00000E+00,1.00000E+00,0.00000E+00,1.00000E+00,1.00000E+00
9,Slash,AllProbabilityBoost,StageSkipMonsterSpawnChance,AllProbabilityBoost,MultiMonsters,StageSkipMonsterSpawnChance,AllProbabilityBoost,0.00000E+00,1.00000E+00,1.00000E+00,0.00000E+00,1.00000E+00,1.00000E+00,0.00000E+00,1.00000E+00,1.00000E+00
