Part,PartType,IsDestructible,HasHealth,PartRegion,ProtectingPart,ProtectedPart,OppositePart,LinkedParts
SkeletonLegLowerRight,Skeleton,FALSE,FALSE,Leg,BodyLegLowerRight,None,SkeletonLegLowerLeft,SkeletonLegUpperRight
BodyLegLowerRight,Body,TRUE,FALSE,Leg,ArmorLegLowerRight,SkeletonLegLowerRight,BodyLegLowerLeft,BodyLegUpperRight
ArmorLegLowerRight,Armor,TRUE,FALSE,Leg,None,BodyLegLowerRight,ArmorLegLowerLeft,ArmorLegUpperRight
SkeletonLegUpperLeft,Skeleton,FALSE,FALSE,Leg,BodyLegUpperLeft,None,SkeletonLegUpperRight,SkeletonLegLowerLeft
BodyLegUpperLeft,Body,TRUE,TRUE,Leg,ArmorLegUpperLeft,SkeletonLegUpperLeft,BodyLegUpperRight,BodyLegLowerLeft
ArmorLegUpperLeft,Armor,TRUE,TRUE,Leg,None,BodyLegUpperLeft,ArmorLegUpperRight,ArmorLegLowerLeft
SkeletonLegLowerLeft,Skeleton,FALSE,FALSE,Leg,BodyLegLowerLeft,None,SkeletonLegLowerRight,SkeletonLegUpperLeft
BodyLegLowerLeft,Body,TRUE,FALSE,Leg,ArmorLegLowerLeft,SkeletonLegLowerLeft,BodyLegLowerRight,BodyLegUpperLeft
ArmorLegLowerLeft,Armor,TRUE,FALSE,Leg,None,BodyLegLowerLeft,ArmorLegLowerRight,ArmorLegUpperLeft
SkeletonHandRight,Skeleton,FALSE,FALSE,Arm,BodyHandRight,None,SkeletonHandLeft,"SkeletonFinger1Right,SkeletonFinger2Right,SkeletonFinger3Right,SkeletonFingerThumbRight"
BodyHandRight,Body,TRUE,TRUE,Arm,ArmorHandRight,SkeletonHandRight,BodyHandLeft,"BodyFinger1Right,BodyFinger2Right,BodyFinger3Right,BodyFingerThumbRight"
ArmorHandRight,Armor,TRUE,TRUE,Arm,None,BodyHandRight,ArmorHandLeft,"ArmorFinger1Right,ArmorFinger2Right,ArmorFinger3Right,ArmorFingerThumbRight"
SkeletonHandLeft,Skeleton,FALSE,FALSE,Arm,BodyHandLeft,None,SkeletonHandRight,"SkeletonFinger1Left,SkeletonFinger2Left,SkeletonFinger3Left,SkeletonFingerThumbLeft"
BodyHandLeft,Body,TRUE,TRUE,Arm,ArmorHandLeft,SkeletonHandLeft,BodyHandRight,"BodyFinger1Left,BodyFinger2Left,BodyFinger3Left,BodyFingerThumbLeft"
ArmorHandLeft,Armor,TRUE,TRUE,Arm,None,BodyHandLeft,ArmorHandRight,"ArmorFinger1Left,ArmorFinger2Left,ArmorFinger3Left,ArmorFingerThumbLeft"
SkeletonFinger1Right,Skeleton,FALSE,FALSE,Finger,None,None,SkeletonFinger1Left,SkeletonHandRight
SkeletonFinger2Right,Skeleton,FALSE,FALSE,Finger,None,None,SkeletonFinger2Left,SkeletonHandRight
SkeletonFinger3Right,Skeleton,FALSE,FALSE,Finger,None,None,SkeletonFinger3Left,SkeletonHandRight
SkeletonFingerThumbRight,Skeleton,FALSE,FALSE,Finger,None,None,SkeletonFingerThumbLeft,SkeletonHandRight
BodyFinger1Right,Body,TRUE,FALSE,Finger,None,None,BodyFinger1Left,BodyHandRight
BodyFinger2Right,Body,TRUE,FALSE,Finger,None,None,BodyFinger2Left,BodyHandRight
BodyFinger3Right,Body,TRUE,FALSE,Finger,None,None,BodyFinger3Left,BodyHandRight
BodyFingerThumbRight,Body,TRUE,FALSE,Finger,None,None,BodyFingerThumbLeft,BodyHandRight
ArmorFinger1Right,Armor,TRUE,FALSE,Finger,None,None,ArmorFinger1Left,ArmorHandRight
ArmorFinger2Right,Armor,TRUE,FALSE,Finger,None,None,ArmorFinger2Left,ArmorHandRight
ArmorFinger3Right,Armor,TRUE,FALSE,Finger,None,None,ArmorFinger3Left,ArmorHandRight
ArmorFingerThumbRight,Armor,TRUE,FALSE,Finger,None,None,ArmorFingerThumbLeft,ArmorHandRight
SkeletonFinger1Left,Skeleton,FALSE,FALSE,Finger,None,None,SkeletonFinger1Right,SkeletonHandLeft
SkeletonFinger2Left,Skeleton,FALSE,FALSE,Finger,None,None,SkeletonFinger2Right,SkeletonHandLeft
SkeletonFinger3Left,Skeleton,FALSE,FALSE,Finger,None,None,SkeletonFinger3Right,SkeletonHandLeft
SkeletonFingerThumbLeft,Skeleton,FALSE,FALSE,Finger,None,None,SkeletonFingerThumbRight,SkeletonHandLeft
BodyFinger1Left,Body,TRUE,FALSE,Finger,None,None,BodyFinger1Right,BodyHandLeft
BodyFinger2Left,Body,TRUE,FALSE,Finger,None,None,BodyFinger2Right,BodyHandLeft
BodyFinger3Left,Body,TRUE,FALSE,Finger,None,None,BodyFinger3Right,BodyHandLeft
BodyFingerThumbLeft,Body,TRUE,FALSE,Finger,None,None,BodyFingerThumbRight,BodyHandLeft
ArmorFinger1Left,Armor,TRUE,FALSE,Finger,None,None,ArmorFinger1Right,ArmorHandLeft
ArmorFinger2Left,Armor,TRUE,FALSE,Finger,None,None,ArmorFinger2Right,ArmorHandLeft
ArmorFinger3Left,Armor,TRUE,FALSE,Finger,None,None,ArmorFinger3Right,ArmorHandLeft
ArmorFingerThumbLeft,Armor,TRUE,FALSE,Finger,None,None,ArmorFingerThumbRight,ArmorHandLeft
