RewardID,TotalPointsRequired,RewardString,StringBuilder,AllCurrencies
10,66,"Diamonds:200,AnniversaryMinigameCurrency:10,MinigameBallDropPrestigeCurrency:10,MinigameDigsiteCurrency:10,MinigameFishingCurrency:10,MinigameHuntingCurrency:10,MinigameMazeKeys:10,MinigameQuestCurrency:10","Diamonds:25,Diamonds:200,AnniversaryMinigameCurrency:10,MinigameBallDropPrestigeCurrency:10,MinigameDigsiteCurrency:10,MinigameFishingCurrency:10,MinigameHuntingCurrency:10,MinigameMazeKeys:10,MinigameQuestCurrency:10,AnniversaryMinigameCurrency:10,MinigameBallDropPrestigeCurrency:10,MinigameDigsiteCurrency:10,MinigameFishingCurrency:10,MinigameHuntingCurrency:10,MinigameMazeKeys:10,MinigameQuestCurrency:10","AnniversaryMinigameCurrency:10,MinigameBallDropPrestigeCurrency:10,MinigameDigsiteCurrency:10,MinigameFishingCurrency:10,MinigameHuntingCurrency:10,MinigameMazeKeys:10,MinigameQuestCurrency:10"
11,72,"Diamonds:25,SkillPoint:5,AnniversaryMinigameCurrency:10,MinigameBallDropPrestigeCurrency:10,MinigameDigsiteCurrency:10,MinigameFishingCurrency:10,MinigameHuntingCurrency:10,MinigameMazeKeys:10,MinigameQuestCurrency:10","Diamonds:25,Diamonds:25,SkillPoint:5,AnniversaryMinigameCurrency:10,MinigameBallDropPrestigeCurrency:10,MinigameDigsiteCurrency:10,MinigameFishingCurrency:10,MinigameHuntingCurrency:10,MinigameMazeKeys:10,MinigameQuestCurrency:10,AnniversaryMinigameCurrency:10,MinigameBallDropPrestigeCurrency:10,MinigameDigsiteCurrency:10,MinigameFishingCurrency:10,MinigameHuntingCurrency:10,MinigameMazeKeys:10,MinigameQuestCurrency:10","AnniversaryMinigameCurrency:10,MinigameBallDropPrestigeCurrency:10,MinigameDigsiteCurrency:10,MinigameFishingCurrency:10,MinigameHuntingCurrency:10,MinigameMazeKeys:10,MinigameQuestCurrency:10"
12,78,"Diamonds:25,RaidWildcard:20,AnniversaryMinigameCurrency:10,MinigameBallDropPrestigeCurrency:10,MinigameDigsiteCurrency:10,MinigameFishingCurrency:10,MinigameHuntingCurrency:10,MinigameMazeKeys:10,MinigameQuestCurrency:10","Diamonds:25,Diamonds:25,RaidWildcard:20,AnniversaryMinigameCurrency:10,MinigameBallDropPrestigeCurrency:10,MinigameDigsiteCurrency:10,MinigameFishingCurrency:10,MinigameHuntingCurrency:10,MinigameMazeKeys:10,MinigameQuestCurrency:10,AnniversaryMinigameCurrency:10,MinigameBallDropPrestigeCurrency:10,MinigameDigsiteCurrency:10,MinigameFishingCurrency:10,MinigameHuntingCurrency:10,MinigameMazeKeys:10,MinigameQuestCurrency:10","AnniversaryMinigameCurrency:10,MinigameBallDropPrestigeCurrency:10,MinigameDigsiteCurrency:10,MinigameFishingCurrency:10,MinigameHuntingCurrency:10,MinigameMazeKeys:10,MinigameQuestCurrency:10"
13,84,"Diamonds:25,PetsLvl5:1,AnniversaryMinigameCurrency:10,MinigameBallDropPrestigeCurrency:10,MinigameDigsiteCurrency:10,MinigameFishingCurrency:10,MinigameHuntingCurrency:10,MinigameMazeKeys:10,MinigameQuestCurrency:10","Diamonds:25,Diamonds:25,PetsLvl5:1,AnniversaryMinigameCurrency:10,MinigameBallDropPrestigeCurrency:10,MinigameDigsiteCurrency:10,MinigameFishingCurrency:10,MinigameHuntingCurrency:10,MinigameMazeKeys:10,MinigameQuestCurrency:10,AnniversaryMinigameCurrency:10,MinigameBallDropPrestigeCurrency:10,MinigameDigsiteCurrency:10,MinigameFishingCurrency:10,MinigameHuntingCurrency:10,MinigameMazeKeys:10,MinigameQuestCurrency:10","AnniversaryMinigameCurrency:10,MinigameBallDropPrestigeCurrency:10,MinigameDigsiteCurrency:10,MinigameFishingCurrency:10,MinigameHuntingCurrency:10,MinigameMazeKeys:10,MinigameQuestCurrency:10"
14,90,"Diamonds:25,EquipmentShards:5,AnniversaryMinigameCurrency:10,MinigameBallDropPrestigeCurrency:10,MinigameDigsiteCurrency:10,MinigameFishingCurrency:10,MinigameHuntingCurrency:10,MinigameMazeKeys:10,MinigameQuestCurrency:10","Diamonds:25,Diamonds:25,EquipmentShards:5,AnniversaryMinigameCurrency:10,MinigameBallDropPrestigeCurrency:10,MinigameDigsiteCurrency:10,MinigameFishingCurrency:10,MinigameHuntingCurrency:10,MinigameMazeKeys:10,MinigameQuestCurrency:10,AnniversaryMinigameCurrency:10,MinigameBallDropPrestigeCurrency:10,MinigameDigsiteCurrency:10,MinigameFishingCurrency:10,MinigameHuntingCurrency:10,MinigameMazeKeys:10,MinigameQuestCurrency:10","AnniversaryMinigameCurrency:10,MinigameBallDropPrestigeCurrency:10,MinigameDigsiteCurrency:10,MinigameFishingCurrency:10,MinigameHuntingCurrency:10,MinigameMazeKeys:10,MinigameQuestCurrency:10"
15,96,"Diamonds:200,AnniversaryMinigameCurrency:10,MinigameBallDropPrestigeCurrency:10,MinigameDigsiteCurrency:10,MinigameFishingCurrency:10,MinigameHuntingCurrency:10,MinigameMazeKeys:10,MinigameQuestCurrency:10","Diamonds:25,Diamonds:200,AnniversaryMinigameCurrency:10,MinigameBallDropPrestigeCurrency:10,MinigameDigsiteCurrency:10,MinigameFishingCurrency:10,MinigameHuntingCurrency:10,MinigameMazeKeys:10,MinigameQuestCurrency:10,AnniversaryMinigameCurrency:10,MinigameBallDropPrestigeCurrency:10,MinigameDigsiteCurrency:10,MinigameFishingCurrency:10,MinigameHuntingCurrency:10,MinigameMazeKeys:10,MinigameQuestCurrency:10","AnniversaryMinigameCurrency:10,MinigameBallDropPrestigeCurrency:10,MinigameDigsiteCurrency:10,MinigameFishingCurrency:10,MinigameHuntingCurrency:10,MinigameMazeKeys:10,MinigameQuestCurrency:10"
16,102,"Diamonds:25,SkillPoint:5,AnniversaryMinigameCurrency:10,MinigameBallDropPrestigeCurrency:10,MinigameDigsiteCurrency:10,MinigameFishingCurrency:10,MinigameHuntingCurrency:10,MinigameMazeKeys:10,MinigameQuestCurrency:10","Diamonds:25,Diamonds:25,SkillPoint:5,AnniversaryMinigameCurrency:10,MinigameBallDropPrestigeCurrency:10,MinigameDigsiteCurrency:10,MinigameFishingCurrency:10,MinigameHuntingCurrency:10,MinigameMazeKeys:10,MinigameQuestCurrency:10,AnniversaryMinigameCurrency:10,MinigameBallDropPrestigeCurrency:10,MinigameDigsiteCurrency:10,MinigameFishingCurrency:10,MinigameHuntingCurrency:10,MinigameMazeKeys:10,MinigameQuestCurrency:10","AnniversaryMinigameCurrency:10,MinigameBallDropPrestigeCurrency:10,MinigameDigsiteCurrency:10,MinigameFishingCurrency:10,MinigameHuntingCurrency:10,MinigameMazeKeys:10,MinigameQuestCurrency:10"
17,108,"Diamonds:25,RaidWildcard:20,AnniversaryMinigameCurrency:10,MinigameBallDropPrestigeCurrency:10,MinigameDigsiteCurrency:10,MinigameFishingCurrency:10,MinigameHuntingCurrency:10,MinigameMazeKeys:10,MinigameQuestCurrency:10","Diamonds:25,Diamonds:25,RaidWildcard:20,AnniversaryMinigameCurrency:10,MinigameBallDropPrestigeCurrency:10,MinigameDigsiteCurrency:10,MinigameFishingCurrency:10,MinigameHuntingCurrency:10,MinigameMazeKeys:10,MinigameQuestCurrency:10,AnniversaryMinigameCurrency:10,MinigameBallDropPrestigeCurrency:10,MinigameDigsiteCurrency:10,MinigameFishingCurrency:10,MinigameHuntingCurrency:10,MinigameMazeKeys:10,MinigameQuestCurrency:10","AnniversaryMinigameCurrency:10,MinigameBallDropPrestigeCurrency:10,MinigameDigsiteCurrency:10,MinigameFishingCurrency:10,MinigameHuntingCurrency:10,MinigameMazeKeys:10,MinigameQuestCurrency:10"
18,114,"Diamonds:25,PetsLvl5:1,AnniversaryMinigameCurrency:10,MinigameBallDropPrestigeCurrency:10,MinigameDigsiteCurrency:10,MinigameFishingCurrency:10,MinigameHuntingCurrency:10,MinigameMazeKeys:10,MinigameQuestCurrency:10","Diamonds:25,Diamonds:25,PetsLvl5:1,AnniversaryMinigameCurrency:10,MinigameBallDropPrestigeCurrency:10,MinigameDigsiteCurrency:10,MinigameFishingCurrency:10,MinigameHuntingCurrency:10,MinigameMazeKeys:10,MinigameQuestCurrency:10,AnniversaryMinigameCurrency:10,MinigameBallDropPrestigeCurrency:10,MinigameDigsiteCurrency:10,MinigameFishingCurrency:10,MinigameHuntingCurrency:10,MinigameMazeKeys:10,MinigameQuestCurrency:10","AnniversaryMinigameCurrency:10,MinigameBallDropPrestigeCurrency:10,MinigameDigsiteCurrency:10,MinigameFishingCurrency:10,MinigameHuntingCurrency:10,MinigameMazeKeys:10,MinigameQuestCurrency:10"
19,120,"Diamonds:25,EquipmentShards:5,AnniversaryMinigameCurrency:10,MinigameBallDropPrestigeCurrency:10,MinigameDigsiteCurrency:10,MinigameFishingCurrency:10,MinigameHuntingCurrency:10,MinigameMazeKeys:10,MinigameQuestCurrency:10","Diamonds:25,Diamonds:25,EquipmentShards:5,AnniversaryMinigameCurrency:10,MinigameBallDropPrestigeCurrency:10,MinigameDigsiteCurrency:10,MinigameFishingCurrency:10,MinigameHuntingCurrency:10,MinigameMazeKeys:10,MinigameQuestCurrency:10,AnniversaryMinigameCurrency:10,MinigameBallDropPrestigeCurrency:10,MinigameDigsiteCurrency:10,MinigameFishingCurrency:10,MinigameHuntingCurrency:10,MinigameMazeKeys:10,MinigameQuestCurrency:10","AnniversaryMinigameCurrency:10,MinigameBallDropPrestigeCurrency:10,MinigameDigsiteCurrency:10,MinigameFishingCurrency:10,MinigameHuntingCurrency:10,MinigameMazeKeys:10,MinigameQuestCurrency:10"
20,126,"Diamonds:200,AnniversaryMinigameCurrency:10,MinigameBallDropPrestigeCurrency:10,MinigameDigsiteCurrency:10,MinigameFishingCurrency:10,MinigameHuntingCurrency:10,MinigameMazeKeys:10,MinigameQuestCurrency:10","Diamonds:25,Diamonds:200,AnniversaryMinigameCurrency:10,MinigameBallDropPrestigeCurrency:10,MinigameDigsiteCurrency:10,MinigameFishingCurrency:10,MinigameHuntingCurrency:10,MinigameMazeKeys:10,MinigameQuestCurrency:10,AnniversaryMinigameCurrency:10,MinigameBallDropPrestigeCurrency:10,MinigameDigsiteCurrency:10,MinigameFishingCurrency:10,MinigameHuntingCurrency:10,MinigameMazeKeys:10,MinigameQuestCurrency:10","AnniversaryMinigameCurrency:10,MinigameBallDropPrestigeCurrency:10,MinigameDigsiteCurrency:10,MinigameFishingCurrency:10,MinigameHuntingCurrency:10,MinigameMazeKeys:10,MinigameQuestCurrency:10"
21,132,"Diamonds:25,SkillPoint:5,AnniversaryMinigameCurrency:10,MinigameBallDropPrestigeCurrency:10,MinigameDigsiteCurrency:10,MinigameFishingCurrency:10,MinigameHuntingCurrency:10,MinigameMazeKeys:10,MinigameQuestCurrency:10","Diamonds:25,Diamonds:25,SkillPoint:5,AnniversaryMinigameCurrency:10,MinigameBallDropPrestigeCurrency:10,MinigameDigsiteCurrency:10,MinigameFishingCurrency:10,MinigameHuntingCurrency:10,MinigameMazeKeys:10,MinigameQuestCurrency:10,AnniversaryMinigameCurrency:10,MinigameBallDropPrestigeCurrency:10,MinigameDigsiteCurrency:10,MinigameFishingCurrency:10,MinigameHuntingCurrency:10,MinigameMazeKeys:10,MinigameQuestCurrency:10","AnniversaryMinigameCurrency:10,MinigameBallDropPrestigeCurrency:10,MinigameDigsiteCurrency:10,MinigameFishingCurrency:10,MinigameHuntingCurrency:10,MinigameMazeKeys:10,MinigameQuestCurrency:10"
22,138,"Diamonds:25,RaidWildcard:20,AnniversaryMinigameCurrency:10,MinigameBallDropPrestigeCurrency:10,MinigameDigsiteCurrency:10,MinigameFishingCurrency:10,MinigameHuntingCurrency:10,MinigameMazeKeys:10,MinigameQuestCurrency:10","Diamonds:25,Diamonds:25,RaidWildcard:20,AnniversaryMinigameCurrency:10,MinigameBallDropPrestigeCurrency:10,MinigameDigsiteCurrency:10,MinigameFishingCurrency:10,MinigameHuntingCurrency:10,MinigameMazeKeys:10,MinigameQuestCurrency:10,AnniversaryMinigameCurrency:10,MinigameBallDropPrestigeCurrency:10,MinigameDigsiteCurrency:10,MinigameFishingCurrency:10,MinigameHuntingCurrency:10,MinigameMazeKeys:10,MinigameQuestCurrency:10","AnniversaryMinigameCurrency:10,MinigameBallDropPrestigeCurrency:10,MinigameDigsiteCurrency:10,MinigameFishingCurrency:10,MinigameHuntingCurrency:10,MinigameMazeKeys:10,MinigameQuestCurrency:10"
23,144,"Diamonds:25,PetsLvl5:1,AnniversaryMinigameCurrency:10,MinigameBallDropPrestigeCurrency:10,MinigameDigsiteCurrency:10,MinigameFishingCurrency:10,MinigameHuntingCurrency:10,MinigameMazeKeys:10,MinigameQuestCurrency:10","Diamonds:25,Diamonds:25,PetsLvl5:1,AnniversaryMinigameCurrency:10,MinigameBallDropPrestigeCurrency:10,MinigameDigsiteCurrency:10,MinigameFishingCurrency:10,MinigameHuntingCurrency:10,MinigameMazeKeys:10,MinigameQuestCurrency:10,AnniversaryMinigameCurrency:10,MinigameBallDropPrestigeCurrency:10,MinigameDigsiteCurrency:10,MinigameFishingCurrency:10,MinigameHuntingCurrency:10,MinigameMazeKeys:10,MinigameQuestCurrency:10","AnniversaryMinigameCurrency:10,MinigameBallDropPrestigeCurrency:10,MinigameDigsiteCurrency:10,MinigameFishingCurrency:10,MinigameHuntingCurrency:10,MinigameMazeKeys:10,MinigameQuestCurrency:10"
24,150,"Diamonds:25,EquipmentShards:5,AnniversaryMinigameCurrency:10,MinigameBallDropPrestigeCurrency:10,MinigameDigsiteCurrency:10,MinigameFishingCurrency:10,MinigameHuntingCurrency:10,MinigameMazeKeys:10,MinigameQuestCurrency:10","Diamonds:25,Diamonds:25,EquipmentShards:5,AnniversaryMinigameCurrency:10,MinigameBallDropPrestigeCurrency:10,MinigameDigsiteCurrency:10,MinigameFishingCurrency:10,MinigameHuntingCurrency:10,MinigameMazeKeys:10,MinigameQuestCurrency:10,AnniversaryMinigameCurrency:10,MinigameBallDropPrestigeCurrency:10,MinigameDigsiteCurrency:10,MinigameFishingCurrency:10,MinigameHuntingCurrency:10,MinigameMazeKeys:10,MinigameQuestCurrency:10","AnniversaryMinigameCurrency:10,MinigameBallDropPrestigeCurrency:10,MinigameDigsiteCurrency:10,MinigameFishingCurrency:10,MinigameHuntingCurrency:10,MinigameMazeKeys:10,MinigameQuestCurrency:10"
25,156,"Diamonds:200,AnniversaryMinigameCurrency:10,MinigameBallDropPrestigeCurrency:10,MinigameDigsiteCurrency:10,MinigameFishingCurrency:10,MinigameHuntingCurrency:10,MinigameMazeKeys:10,MinigameQuestCurrency:10","Diamonds:25,Diamonds:200,AnniversaryMinigameCurrency:10,MinigameBallDropPrestigeCurrency:10,MinigameDigsiteCurrency:10,MinigameFishingCurrency:10,MinigameHuntingCurrency:10,MinigameMazeKeys:10,MinigameQuestCurrency:10,AnniversaryMinigameCurrency:10,MinigameBallDropPrestigeCurrency:10,MinigameDigsiteCurrency:10,MinigameFishingCurrency:10,MinigameHuntingCurrency:10,MinigameMazeKeys:10,MinigameQuestCurrency:10","AnniversaryMinigameCurrency:10,MinigameBallDropPrestigeCurrency:10,MinigameDigsiteCurrency:10,MinigameFishingCurrency:10,MinigameHuntingCurrency:10,MinigameMazeKeys:10,MinigameQuestCurrency:10"
26,162,"Diamonds:25,SkillPoint:5,AnniversaryMinigameCurrency:10,MinigameBallDropPrestigeCurrency:10,MinigameDigsiteCurrency:10,MinigameFishingCurrency:10,MinigameHuntingCurrency:10,MinigameMazeKeys:10,MinigameQuestCurrency:10","Diamonds:25,Diamonds:25,SkillPoint:5,AnniversaryMinigameCurrency:10,MinigameBallDropPrestigeCurrency:10,MinigameDigsiteCurrency:10,MinigameFishingCurrency:10,MinigameHuntingCurrency:10,MinigameMazeKeys:10,MinigameQuestCurrency:10,AnniversaryMinigameCurrency:10,MinigameBallDropPrestigeCurrency:10,MinigameDigsiteCurrency:10,MinigameFishingCurrency:10,MinigameHuntingCurrency:10,MinigameMazeKeys:10,MinigameQuestCurrency:10","AnniversaryMinigameCurrency:10,MinigameBallDropPrestigeCurrency:10,MinigameDigsiteCurrency:10,MinigameFishingCurrency:10,MinigameHuntingCurrency:10,MinigameMazeKeys:10,MinigameQuestCurrency:10"
27,168,"Diamonds:25,RaidWildcard:20,AnniversaryMinigameCurrency:10,MinigameBallDropPrestigeCurrency:10,MinigameDigsiteCurrency:10,MinigameFishingCurrency:10,MinigameHuntingCurrency:10,MinigameMazeKeys:10,MinigameQuestCurrency:10","Diamonds:25,Diamonds:25,RaidWildcard:20,AnniversaryMinigameCurrency:10,MinigameBallDropPrestigeCurrency:10,MinigameDigsiteCurrency:10,MinigameFishingCurrency:10,MinigameHuntingCurrency:10,MinigameMazeKeys:10,MinigameQuestCurrency:10,AnniversaryMinigameCurrency:10,MinigameBallDropPrestigeCurrency:10,MinigameDigsiteCurrency:10,MinigameFishingCurrency:10,MinigameHuntingCurrency:10,MinigameMazeKeys:10,MinigameQuestCurrency:10","AnniversaryMinigameCurrency:10,MinigameBallDropPrestigeCurrency:10,MinigameDigsiteCurrency:10,MinigameFishingCurrency:10,MinigameHuntingCurrency:10,MinigameMazeKeys:10,MinigameQuestCurrency:10"
