StringID,English_Translator,Screenshot,Note,English,ChineseTrad,ChineseSimp,Japanese,Korean,Danish,Dutch,French,German,Italian,Norwegian,Russian,Spanish,Swedish,Turkish,Portuguese
BONUS_MagnumOpusDuration,magnum opus duration,,,Magnum Opus Duration,鉅作的時長,巨作的时长,マグナム オプス期間,대작의 지속 시간,Magnum Opus Varighed,Magnum Opus Duur,Durée Du Magnum Opus,Dauer Des Magnum Opus,Durata Dell'Opera Magna,Magnum Opus Varighet,Продолжительность Великого Произведения,Duración De La Obra Magna,Magnum Opus Varaktighet,Magnum Opus Süresi,Duração Da Magnum Opus
PLAYER_TITLE_CUSTOM_12,master thief,,Master of Merriment,Master Thief,大盜,大盗,大泥棒,도둑,Mestertyv,Meester Dief,Maître Voleur,Meisterdieb,Maestro Ladro,Mestertyv,Главный Вор,Maestro Ladrón,Mästertjuv,Usta Hırsız,Mestre Ladrão
PLAYER_TITLE_CUSTOM_13,dove donator,,Dove Donator,Dove Donator,鴿子捐贈者,鸽子捐赠者,鳩の寄付者,비둘기 기증자,Duedonator,Duif Donateur,Donateur De Colombe,Taubenspender,Donatore Di Colomba,Duedonator,Голубь-Даритель,Donante De Paloma,Duva Donator,Güvercin Bağışçısı,Doador De Pomba
JULY2025CRAFTINGSHARDSBUNDLE_TITLE,power crafting bundle,,JULY2025CraftingShards,Power Crafting Bundle,工藝碎片大特賣！,各具特色碎片销售,クラフト破片販売,공예 파편 판매,Crafting Skår Salg,Bouwscherven Uitverkoop,Craft Tessons Vente,Verkauf von Handwerksscherben,Schegge Di Crafting Vendita,Laging Skår Salg,Крафта Осколки Продажа,Fragmentos De Artesanía Venta,Crafting Skärvor Försäljning,Işçiliği Kırıkları Satışı,Cacos De Artesanato Venda
JULY2025CRAFTINGSHARDSBUNDLE_CATCH_DESC,"craft some powerful equipment!
top up on diamonds!",,JULY2025CraftingShards,"Craft some powerful equipment!
Top up on Diamonds!",讓你的碎片，不再寂寞！,顶起来的碎片各具特色！,破片を作り上げる上でトップアップ！,파편 공예 위로 맨!,Top Op På Crafting Skårene!,Vul je Bouwscherven bij!,Haut Sur L'Artisanat Tessons!,Nachschub an Handwerksscherben!,Ricaricare Sulla Lavorazione Cocci!,Fylle Opp På Laging Skår!,Доливать На Крафт Черепки!,Recargar En La Elaboración De Fragmentos!,Fylla På Bearbetning Skärvor!,Kırıkları Işçiliği Üzerinde Kontör!,Encher De Elaboração Cacos!
DRUIDBUNDLE_TITLE,elderwood warden bundle!,,DRUID,Elderwood Warden Bundle!,長老森林守衛捆綁包！,长老森林守卫捆绑包！,エルダーウッド ウォーデン バンドル!,엘더우드 관리인 번들!,Hyldewood Warden Bundt!,Vlierhout Wachter Bundel!,Pack De Gardien De Bois Ancien !,Elderwood-Wächter-Paket!,Pacchetto Guardiano Del Legno Di Sambuco!,Elderwood Warden Bunt!,Комплект Хранителя Бузины!,¡Paquete De Guardián Del Bosque De Saúco!,Elderwood Warden Bunt!,Elderwood Gardiyanı Paketi!,Pacote De Guarda De Sabugueiro!
DRUIDBUNDLE_CATCH_DESC,"permanently increase your hero damage!
permanently increase your gold!",,DRUID,"Permanently Increase your Hero Damage!
Permanently Increase your Gold!","永久提升你的英雄傷害！
永久提升你的金幣！","永久提升你的英雄伤害！
永久提升你的金币！","ヒーローのダメージを永続的に増加！
ゴールドを永続的に増加！","영웅의 공격력을 영구적으로 증가시킵니다!
골드를 영구적으로 증가시킵니다!","øg permanent din helteskade!
øg dit guld permanent!","Verhoog permanent je heldenschade!
Verhoog permanent je goud!","Augmentez définitivement les dégâts de votre héros !
Augmentez définitivement votre or !","Erhöhe deinen Heldenschaden dauerhaft!
Erhöhe dein Gold dauerhaft!","Aumenta permanentemente i danni del tuo eroe!
Aumenta permanentemente il tuo oro!","øk helteskaden din permanent!
øke gullet ditt permanent!","навсегда увеличьте урон вашего героя!
навсегда увеличьте ваше золото!","¡Aumenta permanentemente el daño de tu héroe!
¡Aumenta permanentemente tu oro!","öka din hjälte skada permanent!
öka ditt guld permanent!","Kahraman hasarınızı kalıcı olarak artırın!
Altınınızı kalıcı olarak artırın!","Aumente permanentemente o dano do seu herói!
Aumente permanentemente o seu ouro!"
MINIGAME_FishingDerby_UPGRADE_NAME_LuresPerPrestige,fishing line,,,Fishing Line,釣魚線,钓鱼线,釣り糸,낚싯줄,Fiskesnøre,Vislijn,Ligne De Pêche,Angelschnur,Lenza,Fiskesnøre,Леска,Sedal,Fiskelina,Olta,Linha De Pesca
MINIGAME_FishingDerby_UPGRADE_DESC_LuresPerPrestige,"earn extra lures each prestige<align=center>
",,,"Earn extra Lures each prestige<align=center>
",每獲得一個聲望就能獲得額外的誘惑,每获得一个声望就能获得额外的诱惑,プレステージごとに追加のルアーを獲得,각 명예에 따라 추가 미끼 획득,tjen ekstra lokker hver prestige,Verdien extra lokmiddelen bij elke prestige,gagnez des leurres supplémentaires à chaque prestige,verdiene zusätzliche Köder bei jedem Prestige,guadagna esche extra per ogni prestigio,tjene ekstra lokker hver prestisje,зарабатывайте дополнительные приманки за каждый престиж,Gana señuelos adicionales con cada prestigio,tjäna extra lockar varje prestige,her prestijde ekstra yemler kazan,ganhe iscas extras a cada prestígio
MINIGAME_FishingDerby_UPGRADE_NAME_LuresPerDay,bucket,,,Bucket,桶,桶,バケツ,버킷,Spand,Emmer,Seau,Eimer,Secchio,Bøtte,Ведро,Balde,Hink,Kova,Balde
MINIGAME_FishingDerby_UPGRADE_DESC_LuresPerDay,"increase your max daily lures<align=center>
",,,"Increase your max daily Lures<align=center>
",增加每日最大誘餌數量,增加每日最大诱饵数量,1日のルアーの最大数を増やす,최대 일일 미끼 수를 늘리세요,øge dine max daglige lokker,verhoog uw maximale dagelijkse lokmiddelen,augmentez votre nombre maximal de leurres quotidiens,Erhöhen Sie Ihre maximale Anzahl an täglichen Ködern,aumenta le tue esche giornaliere massime,øke dine maks daglige lokker,увеличьте максимальное количество ежедневных приманок,aumenta tus señuelos diarios máximos,öka ditt maximala dagliga lockbete,günlük maksimum yem sayınızı artırın,Aumente suas iscas diárias máximas
MINIGAME_FishingDerby_UPGRADE_NAME_FishingHook,fishing hook,,,Fishing Hook,魚鉤,鱼钩,釣り針,낚싯바늘,Fiskekrog,Vishaak,Hameçon,Angelhaken,Amo Da Pesca,Fiskekrok,Рыболовный Крючок,Anzuelo De Pesca,Fiskekrok,Olta Iğnesi,Anzol De Pesca
MINIGAME_FishingDerby_UPGRADE_DESC_FishingHook,"increase the size of fish that you will catch<align=center>
",,,"Increase the size of fish that you will catch<align=center>
",增加你捕獲的魚的大小,增加你捕获的鱼的大小,釣れる魚のサイズを大きくする,당신이 잡을 물고기의 크기를 늘리세요,"øge størrelsen af ​​fisk, du vil fange",vergroot de grootte van de vis die u vangt,augmenter la taille des poissons que vous attraperez,"Erhöhen Sie die Größe der Fische, die Sie fangen",aumentare la dimensione dei pesci che catturerai,øke størrelsen på fisken du vil fange,"увеличить размер рыбы, которую вы поймаете",Aumenta el tamaño de los peces que capturarás,öka storleken på fisken du kommer att fånga,Yakalayacağınız balıkların boyutunu artırın,aumentar o tamanho dos peixes que você vai pegar
MINIGAME_FishingDerby_UPGRADE_NAME_FishingSkill,fishing skill,,,Fishing Skill,釣魚技巧,钓鱼技巧,釣りのスキル,낚시 기술,Fiskefærdigheder,Visvaardigheid,Compétence De Pêche,Angelfähigkeiten,Abilità Di Pesca,Fiskeferdighet,Навык Рыболовства,Habilidad De Pesca,Fiskeskicklighet,Balık Tutma Becerisi,Habilidade De Pesca
MINIGAME_FishingDerby_UPGRADE_DESC_FishingSkill,"catch higher rarity fish to earn more coins<align=center>
",,,"Catch higher rarity fish to earn more coins<align=center>
",捕獲更高等級的魚,捕获更高等级的鱼,高級魚を釣る,더 높은 등급의 물고기를 잡다,fange højere lag fisk,vang vissen van een hogere klasse,attraper des poissons de niveau supérieur,Fangen Sie Fische höherer Stufe,catturare pesci di livello superiore,fange høyere lag fisk,ловить рыбу более высокого уровня,capturar peces de mayor nivel,fånga högre skikt fisk,daha yüksek seviyede balık yakalamak,pegar peixes de nível superior
MINIGAME_FishingDerby_UPGRADE_NAME_FishingBait,bait,,,Bait,餌,饵,餌,미끼,Lokkemad,Aas,Appât,Köder,Esca,Agn,Приманка,Carnada,Bete,Yem,Isca
MINIGAME_FishingDerby_UPGRADE_DESC_FishingBait,"upgrade bait to discover larger types of fish<align=center>
",,,"Upgrade Bait to discover larger types of fish<align=center>
",升級魚餌來發現更多種類的魚,升级鱼饵来发现更多种类的鱼,餌をアップグレードしてより多くの種類の魚を発見する,더 많은 종류의 물고기를 발견하려면 미끼를 업그레이드하세요,opgrader lokkemad for at opdage flere typer fisk,Upgrade aas om meer soorten vis te ontdekken,améliorez l'appât pour découvrir plus de types de poissons,"Verbessere den Köder, um mehr Fischarten zu entdecken",potenzia l'esca per scoprire più tipi di pesci,oppgrader agn for å oppdage flere typer fisk,"Улучшайте наживку, чтобы обнаружить больше видов рыб",Mejora el cebo para descubrir más tipos de peces.,uppgradera bete för att upptäcka fler typer av fisk,daha fazla balık türünü keşfetmek için yemi yükseltin,atualize a isca para descobrir mais tipos de peixes
MINIGAME_FishingDerby_UPGRADE_NAME_TackleBoxSpeed,tacklebox speed,,,Tacklebox Speed,釣具箱速度,钓具箱速度,タックルボックスのスピード,태클박스 속도,Tacklebox Hastighed,Tacklebox Snelheid,Vitesse De La Boîte À Pêche,Tacklebox-Geschwindigkeit,Velocità Della Cassetta Degli Attrezzi,Taklebokshastighet,Скорость Коробки Захвата,Velocidad De La Caja De Aparejos,Tacklebox Hastighet,Takım Kutusu Hızı,Velocidade Da Caixa De Ferramentas
MINIGAME_FishingDerby_UPGRADE_DESC_TackleBoxSpeed,"increase the speed of free tacklebox lures<align=center>
",,,"Increase the speed of free Tacklebox Lures<align=center>
",升級以提高漁具箱中免費魚餌的速度,升级以提高渔具箱中免费鱼饵的速度,タックルボックスからの無料ルアーの速度を上げるアップグレード,태클박스에서 무료 미끼의 속도를 높이기 위해 업그레이드하세요,opgrader for at øge hastigheden af ​​gratis lokker fra tacklebox,upgrade om de snelheid van gratis lokdoos te verhogen,mise à niveau pour augmenter la vitesse des leurres gratuits de la boîte à pêche,Upgrade zur Erhöhung der Geschwindigkeit von Gratisködern aus der Tacklebox,aggiornamento per aumentare la velocità delle esche libere dalla cassetta degli attrezzi,oppgrader for å øke hastigheten på gratis sluk fra tacklebox,обновление для увеличения скорости бесплатных приманок из ящика для снастей,Mejora para aumentar la velocidad de los señuelos gratuitos de la caja de aparejos.,uppgradera för att öka hastigheten på fria beten från tacklebox,tacklebox'tan gelen ücretsiz yemlerin hızını artırmak için yükseltme,atualização para aumentar a velocidade das iscas livres da tacklebox
MINIGAME_FishingDerby_UPGRADE_NAME_TackleBoxSize,tacklebox size,,,Tacklebox Size,漁具箱尺寸,渔具箱尺寸,タックルボックスのサイズ,태클박스 크기,Grejkasse Størrelse,Tacklebox Maat,Taille De La Boîte À Pêche,Größe Der Angelbox,Dimensioni Della Cassetta Degli Attrezzi,Størrelse På Takleboks,Размер Коробки Для Снастей,Tamaño De La Caja De Aparejos,Tacklebox Storlek,Takım Kutusu Boyutu,Tamanho Da Caixa De Ferramentas
MINIGAME_FishingDerby_UPGRADE_DESC_TackleBoxSize,"increase the number of free lures holdable in tacklebox<align=center>
",,,"Increase the number of free Lures holdable in Tacklebox<align=center>
",升級以增加漁具箱中可容納的免費誘餌數量,升级以增加渔具箱中可容纳的免费诱饵数量,タックルボックスに収納できる無料のルアーの数を増やすアップグレード,태클박스에 보관할 수 있는 무료 미끼 수를 늘리기 위해 업그레이드하세요.,"opgrader for at øge antallet af gratis lokker, der kan opbevares i tacklebox",upgrade om het aantal gratis lokdoosjes te vergroten,mise à niveau pour augmenter le nombre de leurres gratuits pouvant être conservés dans la boîte à pêche,"Upgrade, um die Anzahl der kostenlosen Köder in der Tacklebox zu erhöhen",aggiornamento per aumentare il numero di esche gratuite che puoi tenere nella cassetta degli attrezzi,oppgrader for å øke antall gratis sluk som kan holdes i tacklebox,"обновление для увеличения количества бесплатных приманок, которые можно хранить в коробке для снастей",Actualización para aumentar la cantidad de señuelos gratuitos que se pueden guardar en la caja de aparejos.,uppgradera för att öka antalet gratis beten som kan hållas i tacklebox,Takım kutusunda tutulabilen serbest yem sayısını artırmak için yükseltme,atualização para aumentar o número de iscas livres que podem ser seguradas na caixa de equipamentos
JULY2025WEEK1ALCHEMYBUNDLE_TITLE,alchemy surprise pack!,,JULY2025Week1Alchemy,Alchemy Surprise Pack!,成分抓袋！,成分抓袋！,成分グラブバッグ！,성분 잡기 가방!,Ingrediens Grab Taske!,Ingrediëntengreeptas!,Sac De Saisie Des Ingrédients!,Zutat Grab -Tasche!,Ingrediente Grab Bag!,Ingrediens Gripesekk!,Сумка Для Ингредиентов!,Bolsa De Agarre De Ingredientes!,Ingrediens Grab Påse!,İç Malzeme Torbası!,Bolsa De Agarrar Ingredientes!
JULY2025WEEK1ALCHEMYBUNDLE_CATCH_DESC,stock up on a bunch of alchemy ingredients to create mighty rewards!,,JULY2025Week1Alchemy,Stock up on a bunch of Alchemy ingredients to create mighty rewards!,獲取大量煉金術成分來製作強大的獎勵！,获取大量炼金术成分来制作强大的奖励！,強力な報酬を作成するために、たくさんの錬金術の材料を手に入れましょう！,강력한 보상을 만들기 위해 많은 연금술 성분을 얻으십시오!,Få Masser Af Alkymi -Ingredienser Til At Skabe Kraftfulde Belønninger!,Krijg Een Heleboel Alchemie -Ingrediënten Om Krachtige Beloningen Te Maken!,Obtenez Une Tonne D'Ingrédients D'Alchimie Pour Élaborer De Puissantes Récompenses!,"Holen Sie Sich Eine Menge Alchemiezutaten, Um Mächtige Belohnungen Zu Erstellen!",Ottieni Una Tonnellata Di Ingredienti Di Alchimia Per Creare Potenti Ricompense!,Få Massevis Av Alkymi Ingredienser For Å Lage Kraftige Belønninger!,"Получите Тонну Ингредиентов Алхимии, Чтобы Создать Мощные Награды!",¡Obtenga Un Montón De Ingredientes De Alquimia Para Crear Poderosas Recompensas!,Få Massor Av Alkemiingredienser För Att Skapa Kraftfulla Belöningar!,Güçlü Ödüller Üretmek Için Bir Ton Simya Malzemesi Alın!,Obtenha Uma Tonelada De Ingredientes Da Alquimia Para Criar Recompensas Poderosas!
JULY2025WEEK2ALCHEMYBUNDLE_TITLE,alchemy surprise pack!,,JULY2025Week2Alchemy,Alchemy Surprise Pack!,成分抓袋！,成分抓袋！,成分グラブバッグ！,성분 잡기 가방!,Ingrediens Grab Taske!,Ingrediëntengreeptas!,Sac De Saisie Des Ingrédients!,Zutat Grab -Tasche!,Ingrediente Grab Bag!,Ingrediens Gripesekk!,Сумка Для Ингредиентов!,Bolsa De Agarre De Ingredientes!,Ingrediens Grab Påse!,İç Malzeme Torbası!,Bolsa De Agarrar Ingredientes!
JULY2025WEEK2ALCHEMYBUNDLE_CATCH_DESC,stock up on a bunch of alchemy ingredients to create mighty rewards!,,JULY2025Week2Alchemy,Stock up on a bunch of Alchemy ingredients to create mighty rewards!,獲取大量煉金術成分來製作強大的獎勵！,获取大量炼金术成分来制作强大的奖励！,強力な報酬を作成するために、たくさんの錬金術の材料を手に入れましょう！,강력한 보상을 만들기 위해 많은 연금술 성분을 얻으십시오!,Få Masser Af Alkymi -Ingredienser Til At Skabe Kraftfulde Belønninger!,Krijg Een Heleboel Alchemie -Ingrediënten Om Krachtige Beloningen Te Maken!,Obtenez Une Tonne D'Ingrédients D'Alchimie Pour Élaborer De Puissantes Récompenses!,"Holen Sie Sich Eine Menge Alchemiezutaten, Um Mächtige Belohnungen Zu Erstellen!",Ottieni Una Tonnellata Di Ingredienti Di Alchimia Per Creare Potenti Ricompense!,Få Massevis Av Alkymi Ingredienser For Å Lage Kraftige Belønninger!,"Получите Тонну Ингредиентов Алхимии, Чтобы Создать Мощные Награды!",¡Obtenga Un Montón De Ingredientes De Alquimia Para Crear Poderosas Recompensas!,Få Massor Av Alkemiingredienser För Att Skapa Kraftfulla Belöningar!,Güçlü Ödüller Üretmek Için Bir Ton Simya Malzemesi Alın!,Obtenha Uma Tonelada De Ingredientes Da Alquimia Para Criar Recompensas Poderosas!
JULY2025WEEK3ALCHEMYBUNDLE_TITLE,alchemy surprise pack!,,JULY2025Week3Alchemy,Alchemy Surprise Pack!,成分抓袋！,成分抓袋！,成分グラブバッグ！,성분 잡기 가방!,Ingrediens Grab Taske!,Ingrediëntengreeptas!,Sac De Saisie Des Ingrédients!,Zutat Grab -Tasche!,Ingrediente Grab Bag!,Ingrediens Gripesekk!,Сумка Для Ингредиентов!,Bolsa De Agarre De Ingredientes!,Ingrediens Grab Påse!,İç Malzeme Torbası!,Bolsa De Agarrar Ingredientes!
JULY2025WEEK3ALCHEMYBUNDLE_CATCH_DESC,stock up on a bunch of alchemy ingredients to create mighty rewards!,,JULY2025Week3Alchemy,Stock up on a bunch of Alchemy ingredients to create mighty rewards!,獲取大量煉金術成分來製作強大的獎勵！,获取大量炼金术成分来制作强大的奖励！,強力な報酬を作成するために、たくさんの錬金術の材料を手に入れましょう！,강력한 보상을 만들기 위해 많은 연금술 성분을 얻으십시오!,Få Masser Af Alkymi -Ingredienser Til At Skabe Kraftfulde Belønninger!,Krijg Een Heleboel Alchemie -Ingrediënten Om Krachtige Beloningen Te Maken!,Obtenez Une Tonne D'Ingrédients D'Alchimie Pour Élaborer De Puissantes Récompenses!,"Holen Sie Sich Eine Menge Alchemiezutaten, Um Mächtige Belohnungen Zu Erstellen!",Ottieni Una Tonnellata Di Ingredienti Di Alchimia Per Creare Potenti Ricompense!,Få Massevis Av Alkymi Ingredienser For Å Lage Kraftige Belønninger!,"Получите Тонну Ингредиентов Алхимии, Чтобы Создать Мощные Награды!",¡Obtenga Un Montón De Ingredientes De Alquimia Para Crear Poderosas Recompensas!,Få Massor Av Alkemiingredienser För Att Skapa Kraftfulla Belöningar!,Güçlü Ödüller Üretmek Için Bir Ton Simya Malzemesi Alın!,Obtenha Uma Tonelada De Ingredientes Da Alquimia Para Criar Recompensas Poderosas!
JULY2025WEEK4ALCHEMYBUNDLE_TITLE,alchemy surprise pack!,,JULY2025Week4Alchemy,Alchemy Surprise Pack!,成分抓袋！,成分抓袋！,成分グラブバッグ！,성분 잡기 가방!,Ingrediens Grab Taske!,Ingrediëntengreeptas!,Sac De Saisie Des Ingrédients!,Zutat Grab -Tasche!,Ingrediente Grab Bag!,Ingrediens Gripesekk!,Сумка Для Ингредиентов!,Bolsa De Agarre De Ingredientes!,Ingrediens Grab Påse!,İç Malzeme Torbası!,Bolsa De Agarrar Ingredientes!
