Ascension,Level,AmountMelee,PrecalculatedAmountMelee,AmountRanged,PrecalculatedAmountRanged,AmountSpell,PrecalculatedAmountSpell,Melee Total MAGs,Ranged Total MAGs,Spell Total MAGs
0,4900,15,2.54E+150,8,2.01E+144,350,3.29E+156,150.40,144.30,156.52
0,4950,10,2.54E+151,8,1.60E+145,500,1.65E+159,151.40,145.21,159.22
0,5000,1000,2.54E+154,1.00E+16,1.60E+161,1.00E+03,1.65E+162,154.40,161.21,162.22
0,5050,100,2.54E+156,4,6.42E+161,2,3.29E+162,156.40,161.81,162.52
0,5100,95,2.41E+158,4,2.57E+162,5,1.65E+163,158.38,162.41,163.22
0,5150,90,2.17E+160,4,1.03E+163,10,1.65E+164,160.34,163.01,164.22
0,5200,85,1.84E+162,4,4.11E+163,15,2.47E+165,162.27,163.61,165.39
0,5250,80,1.48E+164,4,1.64E+164,20,4.94E+166,164.17,164.22,166.69
0,5300,75,1.11E+166,4,6.57E+164,30,1.48E+168,166.04,164.82,168.17
0,5350,70,7.75E+167,4,2.63E+165,40,5.93E+169,167.89,165.42,169.77
0,5400,65,5.04E+169,4,1.05E+166,50,2.97E+171,169.70,166.02,171.47
0,5450,60,3.02E+171,4,4.20E+166,60,1.78E+173,171.48,166.62,173.25
0,5500,55,1.66E+173,4,1.68E+167,70,1.25E+175,173.22,167.23,175.10
0,5550,50,8.31E+174,4,6.73E+167,90,1.12E+177,174.92,167.83,177.05
0,5600,45,3.74E+176,4,2.69E+168,110,1.23E+179,176.57,168.43,179.09
0,5650,40,1.50E+178,4,1.08E+169,140,1.73E+181,178.17,169.03,181.24
0,5700,35,5.23E+179,4,4.31E+169,180,3.11E+183,179.72,169.63,183.49
0,5750,30,1.57E+181,4,1.72E+170,230,7.15E+185,181.20,170.24,185.85
0,5800,25,3.93E+182,4,6.89E+170,290,2.07E+188,182.59,170.84,188.32
0,5850,20,7.85E+183,4,2.76E+171,260,5.39E+190,183.89,171.44,190.73
0,5900,15,1.18E+185,4,1.10E+172,350,1.89E+193,185.07,172.04,193.28
0,5950,10,1.18E+186,4,4.41E+172,500,9.43E+195,186.07,172.64,195.97
0,6000,1000,1.18E+189,1.00E+16,4.41E+188,1.00E+02,9.43E+197,189.07,188.64,197.97
1,10,3,3.00E+00,2,2.00E+00,2,2.00E+00,0.48,0.30,0.30
1,30,3,9.00E+00,2,4.00E+00,2,4.00E+00,0.95,0.60,0.60
1,50,3,2.70E+01,2,8.00E+00,2,8.00E+00,1.43,0.90,0.90
1,70,3,8.10E+01,2,1.60E+01,2,1.60E+01,1.91,1.20,1.20
1,90,3,2.43E+02,2,3.20E+01,2,3.20E+01,2.39,1.51,1.51
1,110,3,7.29E+02,2,6.40E+01,2,6.40E+01,2.86,1.81,1.81
1,130,3,2.19E+03,2,1.28E+02,2,1.28E+02,3.34,2.11,2.11
1,150,3,6.56E+03,2,2.56E+02,2,2.56E+02,3.82,2.41,2.41
1,170,3,1.97E+04,2,5.12E+02,2,5.12E+02,4.29,2.71,2.71
1,190,3,5.90E+04,2,1.02E+03,2,1.02E+03,4.77,3.01,3.01
1,210,4,2.36E+05,2,2.05E+03,2,2.05E+03,5.37,3.31,3.31
1,230,4,9.45E+05,2,4.10E+03,2,4.10E+03,5.98,3.61,3.61
1,250,4,3.78E+06,2,8.19E+03,2,8.19E+03,6.58,3.91,3.91
1,270,4,1.51E+07,2,1.64E+04,2,1.64E+04,7.18,4.21,4.21
1,290,4,6.05E+07,2,3.28E+04,3,4.92E+04,7.78,4.52,4.69
1,310,4,2.42E+08,2,6.55E+04,3,1.47E+05,8.38,4.82,5.17
1,330,4,9.67E+08,2,1.31E+05,3,4.42E+05,8.99,5.12,5.65
1,350,4,3.87E+09,2,2.62E+05,3,1.33E+06,9.59,5.42,6.12
1,370,4,1.55E+10,2,5.24E+05,3,3.98E+06,10.19,5.72,6.60
1,400,4,6.19E+10,2,1.05E+06,3,1.19E+07,10.79,6.02,7.08
1,430,4,2.48E+11,2,2.10E+06,3,3.58E+07,11.39,6.32,7.55
1,460,4,9.91E+11,2,4.19E+06,3,1.07E+08,12.00,6.62,8.03
1,490,4,3.96E+12,2,8.39E+06,3,3.22E+08,12.60,6.92,8.51
1,520,4,1.59E+13,2,1.68E+07,3,9.67E+08,13.20,7.22,8.99
1,550,4,6.34E+13,2,3.36E+07,3,2.90E+09,13.80,7.53,9.46
1,580,4,2.54E+14,2,6.71E+07,3,8.71E+09,14.40,7.83,9.94
1,610,4,1.01E+15,2,1.34E+08,3,2.61E+10,15.01,8.13,10.42
1,640,4,4.06E+15,2,2.68E+08,4,1.04E+11,15.61,8.43,11.02
1,670,4,1.62E+16,2,5.37E+08,4,4.18E+11,16.21,8.73,11.62
1,700,4,6.49E+16,2,1.07E+09,4,1.67E+12,16.81,9.03,12.22
1,730,4,2.60E+17,2,2.15E+09,4,6.69E+12,17.41,9.33,12.83
1,760,4,1.04E+18,2,4.29E+09,5,3.34E+13,18.02,9.63,13.52
1,790,4,4.16E+18,2,8.59E+09,5,1.67E+14,18.62,9.93,14.22
1,820,4,1.66E+19,2,1.72E+10,5,8.36E+14,19.22,10.24,14.92
1,850,4,6.65E+19,2,3.44E+10,5,4.18E+15,19.82,10.54,15.62
1,880,4,2.66E+20,2,6.87E+10,6,2.51E+16,20.42,10.84,16.40
1,910,4,1.06E+21,2,1.37E+11,6,1.50E+17,21.03,11.14,17.18
1,940,4,4.25E+21,2,2.75E+11,7,1.05E+18,21.63,11.44,18.02
1,970,4,1.70E+22,2,5.50E+11,8,8.43E+18,22.23,11.74,18.93
1,1000,1000,1.70E+25,1.00E+15,5.50E+26,1.00E+02,8.43E+20,25.23,26.74,20.93
1,1040,10,1.70E+26,3,1.65E+27,5,4.21E+21,26.23,27.22,21.62
1,1080,10,1.70E+27,3,4.95E+27,5,2.11E+22,27.23,27.69,22.32
1,1120,10,1.70E+28,3,1.48E+28,5,1.05E+23,28.23,28.17,23.02
1,1160,10,1.70E+29,3,4.45E+28,7,7.37E+23,29.23,28.65,23.87
1,1200,9,1.53E+30,3,1.34E+29,7,5.16E+24,30.19,29.13,24.71
1,1240,9,1.38E+31,3,4.01E+29,7,3.61E+25,31.14,29.60,25.56
1,1280,9,1.24E+32,3,1.20E+30,9,3.25E+26,32.09,30.08,26.51
1,1320,9,1.12E+33,3,3.61E+30,9,2.93E+27,33.05,30.56,27.47
1,1360,9,1.00E+34,3,1.08E+31,9,2.63E+28,34.00,31.03,28.42
1,1400,8,8.04E+34,3,3.25E+31,11,2.90E+29,34.91,31.51,29.46
1,1440,8,6.43E+35,3,9.74E+31,11,3.19E+30,35.81,31.99,30.50
1,1480,8,5.15E+36,3,2.92E+32,11,3.51E+31,36.71,32.47,31.54
1,1520,8,4.12E+37,3,8.76E+32,13,4.56E+32,37.61,32.94,32.66
1,1560,8,3.29E+38,3,2.63E+33,13,5.92E+33,38.52,33.42,33.77
1,1600,8,2.63E+39,3,7.89E+33,13,7.70E+34,39.42,33.90,34.89
1,1640,8,2.11E+40,3,2.37E+34,15,1.16E+36,40.32,34.37,36.06
1,1680,7,1.48E+41,3,7.10E+34,15,1.73E+37,41.17,34.85,37.24
1,1720,7,1.03E+42,3,2.13E+35,15,2.60E+38,42.01,35.33,38.41
1,1760,7,7.23E+42,3,6.39E+35,17,4.42E+39,42.86,35.81,39.65
1,1800,6,4.34E+43,3,1.92E+36,17,7.51E+40,43.64,36.28,40.88
1,1840,6,2.60E+44,3,5.75E+36,17,1.28E+42,44.42,36.76,42.11
1,1880,5,1.30E+45,3,1.73E+37,19,2.43E+43,45.11,37.24,43.38
1,1920,5,6.51E+45,3,5.18E+37,19,4.61E+44,45.81,37.71,44.66
1,1960,4,2.60E+46,3,1.55E+38,19,8.76E+45,46.42,38.19,45.94
1,2000,1000,2.60E+49,1.00E+15,1.55E+53,1.00E+03,8.76E+48,49.42,53.19,48.94
1,2050,50,1.30E+51,6,9.32E+53,2,1.75E+49,51.11,53.97,49.24
1,2100,45,5.86E+52,6,5.59E+54,2,3.50E+49,52.77,54.75,49.54
1,2150,40,2.34E+54,6,3.35E+55,2,7.01E+49,54.37,55.53,49.85
1,2200,35,8.20E+55,6,2.01E+56,2,1.40E+50,55.91,56.30,50.15
1,2250,30,2.46E+57,6,1.21E+57,5,7.01E+50,57.39,57.08,50.85
1,2300,25,6.15E+58,6,7.24E+57,10,7.01E+51,58.79,57.86,51.85
1,2350,20,1.23E+60,6,4.35E+58,15,1.05E+53,60.09,58.64,53.02
1,2400,15,1.84E+61,6,2.61E+59,20,2.10E+54,61.27,59.42,54.32
1,2450,10,1.84E+62,6,1.56E+60,30,6.31E+55,62.27,60.19,55.80
1,2500,8,1.48E+63,6,9.39E+60,40,2.52E+57,63.17,60.97,57.40
1,2550,6,8.85E+63,6,5.63E+61,50,1.26E+59,63.95,61.75,59.10
1,2600,4,3.54E+64,6,3.38E+62,60,7.57E+60,64.55,62.53,60.88
1,2650,4,1.42E+65,6,2.03E+63,70,5.30E+62,65.15,63.31,62.72
1,2700,3,4.25E+65,6,1.22E+64,80,4.24E+64,65.63,64.09,64.63
1,2750,3,1.27E+66,6,7.30E+64,90,3.81E+66,66.11,64.86,66.58
1,2800,3,3.82E+66,6,4.38E+65,100,3.81E+68,66.58,65.64,68.58
1,2850,2,7.65E+66,6,2.63E+66,100,3.81E+70,66.88,66.42,70.58
1,2900,2,1.53E+67,6,1.58E+67,100,3.81E+72,67.18,67.20,72.58
1,2950,2,3.06E+67,6,9.46E+67,100,3.81E+74,67.49,67.98,74.58
1,3000,1000,3.06E+70,1.00E+10,9.46E+77,1.00E+02,3.81E+76,70.49,77.98,76.58
1,3050,70,2.14E+72,6,5.68E+78,2,7.63E+76,72.33,78.75,76.88
1,3100,65,1.39E+74,6,3.41E+79,2,1.53E+77,74.14,79.53,77.18
1,3150,60,8.35E+75,6,2.04E+80,2,3.05E+77,75.92,80.31,77.48
1,3200,55,4.59E+77,6,1.23E+81,2,6.10E+77,77.66,81.09,77.79
1,3250,50,2.30E+79,6,7.36E+81,5,3.05E+78,79.36,81.87,78.48
1,3300,45,1.03E+81,6,4.41E+82,10,3.05E+79,81.01,82.64,79.48
1,3350,40,4.13E+82,6,2.65E+83,15,4.58E+80,82.62,83.42,80.66
1,3400,35,1.45E+84,6,1.59E+84,20,9.15E+81,84.16,84.20,81.96
1,3450,30,4.34E+85,6,9.53E+84,30,2.75E+83,85.64,84.98,83.44
1,3500,25,1.09E+87,6,5.72E+85,40,1.10E+85,87.04,85.76,85.04
1,3550,20,2.17E+88,6,3.43E+86,50,5.49E+86,88.34,86.54,86.74
1,3600,15,3.26E+89,6,2.06E+87,60,3.30E+88,89.51,87.31,88.52
1,3650,10,3.26E+90,6,1.24E+88,70,2.31E+90,90.51,88.09,90.36
1,3700,10,3.26E+91,6,7.41E+88,80,1.85E+92,91.51,88.87,92.27
1,3750,5,1.63E+92,6,4.45E+89,90,1.66E+94,92.21,89.65,94.22
1,3800,5,8.14E+92,6,2.67E+90,100,1.66E+96,92.91,90.43,96.22
1,3850,2,1.63E+93,6,1.60E+91,100,1.66E+98,93.21,91.20,98.22
1,3900,2,3.26E+93,6,9.61E+91,100,1.66E+100,93.51,91.98,100.22
1,3950,2,6.51E+93,6,5.77E+92,100,1.66E+102,93.81,92.76,102.22
1,4000,1000,6.51E+96,1.00E+11,5.77E+103,1.00E+03,1.66E+105,96.81,103.76,105.22
1,4050,70,4.56E+98,5,2.88E+104,2,3.32E+105,98.66,104.46,105.52
1,4100,65,2.96E+100,5,1.44E+105,2,6.64E+105,100.47,105.16,105.82
1,4150,60,1.78E+102,5,7.21E+105,2,1.33E+106,102.25,105.86,106.12
1,4200,55,9.78E+103,5,3.60E+106,2,2.66E+106,103.99,106.56,106.42
1,4250,50,4.89E+105,5,1.80E+107,5,1.33E+107,105.69,107.26,107.12
1,4300,45,2.20E+107,5,9.01E+107,10,1.33E+108,107.34,107.95,108.12
1,4350,40,8.80E+108,5,4.50E+108,15,1.99E+109,108.94,108.65,109.30
1,4400,35,3.08E+110,5,2.25E+109,20,3.99E+110,110.49,109.35,110.60
1,4450,30,9.24E+111,5,1.13E+110,30,1.20E+112,111.97,110.05,112.08
1,4500,25,2.31E+113,5,5.63E+110,40,4.78E+113,113.36,110.75,113.68
1,4550,20,4.62E+114,5,2.82E+111,50,2.39E+115,114.66,111.45,115.38
1,4600,15,6.93E+115,5,1.41E+112,60,1.43E+117,115.84,112.15,117.16
1,4650,10,6.93E+116,5,7.04E+112,70,1.00E+119,116.84,112.85,119.00
1,4700,10,6.93E+117,5,3.52E+113,80,8.04E+120,117.84,113.55,120.91
1,4750,5,3.47E+118,5,1.76E+114,90,7.23E+122,118.54,114.25,122.86
1,4800,5,1.73E+119,5,8.80E+114,100,7.23E+124,119.24,114.94,124.86
1,4850,2,3.47E+119,5,4.40E+115,100,7.23E+126,119.54,115.64,126.86
1,4900,2,6.93E+119,5,2.20E+116,100,7.23E+128,119.84,116.34,128.86
1,4950,2,1.39E+120,5,1.10E+117,100,7.23E+130,120.14,117.04,130.86
1,5000,1000,1.39E+123,1.00E+15,1.10E+132,1.00E+03,7.23E+133,123.14,132.04,133.86
1,5050,70,9.70E+124,3,3.30E+132,2,1.45E+134,124.99,132.52,134.16
1,5100,65,6.31E+126,3,9.90E+132,2,2.89E+134,126.80,133.00,134.46
1,5150,60,3.78E+128,3,2.97E+133,2,5.79E+134,128.58,133.47,134.76
1,5200,55,2.08E+130,3,8.91E+133,2,1.16E+135,130.32,133.95,135.06
1,5250,50,1.04E+132,3,2.67E+134,5,5.79E+135,132.02,134.43,135.76
1,5300,45,4.68E+133,3,8.02E+134,10,5.79E+136,133.67,134.90,136.76
1,5350,40,1.87E+135,3,2.40E+135,15,8.68E+137,135.27,135.38,137.94
1,5400,35,6.56E+136,3,7.21E+135,20,1.74E+139,136.82,135.86,139.24
1,5450,30,1.97E+138,3,2.16E+136,30,5.21E+140,138.29,136.34,140.72
1,5500,25,4.92E+139,3,6.49E+136,40,2.08E+142,139.69,136.81,142.32
1,5550,20,9.83E+140,3,1.95E+137,50,1.04E+144,140.99,137.29,144.02
1,5600,15,1.48E+142,3,5.84E+137,60,6.25E+145,142.17,137.77,145.80
1,5650,10,1.48E+143,3,1.75E+138,60,3.75E+147,143.17,138.24,147.57
1,5700,10,1.48E+144,3,5.26E+138,60,2.25E+149,144.17,138.72,149.35
1,5750,5,7.38E+144,3,1.58E+139,70,1.57E+151,144.87,139.20,151.20
1,5800,5,3.69E+145,3,4.73E+139,70,1.10E+153,145.57,139.68,153.04
1,5850,2,7.38E+145,3,1.42E+140,70,7.72E+154,145.87,140.15,154.89
1,5900,2,1.48E+146,3,4.26E+140,70,5.40E+156,146.17,140.63,156.73
1,5950,2,2.95E+146,3,1.28E+141,70,3.78E+158,146.47,141.11,158.58
1,6000,10000,2.95E+150,1.00E+15,1.28E+156,1.00E+02,3.78E+160,150.47,156.11,160.58
2,10,3.00E+00,3.00E+00,2,2.00E+00,2,2.00E+00,0.48,0.30,0.30
2,30,3,9.00E+00,2,4.00E+00,2,4.00E+00,0.95,0.60,0.60
2,50,3,2.70E+01,2,8.00E+00,2,8.00E+00,1.43,0.90,0.90
2,70,3,8.10E+01,2,1.60E+01,2,1.60E+01,1.91,1.20,1.20
2,90,3,2.43E+02,2,3.20E+01,2,3.20E+01,2.39,1.51,1.51
2,110,3,7.29E+02,2,6.40E+01,2,6.40E+01,2.86,1.81,1.81
2,130,3,2.19E+03,2,1.28E+02,2,1.28E+02,3.34,2.11,2.11
2,150,3,6.56E+03,2,2.56E+02,2,2.56E+02,3.82,2.41,2.41
2,170,3,1.97E+04,2,5.12E+02,2,5.12E+02,4.29,2.71,2.71
2,190,3,5.90E+04,2,1.02E+03,2,1.02E+03,4.77,3.01,3.01
2,210,4,2.36E+05,2,2.05E+03,2,2.05E+03,5.37,3.31,3.31
2,230,4,9.45E+05,2,4.10E+03,2,4.10E+03,5.98,3.61,3.61
2,250,4,3.78E+06,2,8.19E+03,2,8.19E+03,6.58,3.91,3.91
2,270,4,1.51E+07,2,1.64E+04,2,1.64E+04,7.18,4.21,4.21
2,290,4,6.05E+07,2,3.28E+04,3,4.92E+04,7.78,4.52,4.69
2,310,4,2.42E+08,2,6.55E+04,3,1.47E+05,8.38,4.82,5.17
2,330,4,9.67E+08,2,1.31E+05,3,4.42E+05,8.99,5.12,5.65
2,350,4,3.87E+09,2,2.62E+05,3,1.33E+06,9.59,5.42,6.12
2,370,4,1.55E+10,2,5.24E+05,3,3.98E+06,10.19,5.72,6.60
2,400,4,6.19E+10,2,1.05E+06,3,1.19E+07,10.79,6.02,7.08
2,430,4,2.48E+11,2,2.10E+06,3,3.58E+07,11.39,6.32,7.55
2,460,4,9.91E+11,2,4.19E+06,3,1.07E+08,12.00,6.62,8.03
