StartRank,EndRank,PrizeType,PrizeID,TierID,Rewards,ResourceRewards,AvatarReward,Diamonds,TitanPoint,HolidayCurrency,SkillPoint,Perk,EquipmentShards,Pet,Weapon,PremiumWeapon
1,1,Type1,10010,M,"Avatar:AvatarSuperTournament1,Diamonds:1400,TitanPoints:400,HolidayCurrency:250,SkillPoint:30,Perk:24","Diamonds:1400,TitanPoints:400,HolidayCurrency:250,SkillPoint:30,Perk:24",Avatar:AvatarSuperTournament1,1400,400,250,30,24,0,0,0,0
2,2,Type1,10010,L,"Avatar:AvatarSuperTournament2,Diamonds:1100,TitanPoints:300,HolidayCurrency:230,SkillPoint:24,Perk:20","Diamonds:1100,TitanPoints:300,HolidayCurrency:230,SkillPoint:24,Perk:20",Avatar:AvatarSuperTournament2,1100,300,230,24,20,0,0,0,0
3,6,Type1,10010,K,"Avatar:AvatarSuperTournament3,Diamonds:900,TitanPoints:250,HolidayCurrency:200,SkillPoint:20,Perk:18","Diamonds:900,TitanPoints:250,HolidayCurrency:200,SkillPoint:20,Perk:18",Avatar:AvatarSuperTournament3,900,250,200,20,18,0,0,0,0
7,8,Type1,10010,J,"Avatar:AvatarSuperTournament4,Diamonds:800,TitanPoints:200,HolidayCurrency:180,SkillPoint:20,Perk:16","Diamonds:800,TitanPoints:200,HolidayCurrency:180,SkillPoint:20,Perk:16",Avatar:AvatarSuperTournament4,800,200,180,20,16,0,0,0,0
9,10,Type1,10010,J,"Avatar:AvatarSuperTournament4,Diamonds:700,TitanPoints:160,HolidayCurrency:160,SkillPoint:14,Perk:14","Diamonds:700,TitanPoints:160,HolidayCurrency:160,SkillPoint:14,Perk:14",Avatar:AvatarSuperTournament4,700,160,160,14,14,0,0,0,0
11,12,Type1,10010,J,"Avatar:AvatarSuperTournament4,Diamonds:600,TitanPoints:140,HolidayCurrency:140,SkillPoint:14,Perk:12","Diamonds:600,TitanPoints:140,HolidayCurrency:140,SkillPoint:14,Perk:12",Avatar:AvatarSuperTournament4,600,140,140,14,12,0,0,0,0
13,16,Type1,10010,J,"Avatar:AvatarSuperTournament4,Diamonds:500,TitanPoints:120,HolidayCurrency:120,SkillPoint:10,Perk:10","Diamonds:500,TitanPoints:120,HolidayCurrency:120,SkillPoint:10,Perk:10",Avatar:AvatarSuperTournament4,500,120,120,10,10,0,0,0,0
17,20,Type1,10010,I,"Avatar:AvatarSuperTournament4,Diamonds:400,TitanPoints:100,HolidayCurrency:100,SkillPoint:10,Perk:8","Diamonds:400,TitanPoints:100,HolidayCurrency:100,SkillPoint:10,Perk:8",Avatar:AvatarSuperTournament4,400,100,100,10,8,0,0,0,0
0,0,Type1,10009,N,"Avatar:AvatarSuperTournament1,Diamonds:2400,TitanPoints:500,HolidayCurrency:300,SkillPoint:50,Perk:40","Diamonds:2400,TitanPoints:500,HolidayCurrency:300,SkillPoint:50,Perk:40",Avatar:AvatarSuperTournament1,2400,500,300,50,40,0,0,0,0
1,1,Type1,10009,M,"Avatar:AvatarSuperTournament1,Diamonds:1300,TitanPoints:300,HolidayCurrency:250,SkillPoint:30,Perk:24","Diamonds:1300,TitanPoints:300,HolidayCurrency:250,SkillPoint:30,Perk:24",Avatar:AvatarSuperTournament1,1300,300,250,30,24,0,0,0,0
2,2,Type1,10009,L,"Avatar:AvatarSuperTournament2,Diamonds:1000,TitanPoints:250,HolidayCurrency:230,SkillPoint:24,Perk:20","Diamonds:1000,TitanPoints:250,HolidayCurrency:230,SkillPoint:24,Perk:20",Avatar:AvatarSuperTournament2,1000,250,230,24,20,0,0,0,0
3,6,Type1,10009,K,"Avatar:AvatarSuperTournament3,Diamonds:800,TitanPoints:200,HolidayCurrency:200,SkillPoint:20,Perk:16","Diamonds:800,TitanPoints:200,HolidayCurrency:200,SkillPoint:20,Perk:16",Avatar:AvatarSuperTournament3,800,200,200,20,16,0,0,0,0
7,8,Type1,10009,J,"Avatar:AvatarSuperTournament4,Diamonds:700,TitanPoints:160,HolidayCurrency:180,SkillPoint:20,Perk:14","Diamonds:700,TitanPoints:160,HolidayCurrency:180,SkillPoint:20,Perk:14",Avatar:AvatarSuperTournament4,700,160,180,20,14,0,0,0,0
9,12,Type1,10009,J,"Avatar:AvatarSuperTournament4,Diamonds:600,TitanPoints:120,HolidayCurrency:160,SkillPoint:14,Perk:12","Diamonds:600,TitanPoints:120,HolidayCurrency:160,SkillPoint:14,Perk:12",Avatar:AvatarSuperTournament4,600,120,160,14,12,0,0,0,0
13,20,Type1,10009,J,"Avatar:AvatarSuperTournament4,Diamonds:500,TitanPoints:100,HolidayCurrency:140,SkillPoint:10,Perk:10","Diamonds:500,TitanPoints:100,HolidayCurrency:140,SkillPoint:10,Perk:10",Avatar:AvatarSuperTournament4,500,100,140,10,10,0,0,0,0
21,30,Type1,10009,I,"Avatar:AvatarSuperTournament4,Diamonds:400,TitanPoints:80,HolidayCurrency:120,SkillPoint:10,Perk:8","Diamonds:400,TitanPoints:80,HolidayCurrency:120,SkillPoint:10,Perk:8",Avatar:AvatarSuperTournament4,400,80,120,10,8,0,0,0,0
31,50,Type1,10009,I,"Avatar:AvatarSuperTournament4,Diamonds:300,TitanPoints:70,HolidayCurrency:100,SkillPoint:10,Perk:6","Diamonds:300,TitanPoints:70,HolidayCurrency:100,SkillPoint:10,Perk:6",Avatar:AvatarSuperTournament4,300,70,100,10,6,0,0,0,0
0,0,Type1,10008,N,"Avatar:AvatarSuperTournament1,Diamonds:3600,TitanPoints:600,HolidayCurrency:300,SkillPoint:75,Perk:60","Diamonds:3600,TitanPoints:600,HolidayCurrency:300,SkillPoint:75,Perk:60",Avatar:AvatarSuperTournament1,3600,600,300,75,60,0,0,0,0
1,1,Type1,10008,M,"Avatar:AvatarSuperTournament1,Diamonds:1950,TitanPoints:375,HolidayCurrency:250,SkillPoint:45,Perk:36","Diamonds:1950,TitanPoints:375,HolidayCurrency:250,SkillPoint:45,Perk:36",Avatar:AvatarSuperTournament1,1950,375,250,45,36,0,0,0,0
2,2,Type1,10008,L,"Avatar:AvatarSuperTournament2,Diamonds:1500,TitanPoints:300,HolidayCurrency:230,SkillPoint:36,Perk:30","Diamonds:1500,TitanPoints:300,HolidayCurrency:230,SkillPoint:36,Perk:30",Avatar:AvatarSuperTournament2,1500,300,230,36,30,0,0,0,0
3,12,Type1,10008,K,"Avatar:AvatarSuperTournament3,Diamonds:1050,TitanPoints:210,HolidayCurrency:200,SkillPoint:30,Perk:21","Diamonds:1050,TitanPoints:210,HolidayCurrency:200,SkillPoint:30,Perk:21",Avatar:AvatarSuperTournament3,1050,210,200,30,21,0,0,0,0
13,21,Type1,10008,J,"Avatar:AvatarSuperTournament4,Diamonds:900,TitanPoints:150,HolidayCurrency:180,SkillPoint:21,Perk:18","Diamonds:900,TitanPoints:150,HolidayCurrency:180,SkillPoint:21,Perk:18",Avatar:AvatarSuperTournament4,900,150,180,21,18,0,0,0,0
22,30,Type1,10008,J,"Avatar:AvatarSuperTournament4,Diamonds:750,TitanPoints:120,HolidayCurrency:160,SkillPoint:15,Perk:15","Diamonds:750,TitanPoints:120,HolidayCurrency:160,SkillPoint:15,Perk:15",Avatar:AvatarSuperTournament4,750,120,160,15,15,0,0,0,0
31,60,Type1,10008,J,"Avatar:AvatarSuperTournament4,Diamonds:600,TitanPoints:105,HolidayCurrency:140,SkillPoint:15,Perk:12","Diamonds:600,TitanPoints:105,HolidayCurrency:140,SkillPoint:15,Perk:12",Avatar:AvatarSuperTournament4,600,105,140,15,12,0,0,0,0
61,90,Type1,10008,I,"Avatar:AvatarSuperTournament4,Diamonds:450,TitanPoints:90,HolidayCurrency:120,SkillPoint:15,Perk:9","Diamonds:450,TitanPoints:90,HolidayCurrency:120,SkillPoint:15,Perk:9",Avatar:AvatarSuperTournament4,450,90,120,15,9,0,0,0,0
91,150,Type1,10008,I,"Avatar:AvatarSuperTournament4,Diamonds:300,TitanPoints:75,HolidayCurrency:100,SkillPoint:6,Perk:6","Diamonds:300,TitanPoints:75,HolidayCurrency:100,SkillPoint:6,Perk:6",Avatar:AvatarSuperTournament4,300,75,100,6,6,0,0,0,0
0,0,Type1,10007,N,"Avatar:AvatarSuperTournament1,Diamonds:3000,TitanPoints:600,HolidayCurrency:300,SkillPoint:60,Perk:54","Diamonds:3000,TitanPoints:600,HolidayCurrency:300,SkillPoint:60,Perk:54",Avatar:AvatarSuperTournament1,3000,600,300,60,54,0,0,0,0
1,1,Type1,10007,M,"Avatar:AvatarSuperTournament1,Diamonds:1800,TitanPoints:375,HolidayCurrency:250,SkillPoint:36,Perk:36","Diamonds:1800,TitanPoints:375,HolidayCurrency:250,SkillPoint:36,Perk:36",Avatar:AvatarSuperTournament1,1800,375,250,36,36,0,0,0,0
2,2,Type1,10007,L,"Avatar:AvatarSuperTournament2,Diamonds:1500,TitanPoints:300,HolidayCurrency:230,SkillPoint:30,Perk:30","Diamonds:1500,TitanPoints:300,HolidayCurrency:230,SkillPoint:30,Perk:30",Avatar:AvatarSuperTournament2,1500,300,230,30,30,0,0,0,0
3,12,Type1,10007,K,"Avatar:AvatarSuperTournament3,Diamonds:1050,TitanPoints:210,HolidayCurrency:200,SkillPoint:21,Perk:21","Diamonds:1050,TitanPoints:210,HolidayCurrency:200,SkillPoint:21,Perk:21",Avatar:AvatarSuperTournament3,1050,210,200,21,21,0,0,0,0
13,21,Type1,10007,J,"Avatar:AvatarSuperTournament4,Diamonds:900,TitanPoints:150,HolidayCurrency:180,SkillPoint:21,Perk:18","Diamonds:900,TitanPoints:150,HolidayCurrency:180,SkillPoint:21,Perk:18",Avatar:AvatarSuperTournament4,900,150,180,21,18,0,0,0,0
22,30,Type1,10007,J,"Avatar:AvatarSuperTournament4,Diamonds:750,TitanPoints:120,HolidayCurrency:160,SkillPoint:15,Perk:15","Diamonds:750,TitanPoints:120,HolidayCurrency:160,SkillPoint:15,Perk:15",Avatar:AvatarSuperTournament4,750,120,160,15,15,0,0,0,0
31,60,Type1,10007,J,"Avatar:AvatarSuperTournament4,Diamonds:600,TitanPoints:105,HolidayCurrency:140,SkillPoint:15,Perk:12","Diamonds:600,TitanPoints:105,HolidayCurrency:140,SkillPoint:15,Perk:12",Avatar:AvatarSuperTournament4,600,105,140,15,12,0,0,0,0
61,90,Type1,10007,I,"Avatar:AvatarSuperTournament4,Diamonds:450,TitanPoints:90,HolidayCurrency:120,SkillPoint:15,Perk:9","Diamonds:450,TitanPoints:90,HolidayCurrency:120,SkillPoint:15,Perk:9",Avatar:AvatarSuperTournament4,450,90,120,15,9,0,0,0,0
91,150,Type1,10007,I,"Avatar:AvatarSuperTournament4,Diamonds:300,TitanPoints:75,HolidayCurrency:100,SkillPoint:6,Perk:6","Diamonds:300,TitanPoints:75,HolidayCurrency:100,SkillPoint:6,Perk:6",Avatar:AvatarSuperTournament4,300,75,100,6,6,0,0,0,0
0,0,Type1,10006,N,"Avatar:AvatarSuperTournament1,Diamonds:2700,TitanPoints:450,HolidayCurrency:300,SkillPoint:51,Perk:45","Diamonds:2700,TitanPoints:450,HolidayCurrency:300,SkillPoint:51,Perk:45",Avatar:AvatarSuperTournament1,2700,450,300,51,45,0,0,0,0
1,1,Type1,10006,M,"Avatar:AvatarSuperTournament1,Diamonds:1800,TitanPoints:300,HolidayCurrency:250,SkillPoint:36,Perk:30","Diamonds:1800,TitanPoints:300,HolidayCurrency:250,SkillPoint:36,Perk:30",Avatar:AvatarSuperTournament1,1800,300,250,36,30,0,0,0,0
2,2,Type1,10006,L,"Avatar:AvatarSuperTournament2,Diamonds:1350,TitanPoints:225,HolidayCurrency:230,SkillPoint:30,Perk:24","Diamonds:1350,TitanPoints:225,HolidayCurrency:230,SkillPoint:30,Perk:24",Avatar:AvatarSuperTournament2,1350,225,230,30,24,0,0,0,0
3,10,Type1,10006,K,"Avatar:AvatarSuperTournament3,Diamonds:900,TitanPoints:150,HolidayCurrency:200,SkillPoint:21,Perk:18","Diamonds:900,TitanPoints:150,HolidayCurrency:200,SkillPoint:21,Perk:18",Avatar:AvatarSuperTournament3,900,150,200,21,18,0,0,0,0
11,25,Type1,10006,J,"Avatar:AvatarSuperTournament4,Diamonds:600,TitanPoints:120,HolidayCurrency:180,SkillPoint:15,Perk:15","Diamonds:600,TitanPoints:120,HolidayCurrency:180,SkillPoint:15,Perk:15",Avatar:AvatarSuperTournament4,600,120,180,15,15,0,0,0,0
26,50,Type1,10006,J,"Avatar:AvatarSuperTournament4,Diamonds:450,TitanPoints:90,HolidayCurrency:160,SkillPoint:15,Perk:12","Diamonds:450,TitanPoints:90,HolidayCurrency:160,SkillPoint:15,Perk:12",Avatar:AvatarSuperTournament4,450,90,160,15,12,0,0,0,0
51,80,Type1,10006,J,"Avatar:AvatarSuperTournament4,Diamonds:375,TitanPoints:75,HolidayCurrency:140,SkillPoint:15,Perk:9","Diamonds:375,TitanPoints:75,HolidayCurrency:140,SkillPoint:15,Perk:9",Avatar:AvatarSuperTournament4,375,75,140,15,9,0,0,0,0
81,130,Type1,10006,I,"Avatar:AvatarSuperTournament4,Diamonds:300,TitanPoints:60,HolidayCurrency:120,SkillPoint:6,Perk:6","Diamonds:300,TitanPoints:60,HolidayCurrency:120,SkillPoint:6,Perk:6",Avatar:AvatarSuperTournament4,300,60,120,6,6,0,0,0,0
131,200,Type1,10006,I,"Avatar:AvatarSuperTournament4,Diamonds:150,TitanPoints:45,HolidayCurrency:100,SkillPoint:6,Perk:3","Diamonds:150,TitanPoints:45,HolidayCurrency:100,SkillPoint:6,Perk:3",Avatar:AvatarSuperTournament4,150,45,100,6,3,0,0,0,0
0,0,Type1,10005,N,"Avatar:AvatarSuperTournament1,Diamonds:2100,TitanPoints:300,HolidayCurrency:300,SkillPoint:36,Perk:30","Diamonds:2100,TitanPoints:300,HolidayCurrency:300,SkillPoint:36,Perk:30",Avatar:AvatarSuperTournament1,2100,300,300,36,30,0,0,0,0
1,1,Type1,10005,M,"Avatar:AvatarSuperTournament1,Diamonds:1350,TitanPoints:210,HolidayCurrency:250,SkillPoint:30,Perk:24","Diamonds:1350,TitanPoints:210,HolidayCurrency:250,SkillPoint:30,Perk:24",Avatar:AvatarSuperTournament1,1350,210,250,30,24,0,0,0,0
2,2,Type1,10005,L,"Avatar:AvatarSuperTournament2,Diamonds:1050,TitanPoints:150,HolidayCurrency:230,SkillPoint:21,Perk:18","Diamonds:1050,TitanPoints:150,HolidayCurrency:230,SkillPoint:21,Perk:18",Avatar:AvatarSuperTournament2,1050,150,230,21,18,0,0,0,0
3,10,Type1,10005,K,"Avatar:AvatarSuperTournament3,Diamonds:750,TitanPoints:105,HolidayCurrency:200,SkillPoint:21,Perk:15","Diamonds:750,TitanPoints:105,HolidayCurrency:200,SkillPoint:21,Perk:15",Avatar:AvatarSuperTournament3,750,105,200,21,15,0,0,0,0
11,25,Type1,10005,K,"Avatar:AvatarSuperTournament4,Diamonds:600,TitanPoints:90,HolidayCurrency:180,SkillPoint:15,Perk:12","Diamonds:600,TitanPoints:90,HolidayCurrency:180,SkillPoint:15,Perk:12",Avatar:AvatarSuperTournament4,600,90,180,15,12,0,0,0,0
26,50,Type1,10005,J,"Avatar:AvatarSuperTournament4,Diamonds:450,TitanPoints:75,HolidayCurrency:160,SkillPoint:15,Perk:9","Diamonds:450,TitanPoints:75,HolidayCurrency:160,SkillPoint:15,Perk:9",Avatar:AvatarSuperTournament4,450,75,160,15,9,0,0,0,0
51,80,Type1,10005,I,"Avatar:AvatarSuperTournament4,Diamonds:300,TitanPoints:60,HolidayCurrency:140,SkillPoint:6,Perk:6","Diamonds:300,TitanPoints:60,HolidayCurrency:140,SkillPoint:6,Perk:6",Avatar:AvatarSuperTournament4,300,60,140,6,6,0,0,0,0
81,130,Type1,10005,I,"Avatar:AvatarSuperTournament4,Diamonds:225,TitanPoints:45,HolidayCurrency:120,SkillPoint:6,Perk:3","Diamonds:225,TitanPoints:45,HolidayCurrency:120,SkillPoint:6,Perk:3",Avatar:AvatarSuperTournament4,225,45,120,6,3,0,0,0,0
131,200,Type1,10005,H,"Avatar:AvatarSuperTournament4,Diamonds:90,TitanPoints:30,HolidayCurrency:100,SkillPoint:6,Perk:3","Diamonds:90,TitanPoints:30,HolidayCurrency:100,SkillPoint:6,Perk:3",Avatar:AvatarSuperTournament4,90,30,100,6,3,0,0,0,0
0,0,Type1,10004,N,"Avatar:AvatarSuperTournament1,Diamonds:1800,TitanPoints:210,HolidayCurrency:300,SkillPoint:30,Perk:24","Diamonds:1800,TitanPoints:210,HolidayCurrency:300,SkillPoint:30,Perk:24",Avatar:AvatarSuperTournament1,1800,210,300,30,24,0,0,0,0
1,1,Type1,10004,M,"Avatar:AvatarSuperTournament1,Diamonds:1200,TitanPoints:150,HolidayCurrency:250,SkillPoint:21,Perk:18","Diamonds:1200,TitanPoints:150,HolidayCurrency:250,SkillPoint:21,Perk:18",Avatar:AvatarSuperTournament1,1200,150,250,21,18,0,0,0,0
2,2,Type1,10004,M,"Avatar:AvatarSuperTournament2,Diamonds:900,TitanPoints:105,HolidayCurrency:230,SkillPoint:21,Perk:15","Diamonds:900,TitanPoints:105,HolidayCurrency:230,SkillPoint:21,Perk:15",Avatar:AvatarSuperTournament2,900,105,230,21,15,0,0,0,0
3,10,Type1,10004,L,"Avatar:AvatarSuperTournament3,Diamonds:600,TitanPoints:90,HolidayCurrency:200,SkillPoint:15,Perk:12","Diamonds:600,TitanPoints:90,HolidayCurrency:200,SkillPoint:15,Perk:12",Avatar:AvatarSuperTournament3,600,90,200,15,12,0,0,0,0
11,25,Type1,10004,K,"Avatar:AvatarSuperTournament4,Diamonds:450,TitanPoints:75,HolidayCurrency:180,SkillPoint:15,Perk:9","Diamonds:450,TitanPoints:75,HolidayCurrency:180,SkillPoint:15,Perk:9",Avatar:AvatarSuperTournament4,450,75,180,15,9,0,0,0,0
26,50,Type1,10004,J,"Avatar:AvatarSuperTournament4,Diamonds:300,TitanPoints:60,HolidayCurrency:160,SkillPoint:6,Perk:6","Diamonds:300,TitanPoints:60,HolidayCurrency:160,SkillPoint:6,Perk:6",Avatar:AvatarSuperTournament4,300,60,160,6,6,0,0,0,0
51,80,Type1,10004,I,"Avatar:AvatarSuperTournament4,Diamonds:225,TitanPoints:45,HolidayCurrency:140,SkillPoint:6,Perk:3","Diamonds:225,TitanPoints:45,HolidayCurrency:140,SkillPoint:6,Perk:3",Avatar:AvatarSuperTournament4,225,45,140,6,3,0,0,0,0
81,130,Type1,10004,H,"Avatar:AvatarSuperTournament4,Diamonds:90,TitanPoints:30,HolidayCurrency:120,SkillPoint:6,Perk:3","Diamonds:90,TitanPoints:30,HolidayCurrency:120,SkillPoint:6,Perk:3",Avatar:AvatarSuperTournament4,90,30,120,6,3,0,0,0,0
131,200,Type1,10004,H,"Avatar:AvatarSuperTournament4,Diamonds:60,TitanPoints:15,HolidayCurrency:100,SkillPoint:6,Perk:3","Diamonds:60,TitanPoints:15,HolidayCurrency:100,SkillPoint:6,Perk:3",Avatar:AvatarSuperTournament4,60,15,100,6,3,0,0,0,0
0,0,Type1,10003,N,"Avatar:AvatarSuperTournament1,Diamonds:1350,TitanPoints:210,HolidayCurrency:300,SkillPoint:30,Perk:24","Diamonds:1350,TitanPoints:210,HolidayCurrency:300,SkillPoint:30,Perk:24",Avatar:AvatarSuperTournament1,1350,210,300,30,24,0,0,0,0
1,1,Type1,10003,M,"Avatar:AvatarSuperTournament1,Diamonds:1050,TitanPoints:150,HolidayCurrency:250,SkillPoint:21,Perk:18","Diamonds:1050,TitanPoints:150,HolidayCurrency:250,SkillPoint:21,Perk:18",Avatar:AvatarSuperTournament1,1050,150,250,21,18,0,0,0,0
2,2,Type1,10003,M,"Avatar:AvatarSuperTournament2,Diamonds:675,TitanPoints:105,HolidayCurrency:230,SkillPoint:21,Perk:15","Diamonds:675,TitanPoints:105,HolidayCurrency:230,SkillPoint:21,Perk:15",Avatar:AvatarSuperTournament2,675,105,230,21,15,0,0,0,0
3,10,Type1,10003,L,"Avatar:AvatarSuperTournament3,Diamonds:525,TitanPoints:90,HolidayCurrency:200,SkillPoint:15,Perk:12","Diamonds:525,TitanPoints:90,HolidayCurrency:200,SkillPoint:15,Perk:12",Avatar:AvatarSuperTournament3,525,90,200,15,12,0,0,0,0
11,25,Type1,10003,K,"Avatar:AvatarSuperTournament4,Diamonds:375,TitanPoints:75,HolidayCurrency:180,SkillPoint:15,Perk:9","Diamonds:375,TitanPoints:75,HolidayCurrency:180,SkillPoint:15,Perk:9",Avatar:AvatarSuperTournament4,375,75,180,15,9,0,0,0,0
26,50,Type1,10003,J,"Avatar:AvatarSuperTournament4,Diamonds:300,TitanPoints:60,HolidayCurrency:160,SkillPoint:6,Perk:6","Diamonds:300,TitanPoints:60,HolidayCurrency:160,SkillPoint:6,Perk:6",Avatar:AvatarSuperTournament4,300,60,160,6,6,0,0,0,0
51,80,Type1,10003,I,"Avatar:AvatarSuperTournament4,Diamonds:225,TitanPoints:45,HolidayCurrency:140,SkillPoint:6,Perk:3","Diamonds:225,TitanPoints:45,HolidayCurrency:140,SkillPoint:6,Perk:3",Avatar:AvatarSuperTournament4,225,45,140,6,3,0,0,0,0
81,130,Type1,10003,H,"Avatar:AvatarSuperTournament4,Diamonds:90,TitanPoints:30,HolidayCurrency:120,SkillPoint:6,Perk:3","Diamonds:90,TitanPoints:30,HolidayCurrency:120,SkillPoint:6,Perk:3",Avatar:AvatarSuperTournament4,90,30,120,6,3,0,0,0,0
131,200,Type1,10003,H,"Avatar:AvatarSuperTournament4,Diamonds:60,TitanPoints:15,HolidayCurrency:100,SkillPoint:6,Perk:3","Diamonds:60,TitanPoints:15,HolidayCurrency:100,SkillPoint:6,Perk:3",Avatar:AvatarSuperTournament4,60,15,100,6,3,0,0,0,0
0,0,Type1,10002,N,"Avatar:AvatarSuperTournament1,Diamonds:1200,TitanPoints:210,HolidayCurrency:300,SkillPoint:30,Perk:24","Diamonds:1200,TitanPoints:210,HolidayCurrency:300,SkillPoint:30,Perk:24",Avatar:AvatarSuperTournament1,1200,210,300,30,24,0,0,0,0
1,1,Type1,10002,M,"Avatar:AvatarSuperTournament1,Diamonds:900,TitanPoints:150,HolidayCurrency:250,SkillPoint:21,Perk:18","Diamonds:900,TitanPoints:150,HolidayCurrency:250,SkillPoint:21,Perk:18",Avatar:AvatarSuperTournament1,900,150,250,21,18,0,0,0,0
2,2,Type1,10002,M,"Avatar:AvatarSuperTournament2,Diamonds:600,TitanPoints:105,HolidayCurrency:230,SkillPoint:21,Perk:15","Diamonds:600,TitanPoints:105,HolidayCurrency:230,SkillPoint:21,Perk:15",Avatar:AvatarSuperTournament2,600,105,230,21,15,0,0,0,0
3,10,Type1,10002,L,"Avatar:AvatarSuperTournament3,Diamonds:450,TitanPoints:90,HolidayCurrency:200,SkillPoint:15,Perk:12","Diamonds:450,TitanPoints:90,HolidayCurrency:200,SkillPoint:15,Perk:12",Avatar:AvatarSuperTournament3,450,90,200,15,12,0,0,0,0
11,25,Type1,10002,K,"Avatar:AvatarSuperTournament4,Diamonds:300,TitanPoints:75,HolidayCurrency:180,SkillPoint:15,Perk:9","Diamonds:300,TitanPoints:75,HolidayCurrency:180,SkillPoint:15,Perk:9",Avatar:AvatarSuperTournament4,300,75,180,15,9,0,0,0,0
26,50,Type1,10002,J,"Avatar:AvatarSuperTournament4,Diamonds:225,TitanPoints:60,HolidayCurrency:160,SkillPoint:6,Perk:6","Diamonds:225,TitanPoints:60,HolidayCurrency:160,SkillPoint:6,Perk:6",Avatar:AvatarSuperTournament4,225,60,160,6,6,0,0,0,0
51,80,Type1,10002,I,"Avatar:AvatarSuperTournament4,Diamonds:150,TitanPoints:45,HolidayCurrency:140,SkillPoint:6,Perk:3","Diamonds:150,TitanPoints:45,HolidayCurrency:140,SkillPoint:6,Perk:3",Avatar:AvatarSuperTournament4,150,45,140,6,3,0,0,0,0
81,130,Type1,10002,H,"Avatar:AvatarSuperTournament4,Diamonds:75,TitanPoints:30,HolidayCurrency:120,SkillPoint:6,Perk:3","Diamonds:75,TitanPoints:30,HolidayCurrency:120,SkillPoint:6,Perk:3",Avatar:AvatarSuperTournament4,75,30,120,6,3,0,0,0,0
131,200,Type1,10002,H,"Avatar:AvatarSuperTournament4,Diamonds:45,TitanPoints:15,HolidayCurrency:100,SkillPoint:6,Perk:3","Diamonds:45,TitanPoints:15,HolidayCurrency:100,SkillPoint:6,Perk:3",Avatar:AvatarSuperTournament4,45,15,100,6,3,0,0,0,0
