HelperSkillID,Owner,Name,BonusType,Magnitude,RequiredLevel
205,H12,Hidden Veil,PetGoldQTEAmount,1.1,500
206,H12,Paralysis,GoldBoss,1.2,1000
207,H12,Dynamic Force,GoldSpecialty,1.3,2000
208,H12,Superstition,GoldBoss,1.4,3000
209,H12,Ghost Breath,GoldSpecialty,1.5,4000
210,H12,Spectral Nova,GoldBoss,2,6000
211,H23,Brooding Thrill,CritChance,0.001,20
212,H23,Guardian's Chant,CritChance,0.001,60
213,H23,Soul Initiative,CritChance,0.001,100
214,H23,Medusa's Strife,CritChance,0.001,200
215,H23,Essence of Horn,CritChance,0.001,500
216,H23,Command Ritual,CritDamage,1.2,1000
217,H23,Tribal Vision,AllDamage,1.3,2000
218,H23,Battle Thirst,CritDamage,1.4,3000
219,H23,Royal Presence,AllDamage,1.5,4000
220,H23,Relentless Force,CritDamage,2,6000
221,H30,Unforgiving,MultiMonstersGold,1.1,20
222,H30,Stomping Presence,MultiMonstersGold,1.1,60
223,H30,Hammer Pulse,MultiMonstersGold,1.1,100
224,H30,Psychosis,MultiMonstersGold,1.1,200
225,H30,War Beacon,MultiMonstersGold,1.1,500
226,H30,Hammer Circle,GoldAll,1.2,1000
227,H30,Battle Fortitude,ChestAmount,1.3,2000
228,H30,Steel Nerves,GoldAll,1.4,3000
229,H30,Land Warrior,ChestAmount,1.5,4000
230,H30,Scythe Master,GoldAll,2,6000
231,H11,Scorched Essence,GoldBoss,1.1,20
232,H11,Winds of Clarity,GoldBoss,1.1,60
233,H11,Death March,GoldBoss,1.1,100
234,H11,Battle Brawler,GoldBoss,1.1,200
235,H11,Winds of Calm,GoldBoss,1.1,500
236,H11,Ruthless Pursuit,AllHelperDamage,1.2,1000
237,H11,Cloud of Justice,AllDamage,1.3,2000
238,H11,Merciless,TapDamage,1.4,3000
239,H11,Devilish Charmer,CritDamage,1.5,4000
240,H11,Dungeon Trapper,AllHelperDamage,2,6000
241,H07,Custom Machinery,GoldSpecialty,1.1,20
242,H07,Methodically Manic,GoldSpecialty,1.1,60
243,H07,Sphinx Presence,GoldSpecialty,1.1,100
244,H07,Panther's Touch,GoldSpecialty,1.1,200
245,H07,Copper Skin,GoldSpecialty,1.1,500
246,H07,Special Fighter,GoldAll,1.2,1000
247,H07,Skull Cap,ChestAmount,1.3,2000
248,H07,Master Manipulator,GoldAll,1.4,3000
249,H07,Perpetual Impulsivity,ChestAmount,1.5,4000
250,H07,Arthur's Revenge,GoldAll,2,6000
251,H32,Call of the Relic,CritDamage,1.1,20
252,H32,Circle of Atonement,CritDamage,1.1,60
253,H32,Enchanted Veil,CritDamage,1.1,100
254,H32,Traveller,CritDamage,1.1,200
255,H32,Relentless,CritDamage,1.1,500
256,H32,The Sword's Path,AllDamage,1.2,1000
257,H32,Blunt Strength,GoldAll,1.3,2000
258,H32,Viking Slash Force,AllDamage,1.4,3000
259,H32,Rune Enabler,GoldAll,1.5,4000
260,H32,Bearded Fortitude,AllDamage,2,6000
261,H31,Spirit Vessel,AllDamage,1.1,20
262,H31,Essence of Valhalla,AllDamage,1.1,60
263,H31,Warrior Loyalty,AllDamage,1.1,100
264,H31,Bolt Block Brigade,AllDamage,1.1,200
265,H31,Analog Cloud,AllDamage,1.1,500
266,H31,Strength in Numbers,AllHelperDamage,1.2,1000
267,H31,Tough as Bolts,GoldAll,1.3,2000
268,H31,Steel Heart,AllHelperDamage,1.4,3000
269,H31,Battle Spirit,GoldAll,1.5,4000
270,H31,Thrill of the Fight,AllHelperDamage,2,6000
271,H34,Blunt Brutality,GoldBoss,1.1,20
272,H34,Dungeon Loyalty,FairyGold,1.1,60
273,H34,Meteor Wave,Goldx10Chance,0.001,100
274,H34,Dreadful Disintegration,ChestAmount,1.1,200
275,H34,Gruesome Ritual,GoldAll,1.1,500
276,H34,Sacrifice,GoldBoss,1.2,1000
277,H34,Circle of Death,Goldx10Chance,0.002,2000
278,H34,Nature's Revenge,GoldAll,1.4,3000
279,H34,Hydra Force,Goldx10Chance,0.003,4000
280,H34,Death Flight,GoldBoss,2,6000
281,H15,Animal Advantage,ChestAmount,1.1,20
282,H15,Vitality,MultiMonstersGold,1.1,60
283,H15,Charcoal Screen,ChestAmount,1.1,100
284,H15,Dark Veil,MultiMonstersGold,1.1,200
285,H15,Silver Rider,ChestAmount,1.1,500
286,H15,Guiding Chant,MultiMonstersGold,1.2,1000
287,H15,Cloacked Rebel,ChestAmount,1.3,2000
288,H15,Activism,MultiMonstersGold,1.4,3000
289,H15,Beacon of Hope,ChestAmount,1.5,4000
290,H15,Haunting Barrage,MultiMonstersGold,2,6000
291,H17,Spirit Harvest,ManaPoolCap,3,20
292,H17,Hawk Clutch,ManaRegen,0.1,60
293,H17,Wind Speed,ManaPoolCap,3,100
294,H17,Ancient Flight,ManaRegen,0.1,200
295,H17,Aerial Advantage,ManaPoolCap,3,500
296,H17,Winged Commander,ManaRegen,0.2,1000
297,H17,Vision Walk,ManaPoolCap,4,2000
298,H17,Wrath of the Relics,ManaRegen,0.3,3000
299,H17,Emerald Deception,ManaPoolCap,6,4000
300,H17,Demon's Heart,ManaRegen,0.5,6000
301,H28,Nature's Presence,CritDamage,1.1,20
302,H28,Lightning Rage,CritChance,0.001,60
303,H28,Executioner's Breath,CritDamage,1.1,100
304,H28,Poison Touch,CritChance,0.001,200
305,H28,Hidden Veil,CritDamage,1.1,500
306,H28,Paralysis,CritChance,0.002,1000
307,H28,Dynamic Force,CritDamage,1.3,2000
308,H28,Superstition,CritChance,0.003,3000
309,H28,Ghost Breath,CritDamage,1.5,4000
310,H28,Spectral Nova,CritChance,0.004,6000
311,H37,Brooding Thrill,AllDamage,1.1,20
312,H37,Guardian's Chant,AllHelperDamage,1.1,60
313,H37,Soul Initiative,MeleeHelperDamage,1.1,100
314,H37,Medusa's Strife,RangedHelperDamage,1.1,200
315,H37,Essence of Horn,SpellHelperDamage,1.1,500
316,H37,Command Ritual,TapDamage,1.2,1000
317,H37,Tribal Vision,AllDamage,1.3,2000
318,H37,Battle Thirst,AllHelperDamage,1.4,3000
319,H37,Royal Presence,AllDamage,1.5,4000
320,H37,Relentless Force,AllHelperDamage,2,6000
321,H35,Unforgiving,ChestAmount,1.1,20
322,H35,Stomping Presence,GoldSpecialty,1.1,60
323,H35,Hammer Pulse,ChestAmount,1.1,100
324,H35,Psychosis,GoldSpecialty,1.1,200
325,H35,War Beacon,ChestAmount,1.1,500
326,H35,Hammer Circle,TapDamage,1.2,1000
327,H35,Battle Fortitude,GoldBoss,1.3,2000
328,H35,Steel Nerves,TapDamage,1.4,3000
329,H35,Land Warrior,GoldBoss,1.5,4000
330,H35,Scythe Master,TapDamage,2,6000
331,H16,Scorched Essence,Goldx10Chance,0.001,20
332,H16,Winds of Clarity,GoldBoss,1.1,60
333,H16,Death March,Goldx10Chance,0.001,100
334,H16,Battle Brawler,GoldBoss,1.1,200
335,H16,Winds of Calm,Goldx10Chance,0.001,500
336,H16,Ruthless Pursuit,GoldBoss,1.2,1000
337,H16,Cloud of Justice,GoldAll,1.3,2000
338,H16,Merciless,GoldBoss,1.4,3000
339,H16,Devilish Charmer,GoldAll,1.5,4000
340,H16,Dungeon Trapper,GoldBoss,2,6000
341,H33,Custom Machinery,RangedHelperDamage,1.1,20
342,H33,Methodically Manic,RangedHelperDamage,1.1,60
343,H33,Sphinx Presence,RangedHelperDamage,1.1,100
344,H33,Panther's Touch,RangedHelperDamage,1.1,200
345,H33,Copper Skin,RangedHelperDamage,1.1,500
346,H33,Special Fighter,AllHelperDamage,1.2,1000
347,H33,Skull Cap,AllHelperDamage,1.3,2000
348,H33,Master Manipulator,AllHelperDamage,1.4,3000
349,H33,Perpetual Impulsivity,AllHelperDamage,1.5,4000
350,H33,Arthur's Revenge,AllHelperDamage,2,6000
351,H14,Call of the Relic,MeleeHelperDamage,1.1,20
352,H14,Circle of Atonement,MeleeHelperDamage,1.1,60
353,H14,Enchanted Veil,MeleeHelperDamage,1.1,100
354,H14,Traveller,MeleeHelperDamage,1.1,200
355,H14,Relentless,MeleeHelperDamage,1.1,500
356,H14,The Sword's Path,TapDamage,1.2,1000
357,H14,Blunt Strength,TapDamage,1.3,2000
358,H14,Viking Slash Force,TapDamage,1.4,3000
359,H14,Rune Enabler,TapDamage,1.5,4000
360,H14,Bearded Fortitude,TapDamage,2,6000
361,H36,Spirit Vessel,SpellHelperDamage,1.1,20
362,H36,Essence of Valhalla,SpellHelperDamage,1.1,60
363,H36,Warrior Loyalty,SpellHelperDamage,1.1,100
364,H36,Bolt Block Brigade,SpellHelperDamage,1.1,200
365,H36,Analog Cloud,SpellHelperDamage,1.1,500
366,H36,Strength in Numbers,ShadowCloneSkillAmount,1.2,1000
367,H36,Tough as Bolts,ShadowCloneSkillAmount,1.3,2000
368,H36,Steel Heart,ShadowCloneSkillAmount,1.4,3000
369,H36,Battle Spirit,ShadowCloneSkillAmount,1.5,4000
370,H36,Thrill of the Fight,ManaPoolCap,50,6000
