Level,AmountNew,TotalNew,AmountNew1,TotalNew2,Amount,Total
740,3,4.13E+19,3,5.64E+15,2,1.96E+01
760,3,1.24E+20,2,1.13E+16,2,2.01E+01
780,3,3.72E+20,3,3.39E+16,2,2.06E+01
800,3,1.11E+21,4,1.35E+17,2,2.10E+01
820,3,3.34E+21,2,2.71E+17,2,2.15E+01
840,3,1.00E+22,3,8.12E+17,2,2.20E+01
860,3,3.01E+22,2,1.62E+18,2,2.25E+01
880,2,6.02E+22,3,4.87E+18,2,2.28E+01
900,4,2.41E+23,5,2.44E+19,2,2.34E+01
920,2,4.81E+23,2,4.87E+19,2,2.37E+01
940,3,1.44E+24,3,1.46E+20,2,2.42E+01
960,5,7.22E+24,2,2.92E+20,2,2.49E+01
980,3,2.17E+25,3,8.77E+20,2,2.53E+01
1000,5,1.08E+26,10,8.77E+21,10,2.60E+01
1040,4,4.33E+26,3,2.63E+22,5,2.66E+01
1080,6,2.60E+27,4,1.05E+23,5,2.74E+01
1120,8,2.08E+28,3,3.16E+23,5,2.83E+01
1160,5,1.04E+29,5,1.58E+24,5,2.90E+01
1200,20,2.08E+30,12,1.90E+25,10,3.03E+01
1240,20,4.16E+31,4,7.58E+25,5,3.16E+01
1280,20,8.32E+32,5,3.79E+26,5,3.29E+01
1320,20,1.66E+34,8,3.03E+27,5,3.42E+01
1360,20,3.33E+35,9,2.73E+28,5,3.55E+01
1400,16,5.32E+36,16,4.37E+29,10,3.67E+01
1440,5,2.66E+37,9,3.93E+30,5,3.74E+01
1480,5,1.33E+38,8,3.14E+31,5,3.81E+01
1520,5,6.66E+38,7,2.20E+32,5,3.88E+01
1560,30,2.00E+40,11,2.42E+33,5,4.03E+01
1600,100,2.00E+42,20,4.84E+34,10,4.23E+01
1640,10,2.00E+43,8,3.87E+35,5,4.33E+01
1680,10,2.00E+44,7,2.71E+36,5,4.43E+01
1720,5,9.98E+44,8,2.17E+37,5,4.50E+01
1760,10,9.98E+45,9,1.95E+38,5,4.60E+01
1800,10,9.98E+46,16,3.12E+39,10,4.70E+01
1840,10,9.98E+47,9,2.81E+40,5,4.80E+01
1880,12,1.20E+49,12,3.37E+41,5,4.91E+01
1920,11,1.32E+50,11,3.71E+42,5,5.01E+01
1960,10,1.32E+51,15,5.57E+43,5,5.11E+01
2000,30,3.95E+52,100,5.57E+45,20,5.26E+01
2050,12,4.74E+53,12,6.68E+46,5,5.37E+01
2100,20,9.49E+54,20,1.34E+48,10,5.50E+01
2150,16,1.52E+56,16,2.14E+49,5,5.62E+01
2200,50,7.59E+57,25,5.34E+50,10,5.79E+01
2250,100,7.59E+59,18,9.62E+51,5,5.99E+01
2300,40,3.04E+61,35,3.37E+53,10,6.15E+01
2350,40,1.21E+63,21,7.07E+54,5,6.31E+01
2400,40,4.86E+64,45,3.18E+56,10,6.47E+01
2450,40,1.94E+66,16,5.09E+57,5,6.63E+01
2500,50,9.72E+67,50,2.55E+59,10,6.80E+01
2550,10,9.72E+68,12,3.05E+60,5,6.90E+01
2600,10,9.72E+69,25,7.64E+61,10,7.00E+01
2650,50,4.86E+71,16,1.22E+63,5,7.17E+01
2700,40,1.94E+73,45,5.50E+64,10,7.33E+01
2750,40,7.77E+74,24,1.32E+66,5,7.49E+01
2800,40,3.11E+76,48,6.33E+67,10,7.65E+01
2850,20,6.22E+77,14,8.87E+68,5,7.78E+01
2900,30,1.87E+79,32,2.84E+70,10,7.93E+01
2950,30,5.60E+80,16,4.54E+71,5,8.07E+01
3000,20,1.12E+82,125,5.67E+73,30,8.20E+01
3050,12,1.34E+83,12,6.81E+74,5,8.31E+01
3100,20,2.69E+84,21,1.43E+76,5,8.44E+01
3150,50,1.34E+86,11,1.57E+77,5,8.61E+01
3200,50,6.72E+87,22,3.46E+78,10,8.78E+01
3250,250,1.68E+90,10,3.46E+79,5,9.02E+01
3300,50,8.39E+91,14,4.84E+80,5,9.19E+01
3350,100,8.39E+93,13,6.30E+81,5,9.39E+01
3400,50,4.20E+95,25,1.57E+83,10,9.56E+01
3450,50,2.10E+97,14,2.20E+84,5,9.73E+01
3500,50,1.05E+99,30,6.61E+85,5,9.90E+01
3550,50,5.25E+100,13,8.60E+86,5,1.01E+02
3600,50,2.62E+102,32,2.75E+88,10,1.02E+02
3650,50,1.31E+104,14,3.85E+89,5,1.04E+02
3700,50,6.56E+105,35,1.35E+91,5,1.06E+02
3750,30,1.97E+107,12,1.62E+92,5,1.07E+02
3800,50,9.84E+108,35,5.66E+93,10,1.09E+02
3850,50,4.92E+110,13,7.36E+94,5,1.11E+02
3900,40,1.97E+112,38,2.80E+96,5,1.12E+02
3950,40,7.87E+113,15,4.20E+97,5,1.14E+02
4000,20,1.57E+115,125,5.24E+99,30,1.15E+02
4050,10,1.57E+116,13,6.82E+100,5,1.16E+02
4100,30,4.72E+117,25,1.70E+102,5,1.18E+02
4150,30,1.42E+119,9,1.53E+103,5,1.19E+02
4200,30,4.25E+120,28,4.29E+104,10,1.21E+02
4250,30,1.27E+122,11,4.72E+105,5,1.22E+02
4300,30,3.82E+123,26,1.23E+107,5,1.24E+02
4350,30,1.15E+125,14,1.72E+108,5,1.25E+02
4400,100,1.15E+127,32,5.50E+109,10,1.27E+02
4450,100,1.15E+129,15,8.25E+110,5,1.29E+02
4500,100,1.15E+131,33,2.72E+112,5,1.31E+02
4550,30,3.44E+132,14,3.81E+113,5,1.33E+02
4600,50,1.72E+134,32,1.22E+115,10,1.34E+02
4650,20,3.44E+135,12,1.46E+116,5,1.36E+02
4700,20,6.88E+136,24,3.51E+117,5,1.37E+02
4750,20,1.38E+138,8,2.81E+118,5,1.38E+02
4800,20,2.75E+139,22,6.19E+119,10,1.39E+02
4850,20,5.51E+140,7,4.33E+120,5,1.41E+02
4900,20,1.10E+142,21,9.09E+121,5,1.42E+02
4950,20,2.20E+143,8,7.27E+122,5,1.43E+02
5000,300,6.61E+145,125,9.09E+124,30,1.46E+02
5050,50,3.30E+147,6,5.46E+125,5,1.48E+02
5100,50,1.65E+149,12,6.55E+126,5,1.49E+02
5150,50,8.26E+150,5,3.27E+127,5,1.51E+02
5200,50,4.13E+152,13,4.26E+128,10,1.53E+02
5250,50,2.07E+154,6,2.55E+129,5,1.54E+02
5300,50,1.03E+156,12,3.06E+130,5,1.56E+02
5350,50,5.16E+157,5,1.53E+131,5,1.58E+02
5400,50,2.58E+159,11,1.69E+132,10,1.59E+02
5450,50,1.29E+161,6,1.01E+133,5,1.61E+02
5500,50,6.45E+162,12,1.21E+134,5,1.63E+02
5550,30,1.94E+164,5,6.07E+134,5,1.64E+02
5600,30,5.81E+165,11,6.67E+135,10,1.66E+02
5650,30,1.74E+167,6,4.00E+136,5,1.67E+02
5700,30,5.23E+168,13,5.21E+137,5,1.69E+02
5750,30,1.57E+170,5,2.60E+138,5,1.70E+02
5800,30,4.71E+171,14,3.64E+139,10,1.72E+02
5850,30,1.41E+173,6,2.19E+140,5,1.73E+02
5900,30,4.23E+174,25,5.47E+141,5,1.75E+02
5950,30,1.27E+176,15,8.20E+142,5,1.76E+02
6000,100,1.27E+178,125,1.02E+145,40,1.78E+02
6050,75,9.53E+179,8,8.20E+145,5,1.80E+02
6100,75,7.15E+181,25,2.05E+147,5,1.82E+02
6150,75,5.36E+183,7,1.43E+148,5,1.84E+02
6200,75,4.02E+185,24,3.44E+149,10,1.86E+02
6250,50,2.01E+187,6,2.07E+150,5,1.87E+02
6300,30,6.03E+188,22,4.54E+151,5,1.89E+02
6350,30,1.81E+190,7,3.18E+152,5,1.90E+02
6400,30,5.43E+191,23,7.32E+153,10,1.92E+02
6450,30,1.63E+193,6,4.39E+154,5,1.93E+02
6500,30,4.88E+194,24,1.05E+156,5,1.95E+02
6550,20,9.77E+195,7,7.38E+156,5,1.96E+02
6600,30,2.93E+197,25,1.84E+158,10,1.97E+02
6650,30,8.79E+198,5,9.22E+158,5,1.99E+02
6700,20,1.76E+200,32,2.95E+160,5,2.00E+02
6750,20,3.52E+201,16,4.72E+161,5,2.02E+02
6800,10,3.52E+202,48,2.27E+163,10,2.03E+02
6850,10,3.52E+203,17,3.85E+164,5,2.04E+02
6900,50,1.76E+205,42,1.62E+166,5,2.05E+02
6950,50,8.79E+206,25,4.04E+167,5,2.07E+02
7000,500,4.40E+209,500,2.02E+170,40,2.10E+02
7100,1000,4.40E+212,100,2.02E+172,12,2.13E+02
7200,1000,4.40E+215,125,2.53E+174,12,2.16E+02
7300,1000,4.40E+218,150,3.79E+176,12,2.19E+02
7400,1000,4.40E+221,175,6.64E+178,12,2.22E+02
7500,10000,4.40E+225,200,1.33E+181,12,2.26E+02
7600,10000,4.40E+229,225,2.99E+183,12,2.30E+02
7700,1000,4.40E+232,250,7.47E+185,12,2.33E+02
7800,1000,4.40E+235,275,2.05E+188,12,2.36E+02
7900,1000,4.40E+238,300,6.16E+190,12,2.39E+02
8000,10000,4.40E+242,1000,6.16E+193,50,2.43E+02
8100,1000,4.40E+245,100,6.16E+195,12,2.46E+02
8200,1000,4.40E+248,125,7.70E+197,12,2.49E+02
8300,1000,4.40E+251,250,1.92E+200,12,2.52E+02
8400,1000,4.40E+254,175,3.37E+202,12,2.55E+02
8500,10000,4.40E+258,750,2.53E+205,12,2.59E+02
8600,10000,4.40E+262,225,5.68E+207,12,2.63E+02
8700,10000,4.40E+266,250,1.42E+210,12,2.67E+02
8800,1000,4.40E+269,275,3.91E+212,12,2.70E+02
8900,1000,4.40E+272,600,2.34E+215,12,2.73E+02
9000,1000,4.40E+275,2000,4.69E+218,60,2.76E+02
9100,100,4.40E+277,100,4.69E+220,12,2.78E+02
9200,125,5.49E+279,125,5.86E+222,12,2.80E+02
9300,250,1.37E+282,250,1.47E+225,12,2.82E+02
9400,175,2.40E+284,175,2.56E+227,12,2.84E+02
9500,750,1.80E+287,750,1.92E+230,12,2.87E+02
9600,225,4.06E+289,225,4.33E+232,12,2.90E+02
9700,250,1.01E+292,250,1.08E+235,12,2.92E+02
9800,400,4.06E+294,400,4.33E+237,12,2.95E+02
9900,600,2.43E+297,600,2.60E+240,12,2.97E+02
10000,2000,4.87E+300,2000,5.19E+243,60,3.01E+02
10100,100,4.87E+302,100,5.19E+245,12,3.03E+02
10200,125,6.08E+304,125,6.49E+247,12,3.05E+02
10300,250,1.52E+307,250,1.62E+250,12,3.07E+02
10400,175,2.66E+309,175,2.84E+252,12,3.09E+02
10500,1000,2.66E+312,1000,2.84E+255,12,3.12E+02
10600,225,5.99E+315,225,6.39E+257,12,3.15E+02
10700,250,1.50E+317,250,1.60E+260,12,3.17E+02
10800,400,5.99E+320,400,6.39E+262,12,3.20E+02
10900,600,3.59E+323,600,3.83E+265,12,3.23E+02
11000,2000,7.19E+326,2000,7.67E+268,60,3.26E+02
11100,100,7.19E+328,100,7.67E+270,12,3.28E+02
11200,125,8.98E+330,125,9.58E+272,12,3.30E+02
11300,250,2.25E+332,250,2.40E+275,12,3.32E+02
11400,175,3.93E+335,175,4.19E+277,12,3.35E+02
11500,1000,3.93E+338,1000,4.19E+280,12,3.38E+02
11600,225,8.84E+340,225,9.43E+282,12,3.40E+02
11700,250,2.21E+342,250,2.36E+285,12,3.42E+02
11800,500,1.11E+345,500,1.18E+288,12,3.45E+02
11900,750,8.29E+348,750,8.84E+290,12,3.48E+02
12000,2000,1.66E+351,2000,1.77E+294,60,3.51E+02
12100,100,1.66E+353,100,1.77E+296,12,3.53E+02
12200,125,2.07E+355,125,2.21E+298,12,3.55E+02
12300,250,5.18E+358,250,5.53E+300,12,3.58E+02
12400,175,9.07E+360,175,9.67E+302,12,3.60E+02
12500,1000,9.07E+363,1000,9.67E+305,12,3.63E+02
