HolidayEventGlobalRaidSoloContributionRewardIndex,GlobalRaidDamageRequired,RewardString,RaidCard,Shards
81,95000000,"RaidCard:410,EquipmentShards:164",410,164
82,97500000,"RaidCard:415,EquipmentShards:166",415,166
83,100000000,"RaidCard:420,EquipmentShards:168",420,168
84,102500000,"RaidCard:425,EquipmentShards:170",425,170
85,105000000,"RaidCard:430,EquipmentShards:172",430,172
86,107500000,"RaidCard:435,EquipmentShards:174",435,174
87,110000000,"RaidCard:440,EquipmentShards:176",440,176
88,112500000,"RaidCard:445,EquipmentShards:178",445,178
89,115000000,"RaidCard:450,EquipmentShards:180",450,180
90,117500000,"RaidCard:455,EquipmentShards:182",455,182
91,120000000,"RaidCard:460,EquipmentShards:184",460,184
92,122500000,"RaidCard:465,EquipmentShards:186",465,186
93,125000000,"RaidCard:470,EquipmentShards:188",470,188
94,127500000,"RaidCard:475,EquipmentShards:190",475,190
95,130000000,"RaidCard:480,EquipmentShards:192",480,192
96,132500000,"RaidCard:485,EquipmentShards:194",485,194
97,135000000,"RaidCard:490,EquipmentShards:196",490,196
98,137500000,"RaidCard:495,EquipmentShards:198",495,198
99,140000000,"RaidCard:500,EquipmentShards:200",500,200
100,142500000,"RaidCard:505,EquipmentShards:202",505,202
