PlayerLevel,ExperienceCost,DecksAvailable,SkillsPerDeck,ShopTier,PlayerRaidProgressionBundle
445,313533,24,3,6,
446,314542,24,3,6,
447,315552,24,3,6,
448,316563,24,3,6,
449,317575,24,3,6,
450,318588,24,3,6,
451,319602,24,3,6,
452,320617,24,3,6,
453,321633,24,3,6,
454,322650,24,3,6,
455,323668,24,3,6,
456,324687,24,3,6,
457,325707,24,3,6,
458,326728,24,3,6,
459,327750,24,3,6,
460,328773,24,3,6,
461,329797,24,3,6,
462,330822,24,3,6,
463,331848,24,3,6,
464,332875,24,3,6,
465,333903,24,3,6,
466,334932,24,3,6,
467,335962,24,3,6,
468,336993,24,3,6,
469,338025,24,3,6,
470,339058,24,3,6,
471,340092,24,3,6,
472,341127,24,3,6,
473,342163,24,3,6,
474,343200,24,3,6,
475,344238,24,3,6,
476,345277,24,3,6,
477,346317,24,3,6,
478,347358,24,3,6,
479,348400,24,3,6,
480,349443,24,3,6,
481,350487,24,3,6,
482,351532,24,3,6,
483,352578,24,3,6,
484,353625,24,3,6,
485,354673,24,3,6,
486,355722,24,3,6,
487,356772,24,3,6,
488,357823,24,3,6,
489,358875,24,3,6,
490,359928,24,3,6,
491,360982,24,3,6,
492,362037,24,3,6,
493,363093,24,3,6,
494,364149,24,3,6,
495,365206,24,3,6,
496,366264,24,3,6,
497,367323,24,3,6,
498,368383,24,3,6,
499,369444,24,3,6,
500,370506,24,3,6,RaidProgressionBundle7
501,372072,24,3,6,
502,373641,24,3,6,
503,375214,24,3,6,
504,376790,24,3,6,
505,378369,24,3,6,
506,379951,24,3,6,
507,381537,24,3,6,
508,383127,24,3,6,
509,384720,24,3,6,
510,386316,24,3,6,
511,387915,24,3,6,
512,389518,24,3,6,
513,391125,24,3,6,
514,392735,24,3,6,
515,394348,24,3,6,
516,395965,24,3,6,
517,397585,24,3,6,
518,399208,24,3,6,
519,400836,24,3,6,
520,402467,24,3,6,
521,404101,24,3,6,
522,405738,24,3,6,
523,407379,24,3,6,
524,409023,24,3,6,
525,410670,24,3,6,
526,412321,24,3,6,
527,413976,24,3,6,
528,415634,24,3,6,
529,417295,24,3,6,
530,418959,24,3,6,
531,420627,24,3,6,
532,422299,24,3,6,
533,423974,24,3,6,
534,425653,24,3,6,
535,427335,24,3,6,
536,429020,24,3,6,
537,430708,24,3,6,
538,432401,24,3,6,
539,434097,24,3,6,
540,435796,24,3,6,
541,437498,24,3,6,
542,439204,24,3,6,
543,440913,24,3,6,
544,442626,24,3,6,
545,444343,24,3,6,
546,446063,24,3,6,
547,447786,24,3,6,
548,449512,24,3,6,
549,451242,24,3,6,
550,452976,24,3,6,
551,454713,24,3,6,
552,456454,24,3,6,
553,458198,24,3,6,
554,459945,24,3,6,
555,461696,24,3,6,
556,463451,24,3,6,
557,465209,24,3,6,
558,466970,24,3,6,
559,468735,24,3,6,
560,470503,24,3,6,
561,472274,24,3,6,
562,474050,24,3,6,
563,475829,24,3,6,
564,477611,24,3,6,
565,479397,24,3,6,
566,481186,24,3,6,
567,482978,24,3,6,
568,484774,24,3,6,
569,486574,24,3,6,
570,488377,24,3,6,
571,490183,24,3,6,
572,491993,24,3,6,
573,493806,24,3,6,
574,495623,24,3,6,
575,497444,24,3,6,
576,499268,24,3,6,
577,501095,24,3,6,
578,502926,24,3,6,
579,504760,24,3,6,
580,506598,24,3,6,
581,508440,24,3,6,
582,510285,24,3,6,
583,512133,24,3,6,
584,513984,24,3,6,
585,515839,24,3,6,
586,517698,24,3,6,
587,519560,24,3,6,
588,521426,24,3,6,
589,523295,24,3,6,
590,525167,24,3,6,
591,527043,24,3,6,
592,528923,24,3,6,
593,530806,24,3,6,
594,532693,24,3,6,
595,534583,24,3,6,
596,536476,24,3,6,
597,538373,24,3,6,
598,540274,24,3,6,
599,542178,24,3,6,
600,544086,24,3,6,RaidProgressionBundle8
601,545997,24,3,6,
602,547911,24,3,6,
603,549829,24,3,6,
604,551751,24,3,6,
605,553676,24,3,6,
606,555605,24,3,6,
607,557537,24,3,6,
608,559472,24,3,6,
609,561411,24,3,6,
610,563354,24,3,6,
611,565301,24,3,6,
612,567251,24,3,6,
613,569204,24,3,6,
614,571161,24,3,6,
615,573121,24,3,6,
616,575085,24,3,6,
617,577053,24,3,6,
618,579024,24,3,6,
619,580998,24,3,6,
620,582976,24,3,6,
621,584957,24,3,6,
622,586942,24,3,6,
623,588931,24,3,6,
624,590923,24,3,6,
625,592918,24,3,6,
626,594917,24,3,6,
627,596919,24,3,6,
628,598926,24,3,6,
629,600936,24,3,6,
630,602949,24,3,6,
631,604966,24,3,6,
632,606986,24,3,6,
633,609009,24,3,6,
634,611037,24,3,6,
635,613068,24,3,6,
636,615103,24,3,6,
637,617141,24,3,6,
638,619182,24,3,6,
639,621227,24,3,6,
640,623276,24,3,6,
641,625328,24,3,6,
642,627384,24,3,6,
643,629443,24,3,6,
644,631506,24,3,6,
645,633572,24,3,6,
646,635642,24,3,6,
647,637716,24,3,6,
648,639793,24,3,6,
649,641873,24,3,6,
650,643957,24,3,6,
651,646044,24,3,6,
652,648136,24,3,6,
653,650231,24,3,6,
654,652329,24,3,6,
655,654431,24,3,6,
656,656536,24,3,6,
657,658644,24,3,6,
658,660757,24,3,6,
659,662873,24,3,6,
660,664993,24,3,6,
661,667116,24,3,6,
662,669242,24,3,6,
663,671372,24,3,6,
664,673506,24,3,6,
665,675644,24,3,6,
666,677785,24,3,6,
667,679929,24,3,6,
668,682077,24,3,6,
669,684228,24,3,6,
670,686384,24,3,6,
671,688543,24,3,6,
672,690705,24,3,6,
673,692871,24,3,6,
674,695040,24,3,6,
675,697214,24,3,6,
676,699391,24,3,6,
677,701571,24,3,6,
678,703755,24,3,6,
679,705942,24,3,6,
680,708133,24,3,6,
681,710328,24,3,6,
682,712526,24,3,6,
683,714728,24,3,6,
684,716933,24,3,6,
685,719142,24,3,6,
686,721354,24,3,6,
687,723571,24,3,6,
688,725791,24,3,6,
689,728014,24,3,6,
690,730241,24,3,6,
691,732471,24,3,6,
692,734705,24,3,6,
693,736943,24,3,6,
694,739184,24,3,6,
695,741429,24,3,6,
696,743677,24,3,6,
697,745929,24,3,6,
698,748184,24,3,6,
699,750444,24,3,6,
700,752707,24,3,6,
701,754973,24,3,6,
702,757243,24,3,6,
703,759516,24,3,6,
704,761793,24,3,6,
705,764074,24,3,6,
706,766359,24,3,6,
707,768647,24,3,6,
708,770938,24,3,6,
709,773233,24,3,6,
710,775531,24,3,6,
711,777834,24,3,6,
712,780140,24,3,6,
713,782450,24,3,6,
714,784763,24,3,6,
715,787079,24,3,6,
716,789400,24,3,6,
717,791724,24,3,6,
718,794052,24,3,6,
719,796383,24,3,6,
720,798718,24,3,6,
721,801056,24,3,6,
722,803398,24,3,6,
723,805744,24,3,6,
724,808093,24,3,6,
725,810446,24,3,6,
726,812802,24,3,6,
727,815162,24,3,6,
728,817526,24,3,6,
729,819894,24,3,6,
730,822265,24,3,6,
731,824639,24,3,6,
732,827017,24,3,6,
733,829398,24,3,6,
734,831784,24,3,6,
735,834173,24,3,6,
736,836566,24,3,6,
737,838962,24,3,6,
738,841362,24,3,6,
739,843765,24,3,6,
740,846173,24,3,6,
741,848584,24,3,6,
742,850998,24,3,6,
743,853416,24,3,6,
744,855837,24,3,6,
745,858263,24,3,6,
746,860692,24,3,6,
747,863125,24,3,6,
748,865561,24,3,6,
749,868001,24,3,6,
750,870444,24,3,6,
751,872892,24,3,6,
752,875343,24,3,6,
753,877798,24,3,6,
754,880256,24,3,6,
755,882717,24,3,6,
756,885182,24,3,6,
757,887651,24,3,6,
758,890124,24,3,6,
759,892600,24,3,6,
760,895080,24,3,6,
761,897563,24,3,6,
762,900050,24,3,6,
763,902541,24,3,6,
764,905036,24,3,6,
765,907534,24,3,6,
766,910036,24,3,6,
767,912541,24,3,6,
768,915051,24,3,6,
769,917564,24,3,6,
770,920081,24,3,6,
771,922601,24,3,6,
772,925124,24,3,6,
773,927651,24,3,6,
774,930182,24,3,6,
775,932717,24,3,6,
776,935255,24,3,6,
777,937797,24,3,6,
778,940342,24,3,6,
779,942891,24,3,6,
780,945444,24,3,6,
781,948001,24,3,6,
782,950561,24,3,6,
783,953125,24,3,6,
784,955692,24,3,6,
785,958263,24,3,6,
786,960838,24,3,6,
787,963417,24,3,6,
788,965999,24,3,6,
789,968585,24,3,6,
790,971174,24,3,6,
791,973768,24,3,6,
792,976365,24,3,6,
793,978966,24,3,6,
794,981570,24,3,6,
795,984178,24,3,6,
796,986789,24,3,6,
797,989405,24,3,6,
798,992024,24,3,6,
799,994647,24,3,6,
800,997273,24,3,6,
801,999900,24,3,6,
802,1002528,24,3,6,
803,1005157,24,3,6,
804,1007787,24,3,6,
805,1010418,24,3,6,
806,1013050,24,3,6,
807,1015683,24,3,6,
808,1018317,24,3,6,
809,1020952,24,3,6,
810,1023588,24,3,6,
811,1026225,24,3,6,
812,1028863,24,3,6,
813,1031502,24,3,6,
814,1034142,24,3,6,
815,1036783,24,3,6,
816,1039425,24,3,6,
817,1042068,24,3,6,
818,1044712,24,3,6,
819,1047357,24,3,6,
820,1050003,24,3,6,
821,1052650,24,3,6,
822,1055298,24,3,6,
823,1057947,24,3,6,
824,1060597,24,3,6,
825,1063248,24,3,6,
826,1065900,24,3,6,
827,1068553,24,3,6,
828,1071207,24,3,6,
829,1073862,24,3,6,
830,1076518,24,3,6,
831,1079175,24,3,6,
832,1081833,24,3,6,
833,1084492,24,3,6,
834,1087152,24,3,6,
835,1089813,24,3,6,
836,1092475,24,3,6,
837,1095138,24,3,6,
838,1097802,24,3,6,
839,1100467,24,3,6,
840,1103133,24,3,6,
841,1105800,24,3,6,
842,1108468,24,3,6,
843,1111137,24,3,6,
844,1113807,24,3,6,
845,1116478,24,3,6,
846,1119150,24,3,6,
847,1121823,24,3,6,
848,1124497,24,3,6,
849,1127172,24,3,6,
850,1129848,24,3,6,
851,1132525,24,3,6,
852,1135203,24,3,6,
853,1137882,24,3,6,
854,1140562,24,3,6,
855,1143243,24,3,6,
856,1145925,24,3,6,
857,1148608,24,3,6,
858,1151292,24,3,6,
859,1153977,24,3,6,
860,1156663,24,3,6,
861,1159350,24,3,6,
862,1162038,24,3,6,
863,1164727,24,3,6,
864,1167417,24,3,6,
865,1170108,24,3,6,
866,1172800,24,3,6,
867,1175493,24,3,6,
868,1178187,24,3,6,
869,1180882,24,3,6,
870,1183578,24,3,6,
871,1186275,24,3,6,
872,1188973,24,3,6,
873,1191672,24,3,6,
874,1194372,24,3,6,
875,1197073,24,3,6,
876,1199775,24,3,6,
877,1202478,24,3,6,
878,1205182,24,3,6,
879,1207887,24,3,6,
880,1210593,24,3,6,
881,1213300,24,3,6,
882,1216008,24,3,6,
883,1218717,24,3,6,
884,1221427,24,3,6,
885,1224138,24,3,6,
886,1226850,24,3,6,
887,1229563,24,3,6,
888,1232277,24,3,6,
889,1234992,24,3,6,
890,1237708,24,3,6,
891,1240425,24,3,6,
892,1243143,24,3,6,
893,1245862,24,3,6,
894,1248582,24,3,6,
895,1251303,24,3,6,
896,1254025,24,3,6,
897,1256748,24,3,6,
898,1259472,24,3,6,
899,1262197,24,3,6,
900,1264923,24,3,6,
901,1267650,24,3,6,
902,1270378,24,3,6,
903,1273107,24,3,6,
904,1275837,24,3,6,
905,1278568,24,3,6,
906,1281300,24,3,6,
907,1284033,24,3,6,
908,1286767,24,3,6,
909,1289502,24,3,6,
910,1292238,24,3,6,
911,1294975,24,3,6,
912,1297713,24,3,6,
913,1300452,24,3,6,
914,1303192,24,3,6,
915,1305933,24,3,6,
916,1308675,24,3,6,
917,1311418,24,3,6,
918,1314162,24,3,6,
919,1316907,24,3,6,
920,1319653,24,3,6,
921,1322400,24,3,6,
922,1325148,24,3,6,
923,1327897,24,3,6,
924,1330647,24,3,6,
925,1333398,24,3,6,
926,1336150,24,3,6,
927,1338903,24,3,6,
928,1341657,24,3,6,
929,1344412,24,3,6,
930,1347168,24,3,6,
931,1349925,24,3,6,
932,1352683,24,3,6,
933,1355442,24,3,6,
934,1358202,24,3,6,
935,1360963,24,3,6,
936,1363725,24,3,6,
937,1366488,24,3,6,
938,1369252,24,3,6,
939,1372017,24,3,6,
940,1374783,24,3,6,
941,1377550,24,3,6,
942,1380318,24,3,6,
943,1383087,24,3,6,
944,1385857,24,3,6,
945,1388628,24,3,6,
946,1391400,24,3,6,
947,1394173,24,3,6,
948,1396947,24,3,6,
949,1399722,24,3,6,
950,1402498,24,3,6,
951,1405275,24,3,6,
952,1408053,24,3,6,
953,1410832,24,3,6,
954,1413612,24,3,6,
955,1416393,24,3,6,
956,1419175,24,3,6,
957,1421958,24,3,6,
958,1424742,24,3,6,
959,1427527,24,3,6,
960,1430313,24,3,6,
961,1433100,24,3,6,
962,1435888,24,3,6,
963,1438677,24,3,6,
964,1441467,24,3,6,
965,1444258,24,3,6,
966,1447050,24,3,6,
967,1449843,24,3,6,
968,1452637,24,3,6,
969,1455432,24,3,6,
970,1458228,24,3,6,
971,1461025,24,3,6,
972,1463823,24,3,6,
973,1466622,24,3,6,
974,1469422,24,3,6,
975,1472223,24,3,6,
976,1475025,24,3,6,
977,1477828,24,3,6,
978,1480632,24,3,6,
979,1483437,24,3,6,
980,1486243,24,3,6,
981,1489050,24,3,6,
982,1491858,24,3,6,
983,1494667,24,3,6,
984,1497477,24,3,6,
985,1500288,24,3,6,
986,1503100,24,3,6,
987,1505913,24,3,6,
988,1508727,24,3,6,
989,1511542,24,3,6,
990,1514358,24,3,6,
991,1517175,24,3,6,
992,1519993,24,3,6,
993,1522812,24,3,6,
994,1525632,24,3,6,
995,1528453,24,3,6,
996,1531275,24,3,6,
997,1534098,24,3,6,
998,1536922,24,3,6,
999,1539747,24,3,6,
1000,1542573,24,3,6,
1001,1545400,24,3,6,
1002,1548228,24,3,6,
1003,1551057,24,3,6,
1004,1553887,24,3,6,
1005,1556718,24,3,6,
1006,1559550,24,3,6,
1007,1562383,24,3,6,
1008,1565217,24,3,6,
1009,1568052,24,3,6,
1010,1570888,24,3,6,
1011,1573725,24,3,6,
1012,1576563,24,3,6,
1013,1579402,24,3,6,
1014,1582242,24,3,6,
1015,1585083,24,3,6,
1016,1587925,24,3,6,
1017,1590768,24,3,6,
1018,1593612,24,3,6,
1019,1596457,24,3,6,
1020,1599303,24,3,6,
1021,1602150,24,3,6,
1022,1604998,24,3,6,
1023,1607847,24,3,6,
1024,1610697,24,3,6,
1025,1613548,24,3,6,
1026,1616400,24,3,6,
1027,1619253,24,3,6,
1028,1622107,24,3,6,
1029,1624962,24,3,6,
1030,1627818,24,3,6,
1031,1630675,24,3,6,
1032,1633533,24,3,6,
1033,1636392,24,3,6,
1034,1639252,24,3,6,
1035,1642113,24,3,6,
1036,1644975,24,3,6,
1037,1647838,24,3,6,
1038,1650702,24,3,6,
1039,1653567,24,3,6,
1040,1656433,24,3,6,
1041,1659300,24,3,6,
1042,1662168,24,3,6,
1043,1665037,24,3,6,
1044,1667907,24,3,6,
1045,1670778,24,3,6,
1046,1673650,24,3,6,
1047,1676523,24,3,6,
1048,1679397,24,3,6,
1049,1682272,24,3,6,
1050,1685148,24,3,6,
1051,1688025,24,3,6,
1052,1690903,24,3,6,
1053,1693782,24,3,6,
1054,1696662,24,3,6,
1055,1699543,24,3,6,
1056,1702425,24,3,6,
1057,1705308,24,3,6,
1058,1708192,24,3,6,
1059,1711077,24,3,6,
1060,1713963,24,3,6,
1061,1716850,24,3,6,
1062,1719738,24,3,6,
1063,1722627,24,3,6,
1064,1725517,24,3,6,
1065,1728408,24,3,6,
1066,1731300,24,3,6,
1067,1734193,24,3,6,
1068,1737087,24,3,6,
1069,1739982,24,3,6,
1070,1742878,24,3,6,
1071,1745775,24,3,6,
1072,1748673,24,3,6,
1073,1751572,24,3,6,
1074,1754472,24,3,6,
1075,1757373,24,3,6,
1076,1760275,24,3,6,
1077,1763178,24,3,6,
1078,1766082,24,3,6,
1079,1768987,24,3,6,
1080,1771893,24,3,6,
1081,1774800,24,3,6,
1082,1777708,24,3,6,
1083,1780617,24,3,6,
1084,1783527,24,3,6,
1085,1786438,24,3,6,
1086,1789350,24,3,6,
1087,1792263,24,3,6,
1088,1795177,24,3,6,
1089,1798092,24,3,6,
1090,1801008,24,3,6,
1091,1803925,24,3,6,
1092,1806843,24,3,6,
1093,1809762,24,3,6,
1094,1812682,24,3,6,
1095,1815603,24,3,6,
1096,1818525,24,3,6,
1097,1821448,24,3,6,
1098,1824372,24,3,6,
1099,1827297,24,3,6,
1100,1830223,24,3,6,
1101,1833150,24,3,6,
1102,1836078,24,3,6,
1103,1839007,24,3,6,
1104,1841937,24,3,6,
1105,1844868,24,3,6,
1106,1847800,24,3,6,
1107,1850733,24,3,6,
1108,1853667,24,3,6,
1109,1856602,24,3,6,
1110,1859538,24,3,6,
1111,1862475,24,3,6,
1112,1865413,24,3,6,
1113,1868352,24,3,6,
1114,1871292,24,3,6,
