AllDamage,0.001,1,2E-4,1.6,1.001,1.001,1.046,1.130,1.380,2.186,3.422,5.138,7.386,15.621,28.082,52.064,67.685,95.673,129.611,169.826,216.624
TitanDamage,0.001,1,2E-4,2.4,1.001,1.001,1.069,1.200,1.621,3.230,6.327,11.644,20.068,61.737,148.805,375.660,556.840,935.794,1475.557,2213.104,3188.281
FlyingHelperDamage,0.001,1,2E-4,2,1.001,1.001,1.057,1.165,1.496,2.657,4.653,7.735,12.174,31.055,64.643,139.851,194.138,299.216,437.318,613.059,831.057
GroundHelperDamage,0.001,1,2E-4,2,1.001,1.001,1.057,1.165,1.496,2.657,4.653,7.735,12.174,31.055,64.643,139.851,194.138,299.216,437.318,613.059,831.057
BossDamage,0.001,1,2E-4,1.4,1.001,1.001,1.040,1.113,1.326,1.982,2.934,4.188,5.753,11.080,18.509,31.767,39.966,54.100,70.561,89.383,110.597
CritDamage,0.001,1,2E-4,1.6,1.0013,1.0010,1.0459,1.1299,1.3803,2.1856,3.4215,5.1381,7.3856,15.6215,28.0818,52.0640,67.6851,95.6734,129.6106,169.8258,216.6239
PetDamage,0.001,1,2E-4,1.8,1.0014,1.0010,1.0516,1.1471,1.4369,2.4097,3.9899,6.3042,9.4822,22.0255,42.6060,85.3297,114.6308,169.1950,238.0776,322.6655,424.2954
UltraDaggerDamage,0.001,1,2E-4,1.8,1.0014,1.0010,1.0516,1.1471,1.4369,2.4097,3.9899,6.3042,9.4822,22.0255,42.6060,85.3297,114.6308,169.1950,238.0776,322.6655,424.2954
GoldGunDamage,0.001,1,2E-4,1.8,1.0014,1.0010,1.0516,1.1471,1.4369,2.4097,3.9899,6.3042,9.4822,22.0255,42.6060,85.3297,114.6308,169.1950,238.0776,322.6655,424.2954
ClanShipDamage,0.001,1,2E-4,1.8,1.0014,1.0010,1.0516,1.1471,1.4369,2.4097,3.9899,6.3042,9.4822,22.0255,42.6060,85.3297,114.6308,169.1950,238.0776,322.6655,424.2954
JackpotGold,0.001,1,2E-4,1.9,1.001,1.001,1.055,1.156,1.466,2.530,4.309,6.983,10.744,26.153,52.480,109.240,149.178,225.002,322.670,444.762,593.813
PetGoldQTEAmount,0.001,1,2E-4,2.2,1.001,1.001,1.063,1.182,1.557,2.929,5.426,9.490,15.631,43.786,98.077,229.208,328.791,529.154,803.298,1164.801,1627.772
MultiMonstersGold,0.001,1,2E-4,2,1.001,1.001,1.057,1.165,1.496,2.657,4.653,7.735,12.174,31.055,64.643,139.851,194.138,299.216,437.318,613.059,831.057
FairyGold,0.001,1,2E-4,2.2,1.001,1.001,1.063,1.182,1.557,2.929,5.426,9.490,15.631,43.786,98.077,229.208,328.791,529.154,803.298,1164.801,1627.772
HandOfMidasSkillAmount,0.001,1,2E-4,1.8,1.001,1.001,1.052,1.147,1.437,2.410,3.990,6.304,9.482,22.026,42.606,85.330,114.631,169.195,238.078,322.665,424.295
GoldSpecialty,0.001,1,2E-4,2,1.0014,1.0010,1.0574,1.1646,1.4958,2.6568,4.6527,7.7349,12.1742,31.0550,64.6426,139.8505,194.1380,299.2159,437.3181,613.0586,831.0571
ChestChance,0,0,3E-6,0.4,0.0062,0.0000,0.0445,0.0674,0.1022,0.1549,0.1976,0.2348,0.2684,0.3424,0.4069,0.4833,0.5189,0.5692,0.6167,0.6619,0.7051
FairySpawnChance,0,0,1E-4,0.6,0.0040,0.0000,0.0769,0.1435,0.2679,0.4999,0.7200,0.9328,1.1402,1.6424,2.1278,2.7546,3.0648,3.5209,3.9706,4.4146,4.8537
ChestGoldx10Chance,0,0,2E-6,0.4,0.0053,0.0000,0.0378,0.0573,0.0869,0.1317,0.1680,0.1996,0.2283,0.2911,0.3460,0.4109,0.4412,0.4840,0.5244,0.5628,0.5995
BossGoldx10Chance,0,0,2E-6,0.4,0.0053,0.0000,0.0378,0.0573,0.0869,0.1317,0.1680,0.1996,0.2283,0.2911,0.3460,0.4109,0.4412,0.4840,0.5244,0.5628,0.5995
ManaMonsterSpawnChance,0,0,2E-7,0.4,0.0021,0.0000,0.0151,0.0228,0.0346,0.0524,0.0669,0.0795,0.0909,0.1159,0.1377,0.1636,0.1757,0.1927,0.2088,0.2240,0.2387
JackpotGoldChance,0,0,3E-6,0.4,0.0062,0.0000,0.0445,0.0674,0.1022,0.1549,0.1976,0.2348,0.2684,0.3424,0.4069,0.4833,0.5189,0.5692,0.6167,0.6619,0.7051
TitanSkip,1,1,1E+0,0,2.0000,2.0000,2.0000,2.0000,2.0000,2.0000,2.0000,2.0000,2.0000,2.0000,2.0000,2.0000,2.0000,2.0000,2.0000,2.0000,2.0000
StageSkip,1,1,1E+0,0,2.0000,2.0000,2.0000,2.0000,2.0000,2.0000,2.0000,2.0000,2.0000,2.0000,2.0000,2.0000,2.0000,2.0000,2.0000,2.0000,2.0000
AllManaGained,1,0,1E-5,0.4,1.0100,1.0000,1.0720,1.1091,1.1654,1.2507,1.3198,1.3801,1.4345,1.5542,1.6586,1.7823,1.8400,1.9214,1.9982,2.0713,2.1413
CritChance,0,0,3E-6,0.4,0.0062,0.0000,0.0445,0.0674,0.1022,0.1549,0.1976,0.2348,0.2684,0.3424,0.4069,0.4833,0.5189,0.5692,0.6167,0.6619,0.7051
DeadlyChance,0,0,1E-6,0.4,0.0040,0.0000,0.0287,0.0435,0.0659,0.0998,0.1273,0.1513,0.1730,0.2206,0.2622,0.3114,0.3344,0.3668,0.3974,0.4265,0.4543
MultiMonsters,0,0,3E-6,0.4,0.0062,0.0000,0.0445,0.0674,0.1022,0.1549,0.1976,0.2348,0.2684,0.3424,0.4069,0.4833,0.5189,0.5692,0.6167,0.6619,0.7051
AllProbabilityBoost,1,0,1E-8,0.3,1.0040,1.0000,1.0175,1.0239,1.0327,1.0446,1.0535,1.0609,1.0674,1.0809,1.0920,1.1047,1.1105,1.1184,1.1257,1.1326,1.1390
StageSkipMonsterSpawnChance,0,0,1E-9,0.3,0.0020,0.0000,0.0088,0.0120,0.0164,0.0224,0.0268,0.0305,0.0338,0.0405,0.0461,0.0525,0.0554,0.0593,0.0630,0.0664,0.0697
MegaBombSpawnChance,0,0,1E-9,0.3,0.0020,0.0000,0.0088,0.0120,0.0164,0.0224,0.0268,0.0305,0.0338,0.0405,0.0461,0.0525,0.0554,0.0593,0.0630,0.0664,0.0697
KratosMonsterSpawnChance,0,0,1E-9,0.3,0.0020,0.0000,0.0088,0.0120,0.0164,0.0224,0.0268,0.0305,0.0338,0.0405,0.0461,0.0525,0.0554,0.0593,0.0630,0.0664,0.0697
HaystMonsterSpawnChance,0,0,1E-9,0.26,0.0046,0.0000,0.0165,0.0216,0.0283,0.0371,0.0435,0.0486,0.0531,0.0621,0.0695,0.0777,0.0814,0.0865,0.0911,0.0954,0.0994
AllActiveSkillCooldownRate,0,0,1E-9,0.35,0.0007,0.0000,0.0040,0.0057,0.0082,0.0119,0.0147,0.0171,0.0192,0.0238,0.0276,0.0321,0.0342,0.0371,0.0397,0.0423,0.0447
CompanionQTECooldownMult,-0.05,1,1E+0,0,0.9500,0.9500,0.9500,0.9500,0.9500,0.9500,0.9500,0.9500,0.9500,0.9500,0.9500,0.9500,0.9500,0.9500,0.9500,0.9500,0.9500
AnyContractBonusBoost,0.001,1,2E-4,2.6,1.0015,1.0010,1.0750,1.2187,1.6874,3.5611,7.3784,14.2873,25.7659,87.0479,225.7707,615.6871,943.0643,1654.9252,2710.4132,4204.8622,6244.8140
GoldAll,0.001,1,2E-4,1.9,1.0014,1.0010,1.0545,1.1558,1.4661,2.5303,4.3086,6.9830,10.7442,26.1534,52.4801,109.2401,149.1784,225.0018,322.6695,444.7615,593.8128
CompanionAttackRate,0.25,1,1E+0,0,1.2500,1.2500,1.2500,1.2500,1.2500,1.2500,1.2500,1.2500,1.2500,1.2500,1.2500,1.2500,1.2500,1.2500,1.2500,1.2500,1.2500
HelperQTECount,0,1,1E+0,0,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
ForbiddenContractBonusDamage,0.001,1,2E-4,2.6,1.0015,1.0010,1.0750,1.2187,1.6874,3.5611,7.3784,14.2873,25.7659,87.0479,225.7707,615.6871,943.0643,1654.9252,2710.4132,4204.8622,6244.8140
LegacyPetGoldEffect,0.001,1,2E-4,0.88,1.0025,1.0022,1.0557,1.1571,1.4673,2.5313,4.3082,6.9792,10.7342,26.1087,52.3605,108.9287,148.7181,224.2392,321.4913,443.0352,591.3862
UnskilledGold,0.001,1,2E-4,0.9,1.0012,1.0010,1.0260,1.0716,1.1993,1.5530,1.9982,2.5116,3.0802,4.6940,6.5283,9.2384,10.7075,13.0085,15.4307,17.9639,20.5994
AllGoldDuringHayst,0.001,1,2E-4,2,1.0014,1.0010,1.0574,1.1646,1.4958,2.6568,4.6527,7.7349,12.1742,31.0550,64.6426,139.8505,194.1380,299.2159,437.3181,613.0586,831.0571
TwilightFairyStageSkip,3,1,1E+0,0,4.0000,4.0000,4.0000,4.0000,4.0000,4.0000,4.0000,4.0000,4.0000,4.0000,4.0000,4.0000,4.0000,4.0000,4.0000,4.0000,4.0000
DeadlyDamageCompanion,0.001,1,2E-4,3,1.0016,1.0010,1.0868,1.2562,1.8286,4.3292,10.0338,21.5090,42.4736,173.0531,519.7195,1653.8338,2704.9714,5175.7681,9145.2308,15179.3072,23957.7219
TapBoostSkillDuration,60,1,1E+0,0,61.0000,61.0000,61.0000,61.0000,61.0000,61.0000,61.0000,61.0000,61.0000,61.0000,61.0000,61.0000,61.0000,61.0000,61.0000,61.0000,61.0000
HelperBoostCompanionAttackRate,0.25,1,1E+0,0,1.2500,1.2500,1.2500,1.2500,1.2500,1.2500,1.2500,1.2500,1.2500,1.2500,1.2500,1.2500,1.2500,1.2500,1.2500,1.2500,1.2500
AllActiveSkillAmount,0.001,1,2E-4,1.002,1.0012,1.0010,1.0289,1.0799,1.2241,1.6323,2.1611,2.7877,3.4987,5.5928,8.0746,11.8854,14.0079,17.3977,21.0407,24.9204,29.0235
DoomBonusDamage,0.001,1,2E-4,1.9,1.0014,1.0010,1.0545,1.1558,1.4661,2.5303,4.3086,6.9830,10.7442,26.1534,52.4801,109.2401,149.1784,225.0018,322.6695,444.7615,593.8128
