ArtifactID,Name,IsActive,CategoryID,BonusType,MaxLevel,EffectPerLevel,GrowthExpo,DamageBonus,DamageExpo,CostCoef,CostExpo,BonusIcon,EnchantmentMagnitude,EnchantmentMult,L40
SeasonalArtifact22,Freemana's Hot Springs,FALSE,Viper,AllDamagePerSeasonDay,40,1.25E+00,5.435,1.00E+20,0.55,1.09,1.042,Dmg,1.00E+00,1.00E+00,21.84
SeasonalArtifact23,King Cobra Statue,TRUE,Viper,GoldPerMythicSet,40,40.00,30.637,1.00E+20,0.55,1.09,1.042,Dmg,1.00E+00,1.00E+00,124.15
SeasonalArtifact24,Twin Viper Rivers,TRUE,Viper,AuraBoost,0,2.00E+01,104.764,1.00E+14,0.53,8.00,2.260,Gold,1.00E+20,1.00E+20,420.36
SeasonalArtifact25,Nightcrag Market,TRUE,Viper,TwilightBoostPerSeasonFairy,0,2.80,76.686,1.00E+14,0.53,8.00,2.260,Dmg,1.00E+01,1.00E+01,307.19
SeasonalArtifact26,Valley of Blades,TRUE,Viper,HelperWeaponBoost,40,1.34,0.954,1.00E+20,0.55,1.09,1.042,Boost,1.00E+00,1.00E+00,3.94
SeasonalArtifact6,Mound of Brothers' Meet,TRUE,Viper,DeadlyDamageCompanion,0,9.20,154.292,1.00E+14,0.53,8.00,2.260,Equip,1.00E+20,1.00E+20,618.13
SeasonalArtifact28,Portal of Shadows,TRUE,Viper,ShadowCloneAllSkillBoost,0,1.70,70.476,1.00E+14,0.53,8.00,2.260,Boost,2.78E+04,2.78E+04,282.13
SeasonalArtifact29,Ancient Origin of the Vipers,TRUE,Viper,CritDamagePerSeasonDay,40,1.10,3.879,1.00E+20,0.55,1.09,1.042,Equip,1.00E+00,1.00E+00,15.56
SeasonalArtifact30,Thieves' Guild,TRUE,Viper,DamagePerEquipmentSet,40,2.87,3.387,1.00E+20,0.55,1.09,1.042,Gold,1.00E+00,1.00E+00,14.01
SeasonalArtifact31,Hideout of Stratagem,TRUE,Viper,CannonDamagePerSeasonTitan,0,5.00,644.552,1.00E+14,0.53,8.00,2.260,Dmg,1.00E+01,1.00E+01,"2,578.91"
SeasonalArtifact32,Midnight Pass,TRUE,Viper,SwordAttackDamage,0,2.20E+01,151.290,1.00E+14,0.53,8.00,2.260,Dmg,4.64E+26,4.64E+26,606.50
SeasonalArtifact37,Envoy of Steel,TRUE,Viper,AllActiveSkillAmount,0,2.40E+01,22.487,1.00E+14,0.53,8.00,2.260,Dmg,2.78E+04,2.78E+04,91.33
SeasonalArtifact34,Temperance Training Ground,TRUE,Arcanas,AllDamagePerSeasonDay,0,1.20,1.298,1.00E+14,0.53,8.00,2.260,Dmg,1.00E+01,1.00E+01,5.27
SeasonalArtifact35,Nine Pentacle Garden,TRUE,Arcanas,BuildBoostHSDGGG,0,1.30,115.091,1.00E+14,0.53,8.00,2.260,Gold,1.00E+20,1.00E+20,460.48
SeasonalArtifact36,Emblem of Worlds,TRUE,Arcanas,GoldAll,0,1.30,202.148,1.00E+14,0.53,8.00,2.260,Gold,3.73E+28,3.73E+28,808.71
SeasonalArtifact27,Grand Air Chariot,TRUE,Arcanas,AllArtifactDamageEffect,0,1.0,0.757,1.00E+14,0.53,8.00,2.260,Equip,1.44E+00,1.44E+00,3.04
SeasonalArtifact38,Knight's Fountain of Cups,TRUE,Arcanas,ArmorBoost,0,24.00,213.473,1.00E+14,0.53,8.00,2.260,Dmg,3.73E+28,3.73E+28,855.27
SeasonalArtifact40,Queen of Swords' Throne,TRUE,Arcanas,SlashBoost,0,10.00,104.736,1.00E+14,0.53,8.00,2.260,Dmg,1.00E+20,1.00E+20,419.94
SeasonalArtifact42,Three Cup Mana Pool,TRUE,Arcanas,CompanionDamage,0,10.00,97.634,1.00E+14,0.53,8.00,2.260,Dmg,1.00E+20,1.00E+20,391.54
SeasonalArtifact43,Heirophant's Library,TRUE,Arcanas,TapDamage,0,1.07,297.336,1.00E+14,0.53,8.00,2.260,Equip,1.00E+20,1.00E+20,"1,189.37"
SeasonalArtifact41,Lost Cups Five,TRUE,Arcanas,BuildBoostDGPetCS,0,35.00,98.154,1.00E+14,0.53,8.00,2.260,Dmg,1.00E+20,1.00E+20,394.16
SeasonalArtifact17,Celestial's Thumb,TRUE,Arcanas,AllArtifactGoldEffect,0,1.20,9.734,1.00E+14,0.53,8.00,2.260,Gold,6.78E+01,6.78E+01,39.02
SeasonalArtifact18,Sword Master's Shrine,TRUE,Arcanas,UltraDaggerDamage,0,10.00,137.408,1.00E+14,0.53,8.00,2.260,Dmg,1.00E+20,1.00E+20,550.63
SeasonalArtifact45,Heartbloom Grove,TRUE,Celestial,TwilightBoost,0,10.0,129.011,1.00E+14,0.53,8.00,2.260,Dmg,1.00E+20,1.00E+20,517.04
SeasonalArtifact46,Titanroot Arch,TRUE,Celestial,KnightBonusBoost,0,1.0,63.029,1.00E+14,0.53,8.00,2.260,Dmg,4.64E+06,4.64E+06,252.12
SeasonalArtifact47,Cradle of the First Rain,TRUE,Celestial,BoostedSwordAttackDamage,0,3.2,59.730,1.00E+14,0.53,8.00,2.260,Boost,1.00E+10,1.00E+10,239.43
SeasonalArtifact48,The Stoneleaf Throne,TRUE,Celestial,TapDamagePerSeasonPrestige,0,50.0,108.522,1.00E+14,0.53,8.00,2.260,Dmg,1.00E+01,1.00E+01,435.79
SeasonalArtifact49,Canopy of Evergold,TRUE,Celestial,DamagePerEventSet,0,1.1,3.126,1.00E+14,0.53,8.00,2.260,Gold,3.16E+00,3.16E+00,12.53
SeasonalArtifact50,The Cortex Coil Spire,TRUE,Celestial,ActiveTapDamage,0,10.0,75.143,1.00E+14,0.53,8.00,2.260,Dmg,1.00E+20,1.00E+20,301.57
SeasonalArtifact51,The Glassbone Menagerie,TRUE,Celestial,GoldPerRunningActiveSkill,0,22.0,83.166,1.00E+14,0.53,8.00,2.260,Gold,1.39E+07,1.39E+07,334.01
SeasonalArtifact52,The Clocksout Engine,TRUE,Celestial,JackpotGoldPerSeasonDay,40,1.3,10.386,1.00E+20,0.55,1.09,1.042,Gold,1.00E+00,1.00E+00,41.66
SeasonalArtifact53,Isle of Broken Blueprints,TRUE,Celestial,ExoticPetDamageEffect,0,10.0,103.705,1.00E+14,0.53,8.00,2.260,Boost,4.64E+06,4.64E+06,415.82
SeasonalArtifact54,The Scarred Constellation,TRUE,Celestial,DamagePerSoloRaidWorld,40,11.2,9.110,1.00E+20,0.55,1.09,1.042,Dmg,1.00E+00,1.00E+00,37.49
SeasonalArtifact55,The Sorcerer's Peace,TRUE,Celestial,GoldSpecialty,0,35.0,136.991,1.00E+14,0.53,8.00,2.260,Dmg,3.73E+28,3.73E+28,549.51
