Level,Rarity0,Rarity1,Rarity2,Rarity3,Rarity4,Note,Rarity0_Chance,Rarity1_Chance,Rarity2_Chance,Rarity3_Chance,Rarity4_Chance,RESEARCHSHARD_EV,cost per
45,63302,21139,15557,0,0,,63.30%,21.14%,15.56%,0.00%,0.00%,1.83,
46,63086,21229,15683,0,0,,63.09%,21.23%,15.68%,0.00%,0.00%,1.84,
47,62870,21319,15810,0,0,,62.87%,21.32%,15.81%,0.00%,0.00%,1.85,
48,62653,21409,15936,0,0,,62.65%,21.41%,15.94%,0.00%,0.00%,1.85,
49,62437,21499,16062,0,0,,62.44%,21.50%,16.06%,0.00%,0.00%,1.86,
50,62221,21589,16188,0,0,,62.22%,21.59%,16.19%,0.00%,0.00%,1.86,
51,62005,21679,16315,0,0,,62.01%,21.68%,16.32%,0.00%,0.00%,1.87,
52,61788,21769,16441,0,0,,61.79%,21.77%,16.44%,0.00%,0.00%,1.88,
53,61572,21859,16567,0,0,,61.57%,21.86%,16.57%,0.00%,0.00%,1.88,
54,61356,21949,16693,0,0,,61.36%,21.95%,16.69%,0.00%,0.00%,1.89,
55,61140,22039,16820,0,0,,61.14%,22.04%,16.82%,0.00%,0.00%,1.89,
56,60923,22129,16946,0,0,,60.92%,22.13%,16.95%,0.00%,0.00%,1.90,
57,60707,22219,17072,0,0,,60.71%,22.22%,17.07%,0.00%,0.00%,1.91,
58,60491,22309,17198,0,0,,60.49%,22.31%,17.20%,0.00%,0.00%,1.91,
59,60275,22399,17325,0,0,,60.28%,22.40%,17.33%,0.00%,0.00%,1.92,
60,60058,22489,17451,0,0,,60.06%,22.49%,17.45%,0.00%,0.00%,1.92,
61,59842,22579,17577,0,0,,59.84%,22.58%,17.58%,0.00%,0.00%,1.93,
62,59626,22669,17703,0,0,,59.63%,22.67%,17.70%,0.00%,0.00%,1.93,
63,59410,22759,17830,0,0,,59.41%,22.76%,17.83%,0.00%,0.00%,1.94,
64,59193,22849,17956,0,0,,59.19%,22.85%,17.96%,0.00%,0.00%,1.95,
65,58977,22939,18082,0,0,,58.98%,22.94%,18.08%,0.00%,0.00%,1.95,
66,58761,23029,18208,0,0,,58.76%,23.03%,18.21%,0.00%,0.00%,1.96,
67,56530,23119,18335,2015,0,,56.53%,23.12%,18.34%,2.02%,0.00%,2.15,
68,56177,23209,18461,2151,0,,56.18%,23.21%,18.46%,2.15%,0.00%,2.16,
69,55825,23299,18587,2287,0,,55.83%,23.30%,18.59%,2.29%,0.00%,2.18,
70,55472,23389,18713,2423,0,,55.47%,23.39%,18.71%,2.42%,0.00%,2.20,
71,55120,23479,18840,2560,0,,55.12%,23.48%,18.84%,2.56%,0.00%,2.22,
72,54767,23569,18966,2696,0,,54.77%,23.57%,18.97%,2.70%,0.00%,2.24,
73,54415,23659,19092,2832,0,,54.42%,23.66%,19.09%,2.83%,0.00%,2.26,
74,54062,23749,19218,2968,0,,54.06%,23.75%,19.22%,2.97%,0.00%,2.27,
75,53710,23839,19345,3105,0,,53.71%,23.84%,19.35%,3.11%,0.00%,2.29,
76,53357,23929,19471,3241,0,,53.36%,23.93%,19.47%,3.24%,0.00%,2.31,
77,53005,24019,19597,3377,0,,53.01%,24.02%,19.60%,3.38%,0.00%,2.33,
78,52652,24109,19723,3513,0,,52.65%,24.11%,19.72%,3.51%,0.00%,2.35,
79,52300,24199,19850,3650,0,,52.30%,24.20%,19.85%,3.65%,0.00%,2.36,
80,51947,24289,19976,3786,0,,51.95%,24.29%,19.98%,3.79%,0.00%,2.38,
81,51595,24379,20102,3922,0,,51.60%,24.38%,20.10%,3.92%,0.00%,2.40,
82,51242,24469,20228,4058,0,,51.24%,24.47%,20.23%,4.06%,0.00%,2.42,
83,50890,24559,20355,4195,0,,50.89%,24.56%,20.36%,4.20%,0.00%,2.44,
84,50537,24649,20481,4331,0,,50.54%,24.65%,20.48%,4.33%,0.00%,2.46,
85,50185,24739,20607,4467,0,,50.19%,24.74%,20.61%,4.47%,0.00%,2.47,
86,49832,24829,20733,4603,0,,49.83%,24.83%,20.73%,4.60%,0.00%,2.49,
87,49480,24919,20860,4740,0,,49.48%,24.92%,20.86%,4.74%,0.00%,2.51,
88,49127,25009,20986,4876,0,,49.13%,25.01%,20.99%,4.88%,0.00%,2.53,
89,48775,25099,21112,5012,0,,48.78%,25.10%,21.11%,5.01%,0.00%,2.55,
90,48422,25189,21238,5148,0,,48.42%,25.19%,21.24%,5.15%,0.00%,2.56,
91,48070,25279,21365,5285,0,,48.07%,25.28%,21.37%,5.29%,0.00%,2.58,
92,47717,25369,21491,5421,0,,47.72%,25.37%,21.49%,5.42%,0.00%,2.60,
93,47365,25459,21617,5557,0,,47.37%,25.46%,21.62%,5.56%,0.00%,2.62,
94,47012,25549,21743,5693,0,,47.01%,25.55%,21.74%,5.69%,0.00%,2.64,
95,46660,25639,21870,5830,0,,46.66%,25.64%,21.87%,5.83%,0.00%,2.66,
96,46307,25729,21996,5966,0,,46.31%,25.73%,22.00%,5.97%,0.00%,2.67,
97,45955,25819,22122,6102,0,,45.96%,25.82%,22.12%,6.10%,0.00%,2.69,
98,45602,25909,22248,6238,0,,45.60%,25.91%,22.25%,6.24%,0.00%,2.71,
99,45250,25999,22375,6375,0,,45.25%,26.00%,22.38%,6.38%,0.00%,2.73,
100,44897,26089,22501,6511,0,,44.90%,26.09%,22.50%,6.51%,0.00%,2.75,
101,44545,26179,22627,6647,0,,44.55%,26.18%,22.63%,6.65%,0.00%,2.77,
102,44192,26269,22753,6783,0,,44.19%,26.27%,22.75%,6.78%,0.00%,2.78,
103,43840,26359,22880,6920,0,,43.84%,26.36%,22.88%,6.92%,0.00%,2.80,
104,43487,26449,23006,7056,0,,43.49%,26.45%,23.01%,7.06%,0.00%,2.82,
105,43135,26539,23132,7192,0,,43.14%,26.54%,23.13%,7.19%,0.00%,2.84,
106,42782,26629,23258,7328,0,,42.78%,26.63%,23.26%,7.33%,0.00%,2.86,
107,42430,26719,23385,7465,0,,42.43%,26.72%,23.39%,7.47%,0.00%,2.87,
108,42077,26809,23511,7601,0,,42.08%,26.81%,23.51%,7.60%,0.00%,2.89,
109,41725,26899,23637,7737,0,,41.73%,26.90%,23.64%,7.74%,0.00%,2.91,
110,41372,26989,23763,7873,0,,41.37%,26.99%,23.76%,7.87%,0.00%,2.93,
111,41020,27079,23890,8010,0,,41.02%,27.08%,23.89%,8.01%,0.00%,2.95,
112,40667,27169,24016,8146,0,,40.67%,27.17%,24.02%,8.15%,0.00%,2.97,
113,40315,27259,24142,8282,0,,40.32%,27.26%,24.14%,8.28%,0.00%,2.98,
114,39962,27349,24268,8418,0,,39.96%,27.35%,24.27%,8.42%,0.00%,3.00,
115,39610,27439,24395,8555,0,,39.61%,27.44%,24.40%,8.56%,0.00%,3.02,
116,39257,27529,24521,8691,0,,39.26%,27.53%,24.52%,8.69%,0.00%,3.04,
117,38905,27619,24647,8827,0,,38.91%,27.62%,24.65%,8.83%,0.00%,3.06,
118,38552,27709,24773,8963,0,,38.55%,27.71%,24.77%,8.96%,0.00%,3.07,
119,38200,27799,24900,9100,0,,38.20%,27.80%,24.90%,9.10%,0.00%,3.09,
120,37847,27889,25026,9236,0,,37.85%,27.89%,25.03%,9.24%,0.00%,3.11,
121,37495,27979,25152,9372,0,,37.50%,27.98%,25.15%,9.37%,0.00%,3.13,
122,37142,28069,25278,9508,0,,37.14%,28.07%,25.28%,9.51%,0.00%,3.15,
123,36790,28159,25405,9645,0,,36.79%,28.16%,25.41%,9.65%,0.00%,3.17,
124,36437,28249,25531,9781,0,,36.44%,28.25%,25.53%,9.78%,0.00%,3.18,
125,36085,28339,25657,9917,0,,36.09%,28.34%,25.66%,9.92%,0.00%,3.20,
126,35732,28429,25783,10053,0,,35.73%,28.43%,25.78%,10.05%,0.00%,3.22,
127,35380,28519,25910,10190,0,,35.38%,28.52%,25.91%,10.19%,0.00%,3.24,
128,35027,28609,26036,10326,0,,35.03%,28.61%,26.04%,10.33%,0.00%,3.26,
129,34675,28699,26162,10462,0,,34.68%,28.70%,26.16%,10.46%,0.00%,3.28,
130,34322,28789,26288,10598,0,,34.32%,28.79%,26.29%,10.60%,0.00%,3.29,
131,33970,28879,26415,10735,0,,33.97%,28.88%,26.42%,10.74%,0.00%,3.31,
132,33617,28969,26541,10871,0,,33.62%,28.97%,26.54%,10.87%,0.00%,3.33,
133,33265,29059,26667,11007,0,,33.27%,29.06%,26.67%,11.01%,0.00%,3.35,
134,32912,29149,26793,11143,0,,32.91%,29.15%,26.79%,11.14%,0.00%,3.37,
135,32560,29239,26920,11280,0,,32.56%,29.24%,26.92%,11.28%,0.00%,3.38,
136,31106,29329,27046,11416,1101,,31.11%,29.33%,27.05%,11.42%,1.10%,3.67,
137,30612,29419,27172,11552,1242,,30.61%,29.42%,27.17%,11.55%,1.24%,3.72,
138,30118,29509,27298,11688,1383,,30.12%,29.51%,27.30%,11.69%,1.38%,3.77,
139,29625,29599,27425,11825,1525,,29.63%,29.60%,27.43%,11.83%,1.53%,3.82,
140,29131,29689,27551,11961,1666,,29.13%,29.69%,27.55%,11.96%,1.67%,3.88,
141,28637,29779,27677,12097,1807,,28.64%,29.78%,27.68%,12.10%,1.81%,3.93,
142,28143,29869,27803,12233,1948,,28.14%,29.87%,27.80%,12.23%,1.95%,3.98,
143,27650,29959,27930,12370,2090,,27.65%,29.96%,27.93%,12.37%,2.09%,4.03,
144,27156,30049,28056,12506,2231,,27.16%,30.05%,28.06%,12.51%,2.23%,4.08,
145,26662,30139,28182,12642,2372,,26.66%,30.14%,28.18%,12.64%,2.37%,4.14,
146,26168,30229,28308,12778,2513,,26.17%,30.23%,28.31%,12.78%,2.51%,4.19,
147,25675,30319,28435,12915,2655,,25.68%,30.32%,28.44%,12.92%,2.66%,4.24,
148,25181,30409,28561,13051,2796,,25.18%,30.41%,28.56%,13.05%,2.80%,4.29,
149,24687,30499,28687,13187,2937,,24.69%,30.50%,28.69%,13.19%,2.94%,4.34,
150,24193,30589,28813,13323,3078,,24.19%,30.59%,28.81%,13.32%,3.08%,4.40,
151,23700,30679,28940,13460,3220,,23.70%,30.68%,28.94%,13.46%,3.22%,4.45,
152,23206,30769,29066,13596,3361,,23.21%,30.77%,29.07%,13.60%,3.36%,4.50,
153,22712,30859,29192,13732,3502,,22.71%,30.86%,29.19%,13.73%,3.50%,4.55,
154,22218,30949,29318,13868,3643,,22.22%,30.95%,29.32%,13.87%,3.64%,4.60,
155,21725,31039,29445,14005,3785,,21.73%,31.04%,29.45%,14.01%,3.79%,4.66,
156,21231,31129,29571,14141,3926,,21.23%,31.13%,29.57%,14.14%,3.93%,4.71,
157,20737,31220,29697,14277,4067,,20.74%,31.22%,29.70%,14.28%,4.07%,4.76,
158,20243,31310,29823,14413,4208,,20.24%,31.31%,29.82%,14.41%,4.21%,4.81,
159,19750,31400,29950,14550,4350,,19.75%,31.40%,29.95%,14.55%,4.35%,4.87,
160,19256,31490,30076,14686,4491,,19.26%,31.49%,30.08%,14.69%,4.49%,4.92,
161,18762,31580,30202,14822,4632,,18.76%,31.58%,30.20%,14.82%,4.63%,4.97,
162,18268,31670,30328,14958,4773,,18.27%,31.67%,30.33%,14.96%,4.77%,5.02,
163,17775,31760,30455,15095,4915,,17.78%,31.76%,30.46%,15.10%,4.92%,5.07,
164,17281,31850,30581,15231,5056,,17.28%,31.85%,30.58%,15.23%,5.06%,5.13,
165,16787,31940,30707,15367,5197,,16.79%,31.94%,30.71%,15.37%,5.20%,5.18,
166,16293,32030,30833,15503,5338,,16.29%,32.03%,30.83%,15.50%,5.34%,5.23,
167,15800,32120,30960,15640,5480,,15.80%,32.12%,30.96%,15.64%,5.48%,5.28,
168,15306,32210,31086,15776,5621,,15.31%,32.21%,31.09%,15.78%,5.62%,5.33,
169,14812,32300,31212,15912,5762,,14.81%,32.30%,31.21%,15.91%,5.76%,5.39,
170,14318,32390,31338,16048,5903,,14.32%,32.39%,31.34%,16.05%,5.90%,5.44,
171,13825,32480,31465,16185,6045,,13.83%,32.48%,31.47%,16.19%,6.05%,5.49,
172,13331,32570,31591,16321,6186,,13.33%,32.57%,31.59%,16.32%,6.19%,5.54,
173,12837,32660,31717,16457,6327,,12.84%,32.66%,31.72%,16.46%,6.33%,5.60,
174,12343,32750,31843,16593,6468,,12.34%,32.75%,31.84%,16.59%,6.47%,5.65,
175,11850,32840,31970,16730,6610,,11.85%,32.84%,31.97%,16.73%,6.61%,5.70,
176,11356,32930,32096,16866,6751,,11.36%,32.93%,32.10%,16.87%,6.75%,5.75,
177,10862,33020,32222,17002,6892,,10.86%,33.02%,32.22%,17.00%,6.89%,5.80,
178,10368,33110,32348,17138,7033,,10.37%,33.11%,32.35%,17.14%,7.03%,5.86,
179,9875,33200,32475,17275,7175,,9.88%,33.20%,32.48%,17.28%,7.18%,5.91,
180,9381,33290,32601,17411,7316,,9.38%,33.29%,32.60%,17.41%,7.32%,5.96,
181,8887,33380,32727,17547,7457,,8.89%,33.38%,32.73%,17.55%,7.46%,6.01,
182,8393,33470,32853,17683,7598,,8.39%,33.47%,32.85%,17.68%,7.60%,6.06,
183,7900,33560,32980,17820,7740,,7.90%,33.56%,32.98%,17.82%,7.74%,6.12,
184,7406,33650,33106,17956,7881,,7.41%,33.65%,33.11%,17.96%,7.88%,6.17,
185,6912,33740,33232,18092,8022,,6.91%,33.74%,33.23%,18.09%,8.02%,6.22,
186,6418,33830,33358,18228,8163,,6.42%,33.83%,33.36%,18.23%,8.16%,6.27,
187,5925,33920,33485,18365,8305,,5.93%,33.92%,33.49%,18.37%,8.31%,6.32,
188,5431,34010,33611,18501,8446,,5.43%,34.01%,33.61%,18.50%,8.45%,6.38,
189,4937,34100,33737,18637,8587,,4.94%,34.10%,33.74%,18.64%,8.59%,6.43,
190,4443,34190,33863,18773,8728,,4.44%,34.19%,33.86%,18.77%,8.73%,6.48,
191,3950,34280,33990,18910,8870,,3.95%,34.28%,33.99%,18.91%,8.87%,6.53,
192,3456,34370,34116,19046,9011,,3.46%,34.37%,34.12%,19.05%,9.01%,6.59,
193,2962,34460,34242,19182,9152,,2.96%,34.46%,34.24%,19.18%,9.15%,6.64,
194,2468,34550,34368,19318,9293,,2.47%,34.55%,34.37%,19.32%,9.29%,6.69,
195,1975,34640,34495,19455,9435,,1.98%,34.64%,34.50%,19.46%,9.44%,6.74,
196,1481,34730,34621,19591,9576,,1.48%,34.73%,34.62%,19.59%,9.58%,6.79,
197,987,34820,34747,19727,9717,,0.99%,34.82%,34.75%,19.73%,9.72%,6.85,
198,493,34910,34873,19863,9858,,0.49%,34.91%,34.87%,19.86%,9.86%,6.90,
199,0,35000,35000,20000,10000,,0.00%,35.00%,35.00%,20.00%,10.00%,6.95,
200,0,35000,35000,20000,10000,,0.00%,35.00%,35.00%,20.00%,10.00%,6.95,
201,0,35000,35000,20000,10000,,0.00%,35.00%,35.00%,20.00%,10.00%,6.95,
202,0,35000,35000,20000,10000,,0.00%,35.00%,35.00%,20.00%,10.00%,6.95,
203,0,35000,35000,20000,10000,,0.00%,35.00%,35.00%,20.00%,10.00%,6.95,
204,0,35000,35000,20000,10000,,0.00%,35.00%,35.00%,20.00%,10.00%,6.95,
205,0,35000,35000,20000,10000,,0.00%,35.00%,35.00%,20.00%,10.00%,6.95,
206,0,35000,35000,20000,10000,,0.00%,35.00%,35.00%,20.00%,10.00%,6.95,
207,0,35000,35000,20000,10000,,0.00%,35.00%,35.00%,20.00%,10.00%,6.95,
208,0,35000,35000,20000,10000,,0.00%,35.00%,35.00%,20.00%,10.00%,6.95,
209,0,35000,35000,20000,10000,,0.00%,35.00%,35.00%,20.00%,10.00%,6.95,
210,0,35000,35000,20000,10000,,0.00%,35.00%,35.00%,20.00%,10.00%,6.95,
211,0,35000,35000,20000,10000,,0.00%,35.00%,35.00%,20.00%,10.00%,6.95,
212,0,35000,35000,20000,10000,,0.00%,35.00%,35.00%,20.00%,10.00%,6.95,
213,0,35000,35000,20000,10000,,0.00%,35.00%,35.00%,20.00%,10.00%,6.95,
214,0,35000,35000,20000,10000,,0.00%,35.00%,35.00%,20.00%,10.00%,6.95,
215,0,35000,35000,20000,10000,,0.00%,35.00%,35.00%,20.00%,10.00%,6.95,
216,0,35000,35000,20000,10000,,0.00%,35.00%,35.00%,20.00%,10.00%,6.95,
217,0,35000,35000,20000,10000,,0.00%,35.00%,35.00%,20.00%,10.00%,6.95,
218,0,35000,35000,20000,10000,,0.00%,35.00%,35.00%,20.00%,10.00%,6.95,
219,0,35000,35000,20000,10000,,0.00%,35.00%,35.00%,20.00%,10.00%,6.95,
220,0,35000,35000,20000,10000,,0.00%,35.00%,35.00%,20.00%,10.00%,6.95,
221,0,35000,35000,20000,10000,,0.00%,35.00%,35.00%,20.00%,10.00%,6.95,
222,0,35000,35000,20000,10000,,0.00%,35.00%,35.00%,20.00%,10.00%,6.95,
223,0,35000,35000,20000,10000,,0.00%,35.00%,35.00%,20.00%,10.00%,6.95,
224,0,35000,35000,20000,10000,,0.00%,35.00%,35.00%,20.00%,10.00%,6.95,
225,0,35000,35000,20000,10000,,0.00%,35.00%,35.00%,20.00%,10.00%,6.95,
226,0,35000,35000,20000,10000,,0.00%,35.00%,35.00%,20.00%,10.00%,6.95,
227,0,35000,35000,20000,10000,,0.00%,35.00%,35.00%,20.00%,10.00%,6.95,
228,0,35000,35000,20000,10000,,0.00%,35.00%,35.00%,20.00%,10.00%,6.95,
229,0,35000,35000,20000,10000,,0.00%,35.00%,35.00%,20.00%,10.00%,6.95,
230,0,35000,35000,20000,10000,,0.00%,35.00%,35.00%,20.00%,10.00%,6.95,
231,0,35000,35000,20000,10000,,0.00%,35.00%,35.00%,20.00%,10.00%,6.95,
232,0,35000,35000,20000,10000,,0.00%,35.00%,35.00%,20.00%,10.00%,6.95,
233,0,35000,35000,20000,10000,,0.00%,35.00%,35.00%,20.00%,10.00%,6.95,
234,0,35000,35000,20000,10000,,0.00%,35.00%,35.00%,20.00%,10.00%,6.95,
235,0,35000,35000,20000,10000,,0.00%,35.00%,35.00%,20.00%,10.00%,6.95,
236,0,35000,35000,20000,10000,,0.00%,35.00%,35.00%,20.00%,10.00%,6.95,
237,0,35000,35000,20000,10000,,0.00%,35.00%,35.00%,20.00%,10.00%,6.95,
238,0,35000,35000,20000,10000,,0.00%,35.00%,35.00%,20.00%,10.00%,6.95,
239,0,35000,35000,20000,10000,,0.00%,35.00%,35.00%,20.00%,10.00%,6.95,
240,0,35000,35000,20000,10000,,0.00%,35.00%,35.00%,20.00%,10.00%,6.95,
241,0,35000,35000,20000,10000,,0.00%,35.00%,35.00%,20.00%,10.00%,6.95,
242,0,35000,35000,20000,10000,,0.00%,35.00%,35.00%,20.00%,10.00%,6.95,
243,0,35000,35000,20000,10000,,0.00%,35.00%,35.00%,20.00%,10.00%,6.95,
244,0,35000,35000,20000,10000,,0.00%,35.00%,35.00%,20.00%,10.00%,6.95,
245,0,35000,35000,20000,10000,,0.00%,35.00%,35.00%,20.00%,10.00%,6.95,
246,0,35000,35000,20000,10000,,0.00%,35.00%,35.00%,20.00%,10.00%,6.95,
247,0,35000,35000,20000,10000,,0.00%,35.00%,35.00%,20.00%,10.00%,6.95,
248,0,35000,35000,20000,10000,,0.00%,35.00%,35.00%,20.00%,10.00%,6.95,
249,0,35000,35000,20000,10000,,0.00%,35.00%,35.00%,20.00%,10.00%,6.95,
250,0,35000,35000,20000,10000,,0.00%,35.00%,35.00%,20.00%,10.00%,6.95,
251,0,35000,35000,20000,10000,,0.00%,35.00%,35.00%,20.00%,10.00%,6.95,
252,0,35000,35000,20000,10000,,0.00%,35.00%,35.00%,20.00%,10.00%,6.95,
253,0,35000,35000,20000,10000,,0.00%,35.00%,35.00%,20.00%,10.00%,6.95,
254,0,35000,35000,20000,10000,,0.00%,35.00%,35.00%,20.00%,10.00%,6.95,
255,0,35000,35000,20000,10000,,0.00%,35.00%,35.00%,20.00%,10.00%,6.95,
256,0,35000,35000,20000,10000,,0.00%,35.00%,35.00%,20.00%,10.00%,6.95,
257,0,35000,35000,20000,10000,,0.00%,35.00%,35.00%,20.00%,10.00%,6.95,
258,0,35000,35000,20000,10000,,0.00%,35.00%,35.00%,20.00%,10.00%,6.95,
259,0,35000,35000,20000,10000,,0.00%,35.00%,35.00%,20.00%,10.00%,6.95,
260,0,35000,35000,20000,10000,,0.00%,35.00%,35.00%,20.00%,10.00%,6.95,
261,0,35000,35000,20000,10000,,0.00%,35.00%,35.00%,20.00%,10.00%,6.95,
262,0,35000,35000,20000,10000,,0.00%,35.00%,35.00%,20.00%,10.00%,6.95,
263,0,35000,35000,20000,10000,,0.00%,35.00%,35.00%,20.00%,10.00%,6.95,
264,0,35000,35000,20000,10000,,0.00%,35.00%,35.00%,20.00%,10.00%,6.95,
265,0,35000,35000,20000,10000,,0.00%,35.00%,35.00%,20.00%,10.00%,6.95,
266,0,35000,35000,20000,10000,,0.00%,35.00%,35.00%,20.00%,10.00%,6.95,
267,0,35000,35000,20000,10000,,0.00%,35.00%,35.00%,20.00%,10.00%,6.95,
268,0,35000,35000,20000,10000,,0.00%,35.00%,35.00%,20.00%,10.00%,6.95,
269,0,35000,35000,20000,10000,,0.00%,35.00%,35.00%,20.00%,10.00%,6.95,
270,0,35000,35000,20000,10000,,0.00%,35.00%,35.00%,20.00%,10.00%,6.95,
271,0,35000,35000,20000,10000,,0.00%,35.00%,35.00%,20.00%,10.00%,6.95,
272,0,35000,35000,20000,10000,,0.00%,35.00%,35.00%,20.00%,10.00%,6.95,
273,0,35000,35000,20000,10000,,0.00%,35.00%,35.00%,20.00%,10.00%,6.95,
274,0,35000,35000,20000,10000,,0.00%,35.00%,35.00%,20.00%,10.00%,6.95,
275,0,35000,35000,20000,10000,,0.00%,35.00%,35.00%,20.00%,10.00%,6.95,
276,0,35000,35000,20000,10000,,0.00%,35.00%,35.00%,20.00%,10.00%,6.95,
277,0,35000,35000,20000,10000,,0.00%,35.00%,35.00%,20.00%,10.00%,6.95,
278,0,35000,35000,20000,10000,,0.00%,35.00%,35.00%,20.00%,10.00%,6.95,
279,0,35000,35000,20000,10000,,0.00%,35.00%,35.00%,20.00%,10.00%,6.95,
280,0,35000,35000,20000,10000,,0.00%,35.00%,35.00%,20.00%,10.00%,6.95,
281,0,35000,35000,20000,10000,,0.00%,35.00%,35.00%,20.00%,10.00%,6.95,
282,0,35000,35000,20000,10000,,0.00%,35.00%,35.00%,20.00%,10.00%,6.95,
283,0,35000,35000,20000,10000,,0.00%,35.00%,35.00%,20.00%,10.00%,6.95,
284,0,35000,35000,20000,10000,,0.00%,35.00%,35.00%,20.00%,10.00%,6.95,
285,0,35000,35000,20000,10000,,0.00%,35.00%,35.00%,20.00%,10.00%,6.95,
286,0,35000,35000,20000,10000,,0.00%,35.00%,35.00%,20.00%,10.00%,6.95,
287,0,35000,35000,20000,10000,,0.00%,35.00%,35.00%,20.00%,10.00%,6.95,
288,0,35000,35000,20000,10000,,0.00%,35.00%,35.00%,20.00%,10.00%,6.95,
289,0,35000,35000,20000,10000,,0.00%,35.00%,35.00%,20.00%,10.00%,6.95,
290,0,35000,35000,20000,10000,,0.00%,35.00%,35.00%,20.00%,10.00%,6.95,
291,0,35000,35000,20000,10000,,0.00%,35.00%,35.00%,20.00%,10.00%,6.95,
292,0,35000,35000,20000,10000,,0.00%,35.00%,35.00%,20.00%,10.00%,6.95,
